ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abatement,ಕಡಿಮೆಯಾಗುವಿಕೆ,,,,,,,,,
,Abiotic,ಅಜೈವಿಕ,,,,,,,,,
,Abnormal forest,ಅಸ್ವಾಭಾವಿಕ ಕಾಡು,,,,,,,,,
,Aboriginal,"ಆದಿವಾಸಿ, ಮೂಲನಿವಾಸಿ",,,,,,,,,
,Abortive,"ಗೊಡ್ಡು, ಬಂಜೆ, ಪೂರ್ಣ ಬೆಳೆಯದ",,,,,,,,,
,Abrading tool,ಘರ್ಷಕ ಸಲಕರಣೆ,,,,,,,,,
,Abration,"ಉಜ್ಜು, ತರಚು / ಗಾಯ",,,,,,,,,
,Absolute,"1. ಪರಿಶುದ್ಧ, ಪರಿಪೂರ್ಣ, ಪರಮ 2. ನಿರಪೇಕ್ಷ, ಕೇವಲ",,,,,,,,,
,Absolute form quotient,ನಿರಪೇಕ್ಷ ಆಕೃತಿಭಾಗಲದ್ಧ,,,,,,,,,
,Absolute humidity,ನಿರಪೇಕ್ಷ ಆರ್ದತೆ,,,,,,,,,
,Absorption,"ಹೀರಿಕೆ, ಅವಶೋಷಣ",,,,,,,,,
,"Absorption, gross","ಒಟ್ಟು, ಹೀರಿಕೆ",,,,,,,,,
,"Absorption, initial",ಪ್ರಾರಂಭಿಕ ಹೀರಿಕೆ / ಅವಶೋಷಣ,,,,,,,,,
,"Absorption, net",ನಿವ್ವಳ ಹೀರಿಕೆ / ಅವಶೋಷಣ,,,,,,,,,
,Accelerated erosion,"ವೇಗೋತ್ಕರ್ಷಿತ ಕೊಚ್ಚಣೆ, ತ್ವರಿತಗತಿಯ ಸವಕಳಿ",,,,,,,,,
,Accelerated test,ವೇಗೋತ್ಕರ್ಷಿತ / ತ್ವರಿತಗತಿಯ ಪರೀಕ್ಷೆ,,,,,,,,,
,Access,"ಪ್ರವೇಶ, ಮಾರ್ಗ, ಸಿಗುವುದು",,,,,,,,,
,"Access, bilateral","ದ್ವಿಪಾರ್ಶ್ವಿಕ ಪ್ರವೇಶ, ಇಬ್ಬದಿ ಪ್ರವೇಶ, ಇಬ್ಬದಿ ಸಿಗುವ",,,,,,,,,
,"Access, rood",ಕಾಲು ಎಕರೆಯಷ್ಟು ಲಭ್ಯ ಪ್ರವೇಶ,,,,,,,,,
,Accessary system,ಸಹಾಯಕ / ಅನುಷಂಗಿಕ ಪದ್ಧತಿ,,,,,,,,,
,Accessibility,"ಪ್ರವೇಶಸಾಧ್ಯತೆ, ಸಿಗುವಿಕೆ, ಮಾರ್ಗವಿರುವಿಕೆ",,,,,,,,,
,Accessible forest,"ಪ್ರವೇಶಸಾಧ್ಯವನ, ಮಾರ್ಗವಿರುವ ಕಾಡು",,,,,,,,,
,Accessory species,"ಅನುಷಂಗಿಕ ಪ್ರಭೇದ, ಗೌಣ ಪ್ರಭೇದ, ಜೊತೆಗಿನ ಪ್ರಭೇದ",,,,,,,,,
