ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abbreviation,ಸಂಕ್ಷೇಪ,,,,,,,,,
,Abnormal,ಅಸಾಮಾನ್ಯ,,,,,,,,,
,Abscissa,ಅಡ್ಡ ಬಾಹು,,,,,,,,,
,Absolute,ಪರಮ,,,,,,,,,
,Absolute humidity,ಪರಮಾರ್ದ್ರತೆ,,,,,,,,,
,Absolute measures of dispersion,ಅಪಕಿರಣದ ಪರಮ ಮಾಪನಗಳು,,,,,,,,,
,Absolute permeability,ಪರಮ ವ್ಯಾಪ್ಯತೆ,,,,,,,,,
,Absolute zero,ಪರಮ ಶೂನ್ಯ,,,,,,,,,
,Absolute zero degree,ಪರಮ ಶೂನ್ಯಾಂಶ,,,,,,,,,
,Absolute zero temperature,ಪರಮ ಶೂನ್ಯ ಉಷ್ಣಾಂಶ,,,,,,,,,
,Absorb,ಹೀರು,,,,,,,,,
,Absorber,ಹೀರುಕ,,,,,,,,,
,Accelerated motion,ವೇಗೋತ್ಕರ್ಷಿತ ಚಲನೆ,,,,,,,,,
,Acceleration,ವೇಗೋತ್ಕರ್ಷ,,,,,,,,,
,Accelerator,ವೇಗೋತ್ಕರ್ಷಕ,,,,,,,,,
,Accept,ಸ್ವೀಕರಿಸು,,,,,,,,,
,Acceptable,ಸ್ವೀಕಾರಾರ್ಹ,,,,,,,,,
,Acceptable quality level,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟ,,,,,,,,,
,Acceptance,"ಸ್ವೀಕಾರ, ಅಂಗೀಕಾರ",,,,,,,,,
,Acceptance factor,ಸ್ವೀಕಾರ ಗುಣಕ,,,,,,,,,
,Acceptance in principle,ತತ್ವಶಃ ಸ್ವೀಕಾರ,,,,,,,,,
,Acceptance inspection,ಅಂಗೀಕಾರ ಪರಿವೀಕ್ಷಣೆ,,,,,,,,,
,Acceptance number,ಸ್ವೀಕಾರ ಸಂಖ್ಯೆ,,,,,,,,,
,Acceptance sampling plan,ಸ್ವೀಕಾರ ಮಾದರಿ ಆಯ್ಕೆ ಯೋಜನೆ,,,,,,,,,
,Accessories,ಪೂರಕೋಪಕರಣಗಳು,,,,,,,,,
