ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,ABC Classification,ಎ.ಬಿ.ಸಿ. ವರ್ಗೀಕರಣ,,,,,,,,,YES
,Accepted Quantity,ಅಂಗೀಕೃತ ಪ್ರಮಾಣ,,,,,,,,,YES
,Accounting Unit,ಲೆಕ್ಕದ ಘಟಕ,,,,,,,,,YES
,Advance Requisition,ಮುಂಗಡ ಕೋರಿಕೆ,,,,,,,,,YES
,Ancillary Units,ಸಹಾಯಕ ಘಟಕಗಳು,,,,,,,,,YES
,Annual Average Turnover,ವಾರ್ಷಿಕ ಸರಾಸರಿ ವಹಿವಾಟು,,,,,,,,,YES
,Application form,ಅರ್ಜಿ ನಮೂನೆ,,,,,,,,,YES
,Assembly Cards,ಅಸಂಬ್ಲಿ ಕಾರ್ಡುಗಳು,,,,,,,,,YES
,Assistant Stores Keeper,ಸಹಾಯಕ ಉಗ್ರಾಣ ಪಾಲಕ,,,,,,,,,YES
,Assistant Stores Officer,ಸಹಾಯಕ ಉಗ್ರಾಣ ಅಧಿಕಾರಿ,,,,,,,,,YES
,Auction,ಹರಾಜು,,,,,,,,,YES
,Automobile,ಮೋಟಾರು ವಾಹನ,,,,,,,,,YES
,Balance sheet,ಜಮಾ ಖರ್ಚುಪಟ್ಟಿ / ಆಯವ್ಯಯ ಪಟ್ಟಿ,,,,,,,,,YES
,Bank Commission,ಬ್ಯಾಂಕಿನ ಕಮಿಷನ್‌,,,,,,,,,YES
,Bank Intimation,ಬ್ಯಾಂಕ್‌ ತಿಳಿವಳಿಕೆ,,,,,,,,,YES
,Battery Cards,ಬ್ಯಾಟರಿ ಕಾರ್ಡುಗಳು,,,,,,,,,YES
,Bid,ಹರಾಜು,,,,,,,,,YES
,Bin,"ತೊಟ್ಟಿ, ಪಾತ್ರೆ",,,,,,,,,YES
,Bin Cards,ಬಿನ್‌ ಕಾರ್ಡುಗಳು,,,,,,,,,YES
,Broken,ಒಡೆದ,,,,,,,,,YES
,Budget,"ಆಯವ್ಯಯ, ಬಜೆಟ್‌",,,,,,,,,YES
,Budget Control Register,ಆಯವ್ಯಯ ನಿಯಂತ್ರಣ ಪುಸ್ತಕ,,,,,,,,,YES
,Bulk Order,"ಸಗಟು ಆದೇಶ, ಸಗಟು ಕೋರಿಕೆ",,,,,,,,,YES
,Bulk Provisioning Indent,ಸಗಟು ಸರಬರಾಜು ಕೋರಿಕೆ ಪತ್ರ,,,,,,,,,YES
,Calendar of Indent,ಕೋರಿಕೆ ವಿವರಪಟ್ಟಿ,,,,,,,,,YES
,Calibration Chart,"ಅಂಕಶೋಧನಾ ಚಾರ್ಟ್‌, ಕ್ಯಾಲಿಬ್ರೇಷನ್‌ ಚಾರ್ಟ್‌",,,,,,,,,YES
,Capital Goods,ಮೂಲ ಸರಕು,,,,,,,,,YES
,Carting Agent,ಗಾಡಿ ಏಜೆಂಟ್‌,,,,,,,,,YES
,Cash Discount,ನಗದು ಸೋಡಿ,,,,,,,,,YES
,Central Purchase Committee,ಕೇಂದ್ರ ಖರೀದಿ ಸಮಿತಿ,,,,,,,,,YES
,Central Purchase Sub Committee,ಕೇಂದ್ರ ಖರೀದಿ ಉಪಸಮಿತಿ,,,,,,,,,YES
,Central Sales Tax,ಕೇಂದ್ರ ಮಾರಾಟ ತೆರಿಗೆ,,,,,,,,,YES
,Certificate,ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,,,YES
,Charted Accountant,"ಸನ್ನದು ಲೆಕ್ಕಿಗ, ಚಾರ್ಟರ್ಡ್‌ ಅಕೌಂಟೆಂಟ್‌",,,,,,,,,YES
,Commercial Offer,ದರ ಪ್ರಸ್ತಾವನೆ,,,,,,,,,YES
