ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,‘ABC’ Soil - ‘ABC’,,"ಮಣ್ಣು. ‘A’, ‘B’ ಮತ್ತು ‘C’ ವಲಯಗಳನ್ನುಳ್ಳ ಮಣ್ಣಿನ ಪೂರ್ಣ ಪ್ರೊಫೈಲ್.",,,,,,,
,,A Value,,"‘A’ ಮೌಲ್ಯ. ಇದು ಒಂದು ಮಣ್ಣಿನಲ್ಲಿರುವ, ದೊರೆಯುವ ರಂಜಕದ ಪರಿಮಾಣವನ್ನು ಸೂಚಿಸುತ್ತದೆ. ದೊರೆಯುವ ರಂಜಕದ ‘A’ ಮೌಲ್ಯವನ್ನು ಕೆಳಗಿನ ಸಮೀಕರಣದಿಂದ ಕಂಡುಹಿಡಿಯಬಹುದು. A = B (T-Y)/y A=ದೊರೆಯುವ ರಂಜಕದ ಪರಿಮಾಣ. B=ರಾಸಾಯನಿಕ ಗೊಬ್ಬರದ ಮೂಲಕ ಮಣ್ಣಿಗೆ ಹಾಕಲ್ಪಟ್ಟ ರಂಜಕದ ಪರಿಮಾಣ. Y= ರಾಸಾಯನಿಕ ಗೊಬ್ಬರದಿಂದ ಸಸ್ಯಗಳು ಹೀರಿಕೊಂಡ ಪರಿಮಾಣ.",,,,,,,
,,Abnormal Profile,,ಅಸಾಮಾನ್ಯ ಪ್ರೊಫೈಲ್. ಮಣ್ಣಿನ ಮಾದರಿ ಪ್ರೊಫೈಲ್ ನಿಂದ ಕೆಲವು ವಿಷಯಗಳಲ್ಲಿ ಭಿನ್ನವಾಗಿರುವ ಪ್ರೊಫೈಲ್. ಅಸಾಧಾರಣ ಶಿಥಿಲಕ್ರಿಯಾ ಪರಿಸ್ಥಿತಿಗಳಿಂದ ಈ ರೀತಿಯ ಮಣ್ಣಿನ ಪ್ರೊಫೈಲ್ ಉಂಟಾಗುತ್ತದೆ.,,,,,,,
,,Absolute Humidity,,ನಿರಪೇಕ್ಷ ಆರ್ದ್ರತೆ; ಕೇವಲ ಆರ್ದ್ರತೆ. ಎಕಮಾನ ಗಾತ್ರದ ವಾಯುವಿನಲ್ಲಿರುವ ನೀರಿನ ಆವಿಯ ದ್ರವ್ಯ ಪರಿಮಾಣ.,,,,,,,
,,Absorption,,ಹೀರುವಿಕೆ. ಮಣ್ಣಿನಲ್ಲಿರುವ ಸೂಕ್ಷ್ಮರಂಧ್ರಗಳ ಮೂಲಕ ನೀರು ಹೀರಲ್ಪಟ್ಟು ಕ್ರಮೇಣ ಸಸ್ಯಗಳಿಗೆ ಸಿಗುತ್ತದೆ.,,,,,,,
,,Acceleration,,ವೇಗೋತ್ಕರ್ಷ. ವೇಗ ಬದಲಾಗುವ ಪ್ರಮಾಣ ಮತ್ತು ದಿಕ್ಕನ್ನು ಸೂಚಿಸುವ ಭೌತ ಪರಿಮಾಣ.,,,,,,,
,,Acceleration Erosion,,"ವ್ರದ್ಧಿ ಹೊಂದಿದ ಕೊಚ್ಚಣೆ. ಸ್ವಾಭಾವಿಕವಾಗಿ ಮಣ್ಣಿನಲ್ಲಿ ಬೆಳೆಯುವ ಸಸ್ಯಗಳನ್ನು ನಾಶಮಾಡಿ, ಉತ್ತು, ಬಿತ್ತಿ, ಭೂಮಿಯನ್ನು ಬೇಸಾಯಕ್ಕೆ ಉಪಯೋಗಿಸಿಕೊಳ್ಳುವುದರಿಂದ ಆ ಭೂಮಿಯಲ್ಲಿ ಮಣ್ಣಿನ ಕೊಚ್ಚಣೆಯ ಗತಿ ವೃದ್ಧಿಯಾಗುತ್ತಾ ಹೋಗುತ್ತದೆ.",,,,,,,
,,Acetylation,,ಅಸಿಟಿಲೇಷನ್. ಸಾವಯವ ವಸ್ತುವಿಗೆ ಒಂದು ಅಸಿಟೈಲ್ ಮೂಲಘಟಕ ಸೇರುವ ಪ್ರತಿ ಕ್ರಿಯೆಗೆ ಅಸಿಟಿಲೇಷನ್ ಎಂದು ಹೆಸರು.,,,,,,,
,,Acid,,ಆಮ್ಲ. ನೀಲಿ ಬಣ್ಣದ ಲಿಟ್ ಮಸ್ ಕಾಗದವನ್ನು ಕೆಂಪಾಗಿ ಪರಿವರ್ತಿಸಲು ಸಾಕಷ್ಟು ಜಲಜನಕ ಅಯಾನ್ ಗಳನ್ನು ಬಿಟ್ಟುಕೊಡುವ ದ್ರಾವಣದಲ್ಲಿರುವ ವಸ್ತು.,,,,,,,
,,Acid Forming Fertilizer,,"ಆಮ್ಲಕಾರಕ ರಸಾಯನ ಗೊಬ್ಬರ. ಮಣ್ಣಿನಲ್ಲಿ ಹುಳಿ ಪ್ರವೃತ್ತಿಯನ್ನುಂಟುಮಾಡುವ ರಸಾಯನ ಗೊಬ್ಬರ. ಅಮೋನಿಯಮ್ ಸಲ್ಫೇಟ್, ಮಾನೋ ಅಮೋನಿಯ, ಯೂರಿಯಾ, ಇತ್ಯಾದಿ.",,,,,,,
,,Acid Rock,,ಆಮ್ಲ ಶಿಲೆ. ಇದರಲ್ಲಿ ಶೇಕಡ 67 ರಿಂದ 75 ರಷ್ಟು ಸಿಲಿಕಾಂಶವಿರುತ್ತದೆ. ಉದಾಹರಣೆ : ಗ್ರ್ಯಾನೈಟ್.,,,,,,,
,,Acid Salt,,ಆಮ್ಲ ಲವಣ. ಇದರಲ್ಲಿ ಆಮ್ಲದ ಅಪೂರ್ಣ ತಟಸ್ಥೀಕರಣದಿಂದ ಜಲಜನಕದ ಶೇಷವಿರುತ್ತದೆ. ಉದಾಹರಣೆ : NA₂HPO₄.,,,,,,,
