ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abiogenesis,ಅಜೀವಿ ಜನನ,,,,,,,,,
,Abnormal,ಅಪಸಾಮಾನ್ಯ,,,,,,,,,
,Abomasum,"ನಿಜೊಡಲು, ಮೆಲುಕುಪ್ರಾಣಿಗಳ ನೈಜ ಜಠರ, ನಾಲ್ಕನೆಯ ಜಠರ",,,,,,,,,
,Aborted organ,"ವೃದ್ಧಿರೋಧಿತ ಅಂಗ, ಕುರುಟು ಅಂಗ",,,,,,,,,
,Aborted seed,"ಗೊಡ್ಡು ಬೀಜ, ಕುರುಟು ಬೀಜ",,,,,,,,,
,Abortion,"ಗರ್ಭಪಾತ, ಗರ್ಭಸ್ರಾವ",,,,,,,,,
,Absolute weed,ವೃದ್ಧಿಯಾಗದ ಪೂರ್ಣಪ್ರಮಾಣದ ಕಳೆ,,,,,,,,,
,Absorbed cat ion,ಅವಶೋಷಿತ ಧನ ಅಯಾನು,,,,,,,,,
,Absorption,"ಹೀರಿಕೆ, ಅವಶೋಷಣೆ",,,,,,,,,
,Abyssinian mustard,ಅಬಿಸಿನಿಯನ್ ಸಾಸುವೆ,,,,,,,,,
,Acaricide,ನುಶಿನಾಶಕ,,,,,,,,,
,Accentric,ಅಕೇಂದ್ರಿತ,,,,,,,,,
,Accentuate (cell),ಪ್ರವರ್ಧಿತ (ಕೋಶ),,,,,,,,,
,Accepted tolerance,ಸ್ವೀಕೃತ ಸಹಿಷ್ಣುತೆ,,,,,,,,,
,Accessory,ಹೆಚ್ಚಿನ / ಸಹಾಯಕ (ಸಾಮಗ್ರಿ),,,,,,,,,
,Acclimatization,ಹವಾಗುಣಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,,,,,,,,,
,Accumulation,ಸಂಚಯನ,,,,,,,,,
,Accuracy,"ಯಥಾರ್ಥತೆ, ನಿಷ್ಕೃಷ್ಪತೆ. ಖಚಿತತೆ",,,,,,,,,
,Acervulus,"ಪುಂಜಿತ, ಸಮೂಹಿತ",,,,,,,,,
,Acetification,ಅಸಿಟೀಕರಣ,,,,,,,,,
,Acid Meter,ಆಮ್ಲತಾಮಾಪನ,,,,,,,,,
,Acidification,ಆಮ್ಲೀಕರಣ,,,,,,,,,
,Acidity,ಆಮ್ಲತೆ,,,,,,,,,
,Acidophilic,ಆಮ್ಲಪ್ರಿಯ,,,,,,,,,
,Acidulated rock phosphate,ಆಮ್ಲಬೆರೆತ ಶಿಲಾ ರಂಜಕ,,,,,,,,,
,Aciduric,ಅತ್ಯಾಮ್ಲಸಹಿಷ್ಣು,,,,,,,,,
