ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,A bullock work unit,"ಒಂದು ಎತ್ತಿನ ಕಾರ್ಯಘಟಕ, ಒಂದು ಎತ್ತು 8 ಗಂಟೆಯಲ್ಲಿ ಮಾಡುವ ಸರಾಸರಿ ಕೆಲಸ",,,,,,,,,
,A-horizon,ಎ-ವಲಯ,,,,,,,,,
,Abalone,ಮುತ್ತಿನ ಚಿಪ್ಪು,,,,,,,,,
,Abaptiston,ಹೊಗದ ಬೈರಿಗೆ,,,,,,,,,
,Abatement,"ಕಡಿಮೆಯಾಗುವಿಕೆ, ಉಡುಗುವಿಕೆ",,,,,,,,,
,Abattoir,ಕಸಾಯಿಖಾನೆ,,,,,,,,,
,Abaxial,"ಅಕ್ಷದೂರ (ಅಪಾಕ್ಷ), ಮೇಲ್ಭಾಗ",,,,,,,,,
,Abdomen,"ಹೊಟ್ಟೆ, ಉದರ",,,,,,,,,
,Abdominal capacity,ಉದರಾವಕಾಶ,,,,,,,,,
,Abdominal filament,ಹೊಟ್ಟೆಯ ತಂತು,,,,,,,,,
,Abdominal palpation,"ಉದರದ ಹೊರ ಪರೀಕ್ಷೆ, ಹೊಟ್ಟೆಯ ಸ್ಪರ್ಶಪರೀಕ್ಷೆ",,,,,,,,,
,Abdominal palpitation,ಉದರದ ಕಂಪನ,,,,,,,,,
,Abduce,"ಬದಿಸರಿಸು, ದೂರ ಸರಿಸು",,,,,,,,,
,Abducent,"ಅಪವರ್ತನಿ ನರ, ಬದಿಸರಿಕ ನರ",,,,,,,,,
,Abduction,"ದೂರಸರಿಕೆ, ಅಪಸರಣ",,,,,,,,,
,Abductor,ಅಪಹಾರಕ ನರ (ಸ್ನಾಯು),,,,,,,,,
,Aberrant,ಅಪಸರಿತ,,,,,,,,,
,Aberration,"ವಿಪಥನ, ಅಪಸರಣ",,,,,,,,,
,"Abiogenesis, Abiogeny",ನಿರ್ಜೀವ ವಸ್ತುವಿನಿಂದ ಜೀವಜನನ,,,,,,,,,
,Abiotic,ಅಜೈವಿಕ,,,,,,,,,
,Abiotic environment,ಅಜೈವಿಕ ಪರಿಸರ,,,,,,,,,
,Abiotic factor,ನಿರ್ಜೀವಾಂಶ,,,,,,,,,
,Ablactate,ಮೊಲೆಬಿಡಿಸು,,,,,,,,,
,Ablactation,"ಹಾಲು ನಿಲ್ಲುವಿಕೆ, ಹಾಲು ತಪ್ಪಿಸುವುದು",,,,,,,,,
,Ablation,"ಕಿತ್ತೆಗೆತ, ಕಿತ್ತು ತೆಗೆಯುವಿಕೆ",,,,,,,,,
,Abnormal,"ಅಸ್ವಾಭಾವಿಕ, ಅಸಾಮಾನ್ಯ",,,,,,,,,
,Abnormal forest,ಅಸ್ವಾಭಾವಿಕ ಕಾಡು,,,,,,,,,
,Abnormal milk,"ಅಸಹಜ/ವೈಪರೀತ್ಯದ ಹಾಲು, ಅಸಾಮಾನ್ಯ ಹಾಲು",,,,,,,,,
,Abnormal profile,ಅಸಾಮಾನ್ಯ ಪಾರ್ಶ್ವದೃಶ್ಯ,,,,,,,,,
,Abnormality,"ಅಸಹಜತೆ, ಅಸ್ವಾಭಾವಿಕತೆ, ಊನತೆ, ಅಸಾಮಾನ್ಯತೆ",,,,,,,,,
,Abnoxious smell,"ದುರ್ನಾತ, ಕೆಟ್ಟ ವಾಸನೆ",,,,,,,,,
