ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,"A biogenesis, Abiogeny",ನಿರ್ಜೀವ ವಸ್ತುವಿನಿಂದ ಜೀವಜನನ,,,,,,,,,
,A bullock work unit,"ಒಂದು ಎತ್ತಿನ ಕಾರ್ಯಘಟಕ, ಒಂದು ಎತ್ತು 8 ಗಂಟೆಯಲ್ಲಿ ಮಾಡುವ ಸರಾಸರಿ ಕೆಲಸ",,,,,,,,,
,A-horizon,"ಎ-ಮಣ್ಣು ಪದರ, ಮೇಲ್ಪದರದ ಸಾವಯವ ಭರಿತ ಮಣ್ಣು ವಲಯ, ಎ-ವಲಯ",,,,,,,,,
,A-line,ಎ-ಸಾಲು ತಳಿ,,,,,,,,,
,A-trials,ಕಿರುತಾಕುಗಳಲ್ಲಿ ನಡೆಸಲಾದ ಎ-ಪರೀಕ್ಷಾ ಪ್ರಯೋಗಗಳು,,,,,,,,,
,Abalone,ಮುತ್ತಿನ ಚಿಪ್ಪು,,,,,,,,,
,Abatement,"ಕಡಿಮೆಯಾಗುವಿಕೆ, ಉಡುಗುವಿಕೆ",,,,,,,,,
,Abattoir,ಕಸಾಯಿಖಾನೆ,,,,,,,,,
,Abaxial,ಅಕ್ಷರದೂರ,,,,,,,,,
,Abbduce,"ಬದಿಸರಿಸು, ದೂರ ಸರಿಸು",,,,,,,,,
,ABC soil,ಎಬಿಸಿ ಮಣ್ಣು,,,,,,,,,
,Abdomen,ಹೊಟ್ಟೆ ಉದರ,,,,,,,,,
,Abdominal capacity,ಹೊಟ್ಟೆಯ ಸಾಮರ್ಥ್ಯ,,,,,,,,,
,Abdominal filament,ಹೊಟ್ಟೆಯ ತಂತು,,,,,,,,,
,Abdominal palpation,"ಉದರ ಹೊರ ಪರೀಕ್ಷೆ, ಹೊಟ್ಟೆಯ ಸ್ಪರ್ಶ ಪರೀಕ್ಷೆ",,,,,,,,,
,Abdominal palpitation,ಉದರದ ಕಂಪನ,,,,,,,,,
,Abdominal viscera,ಉದರಾಂಗ,,,,,,,,,
,Abducent nerve,"ಅಪವರ್ತನಿ ನರ, ಬದಿಸರಿಕ ನರ",,,,,,,,,
,Abduction,"ದೂರಸರಿಕೆ, ಅಪಸರಣ",,,,,,,,,
,Abductor,ಅಪಹಾರಕ ಸ್ನಾಯು,,,,,,,,,
,Aberrant,"ಅಪಸರಿತ, ದಾರಿತಪ್ಪುವ",,,,,,,,,
,Aberration,"ವಿಪಥನ, ಅಪಸರಣ",,,,,,,,,
,Abiotic,ಅಜೈವಿಕ,,,,,,,,,
,Abiotic environment,ಅಜೈವಿಕ ಪರಿಸರ,,,,,,,,,
,Abiotic factor,ಅಜೈವಿಕಾಂಶ,,,,,,,,,
,Ablactate,ತಾಯಿಹಾಲು ಬಿಡಿಸುವುದು,,,,,,,,,
,Ablactation,ತಾಯಿಹಾಲು ಕೊಡುವುದನ್ನು ನಿಲ್ಲಿಸುವಿಕೆ,,,,,,,,,
,Ablation,"ಕಿತ್ತೆಗೆತ, ಕಿತ್ತು ತೆಗೆಯುವಿಕೆ",,,,,,,,,
,Abnormal,"ಅಸ್ವಾಭಾವಿಕ, ಅಸಹಜ, ಅಸಾಮಾನ್ಯ",,,,,,,,,
,Abnormal forest,ಅಸ್ವಾಭಾವಿಕ ಕಾಡು,,,,,,,,,
,Abnormal milk,"ಅಸಹಜ/ವೈಪರೀತ್ಯದ ಹಾಲು, ಕೆಟ್ಟ ಹಾಲು",,,,,,,,,
,Abnormal profile,ಅಸ್ವಾಭಾವಿಕ ಪಾರ್ಶ್ವದೃಶ್ಯ,,,,,,,,,
,Abnormality,"ಅಸಹಜತೆ, ಅಸ್ವಾಭಾವಿಕತೆ, ಊನತೆ",,,,,,,,,
,Abnoxious smell,"ದುರ್ನಾತ, ಕೆಟ್ಟ ವಾಸನೆ",,,,,,,,,
,Abode,"ನೆಲೆ, ವಾಸಸ್ಥಳ",,,,,,,,,
,Abomasum,"ನಿಜೊಡಲು, ಮೆಲುಕು ಪ್ರಾಣಿಗಳ ನೈಜಜಠರ, ನಾಲ್ಕನೆಯ ಜಠರ",,,,,,,,,
,Aboriginal,"ಆದಿವಾಸಿ, ಮೂಲವಾಸಿ",,,,,,,,,
,Abort,"ಗರ್ಭಪಾತವಾಗು, ಗರ್ಭಸ್ರಾವವಾಗು",,,,,,,,,
,Aborted cow,ಕಂದುಹಾಕಿದ/ಗರ್ಭಪಾತವಾದ ಹಸು,,,,,,,,,
,Aborted organ,ವೃದ್ಧಿರೋಧಿತ ಅಂಗ,,,,,,,,,
,Abortion,"ಮೈಯಿಳಿತ, ಗರ್ಭಪಾತ",,,,,,,,,
,Abortive,"ಅಪೂರ್ಣ ಬೆಳವಣಿಗೆಯ, ಗೊಡ್ಡಾದ",,,,,,,,,
,Above ground reservoir,ನೆಲಮಟ್ಟದ ಮೇಲಿನ ಜಲಾಶಯ,,,,,,,,,
,Abrade,ಉಜ್ಜಿಹಾಕು,,,,,,,,,
,Abrading tool,ಘರ್ಷಕ ಸಲಕರಣೆ/ಉಪಕರಣ,,,,,,,,,
,Abrasion,"1. ಉಜ್ಜುವಿಕೆ, ಘರ್ಷಣೆ 2. ಉಜ್ಜುಗಾಯ, ತರಚುಗಾಯ",,,,,,,,,
,Abrasive,"ಘರ್ಷಕ ವಸ್ತು, ಘರ್ಷಕ",,,,,,,,,
,Abrasive property,ಉಜ್ಜಿಹಾಕುವ ಗುಣ,,,,,,,,,
,Abrasive soil,ಉಜ್ಜಿಹಾಕುವ ಗುಣವುಳ್ಳ ಮಣ್ಣು,,,,,,,,,
,Abreast parlour,ಹಾಲುಕರೆಯುವ ಸ್ಥಳ,,,,,,,,,
,Abruption,"ಕಳಚುವಿಕೆ, ಕಿತ್ತುತೆಗೆಯುವಿಕೆ",,,,,,,,,
,Abrus precarious,ಗುಲಗಂಜಿ,,,,,,,,,
,Abscess,"ಕೀವುಗಂಟು, ಕುರು, ಹುಣ್ಣು",,,,,,,,,
,Abscisic acid,ಛೇದನಾ ಆಮ್ಲ,,,,,,,,,
,Absciss,"ಕಳಚುವಿಕೆ, ಛೇದಿಸುವಿಕೆ",,,,,,,,,
,Abscission,"ಕತ್ತರಿಕೆ, ಛೇದನ",,,,,,,,,
,Abscission layer,ಛೇದನ ಪದರ,,,,,,,,,
,Absolute,"ಅಪ್ಪಟ, ಪೂರ್ಣ, ಶುದ್ಧ, ನಿರಪೇಕ್ಷ, ಚೊಕ್ಕ",,,,,,,,,
,Absolute accuracy,ಪರಿಪೂರ್ಣ ನಿಷ್ಕೃಷ್ಟತೆ,,,,,,,,,
,Absolute block system,ಸಮಗ್ರ ತಡೆಗಟ್ಟು ಪದ್ಧತಿ,,,,,,,,,
,Absolute form quotient,ನಿರಪೇಕ್ಷ ಆಕೃತಿ ಭಾಗಲಬ್ಧ,,,,,,,,,
,Absolute growth rate,ನಿರಪೇಕ್ಷ ಬೆಳವಣಿಗೆ ವೇಗ,,,,,,,,,
,Absolute humidity,ನಿರಪೇಕ್ಷ ಆರ್ದ್ರತೆ,,,,,,,,,
,Absolute juice,"ನಿರಾವಲಂಬ ರಸ, ನಿರಪೇಕ್ಷ ರಸ",,,,,,,,,
,Absolute module,ಸಮಗ್ರ ಅಳತೆ ಏಕಮಾನ,,,,,,,,,
,Absolute water requirement,ನಿರಪೇಕ್ಷ ನೀರು ಅಗತ್ಯತೆ,,,,,,,,,
,Absorb,"ಹೀರು, ಲೀನವಾಗಿಸು",,,,,,,,,
,Absorbability,ಹೀರಿಕೊಳ್ಳುವ ಗುಣ/ಸಾಮರ್ಥ್ಯ,,,,,,,,,
,Absorbance,ಹೀರುವ ಗುಣ,,,,,,,,,
