ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
YES,,Add Bullets,,ಅಂಶಸೂಚಕಗಳನ್ನು ಸೇರಿಸು,,,,,,,
YES,,Address,,ವಿಳಾಸ,,,,,,,
YES,,Alignment,,ಸಾಲು ಹೊಂದಿಕೆ,,,,,,,
YES,,Alingn left,,ಎಡಕ್ಕೆಹೊಂದಿಸು,,,,,,,
YES,,Aqua,,ಸಮುದ್ರ ನೀಲಿ,,,,,,,
YES,,Arrange all,,ಎಲ್ಲವನ್ನು ಜೋಡಿಸು,,,,,,,
YES,,Arrange icon,,ಲಾಂಛನ ಜೋಡಿಸು,,,,,,,
YES,,Arrange top,,ಮೇಲೆ ಜೋಡಿಸು,,,,,,,
YES,,Automatic,,ಸ್ವಯಂ ಚಾಲಿತ,,,,,,,
YES,,Automatic Word Selection,,ಸ್ವಯಂ ಪದ ಆಯ್ಕೆ,,,,,,,
YES,,Available Formats,,ಲಭ್ಯ ನಮೂನೆಗಳು,,,,,,,
YES,,Background colour,,ಹಿಂಭಾಗದ ಬಣ್ಣ,,,,,,,
YES,,Back Space,,ಹಿಂಬದಿ ಜಾಗ,,,,,,,
YES,,Bilingual,,ದ್ವಿ ಭಾಷೆ,,,,,,,
YES,,Black,,ಕಪ್ಪು,,,,,,,
YES,,Blue,,ನೀಲಿ,,,,,,,
YES,,Bold,,ದಟ್ಟ,,,,,,,
YES,,Bold letter,,ದಟ್ಟ ಅಕ್ಷರ,,,,,,,
YES,,Bullet Style,,ಅಂಶಸೂಚಕ ಶೈಲಿ,,,,,,,
YES,,Cancel,,ರದ್ದು ಮಾಡು,,,,,,,
YES,,Centimeter,,ಸೆಂಟಿಮೀಟರು,,,,,,,
YES,,Change password,,ಕೀಲಿಪದ ಬದಲಿಸು,,,,,,,
YES,,Clear,,ಮುಕ್ತಗೊಳಿಸು,,,,,,,
YES,,Clear All,,ಎಲ್ಲವನ್ನೂ ತೆಗೆದುಹಾಕು,,,,,,,
YES,,Close,,ಮುಚ್ಚು,,,,,,,
YES,,Colour,,ಬಣ್ಣಗಳು,,,,,,,
YES,,Compose new mail,,ಹೊಸ ಅಂಚೆ ಸಿದ್ಧಪಡಿಸಿ,,,,,,,
YES,,Confirm,,ಖಚಿತಪಡಿಸು,,,,,,,
YES,,Confirm new password,,ಹೊಸ ಕೀಲಿಪದ ಖಚಿತ ಪಡಿಸಿ,,,,,,,
YES,,Copy,,ಪ್ರತಿ,,,,,,,
YES,,Current password,,ಈಗಿನ ಕೀಲಿಪದ,,,,,,,
YES,,Cut,,ಕತ್ತರಿಸು,,,,,,,
YES,,Date and Time,,ದಿನಾಂಕ ಮತ್ತು ಸಮಯ,,,,,,,
YES,,Decrease the letter,,ಪತ್ರದ ಗಾತ್ರ / ಪದ ಕುಗ್ಗಿಸುವುದು,,,,,,,
YES,,Delete,,ಅಳಿಸು ತೆಗೆದುಹಾಕು,,,,,,,
YES,,Delete selected,,ಆಯ್ದದ್ದನ್ನು ಅಳಿಸು / ತೆಗೆದುಹಾಕು,,,,,,,
YES,,Domain,,ಕ್ಷೇತ್ರ,,,,,,,
YES,,Edit,,ಸಂಪಾದನೆ,,,,,,,
YES,,End,,"ಅಂತ್ಯ, ಅಂತ",,,,,,,
YES,,Exercise,,ಅಭ್ಯಾಸ,,,,,,,
YES,,Existing members,,ಹಾಲಿ ಸದಸ್ಯರು,,,,,,,
YES,,Exit,,ನಿರ್ಗಮನ / ಹೊರಕ್ಕೆ,,,,,,,
YES,,File,,ಕಡತ,,,,,,,
YES,,First Line,,ಮೊದಲ ಸಾಲು,,,,,,,
YES,,Font,,ಅಕ್ಷರ ವಿನ್ಯಾಸ,,,,,,,
YES,,Font colour,,ಅಕ್ಷರದ ಬಣ್ಣ,,,,,,,
YES,,Format,,"ವಿನ್ಯಾಸ, ನಮೂನೆ",,,,,,,
YES,,Format Bar,,ನಮೂನೆ ಪಟ್ಟಿ,,,,,,,
YES,,Forward,,ರವಾನಿಸು,,,,,,,
YES,,From,,..ಇಂದ,,,,,,,
YES,,Gray,,ಬೂದು,,,,,,,
YES,,Green,,ಹಸಿರು,,,,,,,
YES,,Help,,ಸಹಾಯ,,,,,,,
YES,,Help topic,,ಸಹಾಯ ಪರಿವಿಡಿ,,,,,,,
YES,,Hyphen,,ಅಡ್ಡಗೆರೆ,,,,,,,
YES,,Inbox,,ಅಂಚೆ ಸಂಚಯ,,,,,,,
YES,,Inches,,ಅಂಗುಲಗಳು,,,,,,,
YES,,Incorrect user name or Password,,ಸರಿಯಲ್ಲದ ಬಳಕೆದಾರರ ಹೆಸರು ಅಥವಾ ಕೀಲಿಪದ,,,,,,,
YES,,Increase the letter/word size,,ಗಾತ್ರ ಹಿಗ್ಗಿಸು,,,,,,,
YES,,Indentation,,ಪದಜಾಗ ನಿರ್ಧರಣೆ,,,,,,,
YES,,Insert Keystrokes,,ಕೀಲಿಯೊತ್ತು ಅಳವಡಿಸು,,,,,,,
YES,,Italics,,ಓರೆಅಕ್ಷರ,,,,,,,
YES,,Keyboard introduction,,ಕೀಲಿ ಪರಿಚಯ,,,,,,,
YES,,Keyboard layout,,ಕೀಲಿಮಣೆ ವಿನ್ಯಾಸ,,,,,,,
YES,,Last name,,ಕೊನೆಯ ಹೆಸರು,,,,,,,
YES,,Left,,ಎಡ,,,,,,,
YES,,Lens,,ಭೂತಗನ್ನಡಿ,,,,,,,
YES,,Lime,,ಲಿಂಡಾ ಇನ್‌ ಮೊಬೈಲ್‌ ಎನ್‌ವಿರೋನ್‌ಮೆಂಟ್‌,,,,,,,
YES,,Links,,ಕೊಂಡಿಗಳು,,,,,,,
YES,,Login,,ಒಳಬರು,,,,,,,
YES,,Logout,,ಹೊರಹೋಗು,,,,,,,
YES,,Mail sent,,ಕಳಿಸಿದ ಅಂಚೆ,,,,,,,
YES,,Maroon,,ಕಡುಗೆಂಪು,,,,,,,
YES,,Maximize,,ಹೆಚ್ಚಿಸು,,,,,,,
YES,,Measurement Units,,ಅಳತೆಯ ಮಾನಗಳು,,,,,,,
YES,,Message box,,ಸಂದೇಶ ಪೆಟ್ಟಿಗೆ,,,,,,,
YES,,Message deleted,,ಸಂದೇಶ ತೆಗೆದುಹಾಕಲಾಗಿದೆ,,,,,,,
YES,,Monolingual,,ಏಕ ಭಾಷೆ,,,,,,,
YES,,My profile,,ನನ್ನ ಕುರಿತು,,,,,,,
YES,,Navy Blue,,ಗಾಢನೀಲಿ,,,,,,,
YES,,New,,ಹೊಸ,,,,,,,
YES,,New Document Type,,ಹೊಸ ಕಡತ ಮಾದರಿ,,,,,,,
YES,,New password,,ಹೊಸ ಕೀಲಿಪದ,,,,,,,
YES,,New users sign up now,,ಹೊಸ ಬಳಕೆದಾರರು ದಾಖಲಾಗಿರಿ,,,,,,,
YES,,New window,,ಹೊಸ ಕಿಟಕಿ,,,,,,,
YES,,New line,,ಹೊಸ ಸಾಲು,,,,,,,
YES,,Next,,ಮುಂದಕ್ಕೆ,,,,,,,
YES,,No Warp,,ಆವರಣರಹಿತ,,,,,,,
YES,,Object,,ವಸ್ತು,,,,,,,
YES,,Object Properties,,ವಸ್ತುವಿನ ಗುಣಲಕ್ಷಣಗಳು,,,,,,,
YES,,Olive,,ಎಲೆ ಹಸಿರು,,,,,,,
YES,,Open,,ತೆಗೆ,,,,,,,
YES,,Options,,ಆಯ್ಕೆಗಳು,,,,,,,
YES,,Page Margins,,ಪುಟದ ಅಂಚು,,,,,,,
YES,,Page Setup,,ಪುಟ ಸಿದ್ಧತೆ,,,,,,,
YES,,Paragraph,,ವಾಕ್ಯವೃಂದ,,,,,,,
YES,,Password,,ಕೀಲಿ ಪದ,,,,,,,
YES,,Password changed,,ಕೀಲಿಪದ ಬದಲಾಗಿದೆ,,,,,,,
YES,,Password reminder,,ಕೀಲಿಪದ ಜ್ಞಾಪನ,,,,,,,
YES,,Paste,,ಅಂಟಿಸು,,,,,,,
YES,,Pen,,ಲೇಖನಿ,,,,,,,
YES,,Period,,ಅವಧಿ,,,,,,,
YES,,Points,,ಬಿಂದುಗಳು,,,,,,,
YES,,Print,,ಮುದ್ರಿಸು,,,,,,,
YES,,Print Direct,,ನೇರ ಮುದ್ರಿಸು,,,,,,,
YES,,Print Preview,,ಮುದ್ರಣ ಮುನ್ನೊಟ,,,,,,,
YES,,Print setup,,ಮುದ್ರಣ ಸಿದ್ಧತೆ,,,,,,,
