ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,A bird of prey,"ಹಿಂಸ್ರಪಕ್ಷಿ, ಪಕ್ಷಿಗಳನ್ನೂ ಸಣ್ಣ ಕ್ರಿಮಿಗಳನ್ನೂ ಕೊಂದು ತಿನ್ನುವ ಪಕ್ಷಿ",,,,,,,,,
,A bold front,ಧೈರ್ಯದಿಂದ ಎದುರಿಸುವಿಕೆ,,,,,,,,,
,A bother,"ಪೀಡೆ, ತೊಂದರೆ ಕೊಡುವ-ವ್ಯಕ್ತಿ, ವಸ್ತು, ವಿಷಯ",,,,,,,,,
,A bouncing baby,"ದುಂಡುದುಂಡಾದ, ಲವಲವಿಕೆಯ ಮಗು",,,,,,,,,
,A brand from the burning,"ಕಷ್ಟದಿಂದ ಪಾರು ಮಾಡಲ್ಪಟ್ಟವನು, ರಕ್ಷಿತ",,,,,,,,,
,A bundle of nerves,"ಹೆದರುಪುಕ್ಕ, ಅಂಜುಬುರುಕ",,,,,,,,,
,A canny reply,ಎಚ್ಚರಿಕೆಯ ಉತ್ತರ,,,,,,,,,
,A child prodigy,"ಅದ್ಭುತ ಶಿಶು, ಪ್ರಚಂಡ ಮಗು",,,,,,,,,
,A combustible temper,"ಉರಿದು ಬೀಳುವ ಮನೋ ವೃತ್ತಿ, ಮೂಗಿನ ಮೇಲೆ ಕೋಪವಿರುವ ಮನದ ಪರಿಸ್ಥಿತಿ",,,,,,,,,
,A common purse,ಸಾಮೂಹಿಕ ನಿಧಿ,,,,,,,,,
