ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Ability to command,,ಅಧಿಕಾರ ಮಾಡುವ ಸಾಮರ್ಥ್ಯ,,,,,,,
,,Absconding,,1. ತಲೆಮರೆಸಿಕೊಳ್ಳುವುದು 2. ಕಾನೂನಿಗೆ ಸಿಕ್ಕದಂತೆ ಓಡಿಹೋಗುವುದು,,,,,,,
,,Absence,,1. ಗೈರುಹಾಜರಿ 2. ಅಭಾವ,,,,,,,
,,Absence without leave,,ರಜೆ ಇಲ್ಲದ ಗೈರುಹಾಜರಿ,,,,,,,
,,Absent,,ಗೈರುಹಾಜರು,,,,,,,
,,Accelerator,,ಆಕ್ಸೆಲರೇಟರ್‌; ವೇಗವರ್ಧಕ,,,,,,,
,,Accessible,,ಸುಲಭವಾಗಿ ದೊರೆಯುವ; ಸುಗಮವಾದ,,,,,,,
,,Accessory,,ಪರಿಕರ; ಉಪಸಾಧನ; ಉಪಸಾಮಗ್ರಿ,,,,,,,
,,Accident,,1. ಆಕಸ್ಮಿಕ 2. ಅಪಘಾತ,,,,,,,
,,Accidental fire,,ಆಕಸ್ಮಿಕ ಅಗ್ನಿ / ಬೆಂಕಿ,,,,,,,
,,Acid cage,,ಆಸಿಡ್‌ ಕೇಜ್‌; ಆಮ್ಲದ ಗೂಡು,,,,,,,
,,Activeness of vision,,ದೃಷ್ಟಿಯ ಚುರುಕುತನ,,,,,,,
,,Additional measure,,ಹೆಚ್ಚಿನ ಕ್ರಮ,,,,,,,
,,Adequate,,ತಕ್ಕಷ್ಟು ಸಾಕಷ್ಟು,,,,,,,
,,Adjournment,,ಮುಂದೂಡಿಕೆ,,,,,,,
,,Administration,,ಆಡಳಿತ; ಕಾರ್ಯನಿರ್ವಹಣೆ,,,,,,,
,,Adopter,,ಅಡಾಪ್ಟರ್‌; ಹೊಂದಕ,,,,,,,
,,Air viva resuscitator,,ಏರ್‌ ವೈವ ರಿಸಸಿಟೇಟರ್‌; ಗಾಳಿ ಪೂರೈಸಿ ಪುನರುಜ್ಜೀವನಗೊಳಿಸುವ ಒಂದು ಉಪಕರಣ,,,,,,,
,,Alarm,,1. ಅಪಾಯಸೂಚಿಸು 2. ಅಪಾಯಸೂಚನೆ,,,,,,,
,,Alert,,1.ಎಚ್ಚರಿಸು 2. ಎಚ್ಚರಿಕೆ,,,,,,,
,,Alert and vigilant,,ಎಚ್ಚರಿಕೆ ಮತ್ತು ಜಾಗರೂಕತೆ,,,,,,,
,,All india service act,,ಅಖಿಲ ಭಾರತ ಸೇವಾ ಅಧಿನಿಯಮ,,,,,,,
,,Alternate exit,,ಬದಲಿದಾರಿ; ಬೇರೆದಾರಿ; ಪರ್ಯಾಯ ಮಾರ್ಗ,,,,,,,
,,Alternating current,,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ಪ್ರವಾಹ,,,,,,,
,,Aluminised suit,,ಆಲ್ಯೂಮಿನಿಯಂ ಲೇಪಿತ ಉಡುಪು,,,,,,,
,,Ambulance,,ಆಂಬುಲನ್ಸ್‌; ರೋಗಿವಾಹನ,,,,,,,
,,Ambulance attendant,,ಆಂಬುಲನ್ಸ್‌ ಅಟೆಂಡಂಟ್‌ ; ರೋಗಿವಾಹನ ಪರಿಚಾರಕ,,,,,,,
,,Ambulance call,,ರೋಗಿವಾಹನ ಕರೆ,,,,,,,
,,Ambulance call book,,ರೋಗಿವಾಹನ ಕರೆ ಪುಸ್ತಕ,,,,,,,
,,Ambulance call report,,ರೋಗಿವಾಹನ ಕರೆ ವರದಿ,,,,,,,
,,Ambulance call rules,,ರೋಗಿವಾಹನ ಕರೆ ನಿಯಮಗಳು,,,,,,,
,,Ambulance cash receipt book,,ರೋಗಿವಾಹನ ನಗದು ರಸೀದಿ ಪುಸ್ತಕ,,,,,,,
,,Ambulance fee,,ರೋಗಿವಾಹನ ಶುಲ್ಕ,,,,,,,
,,Ambulance report-book,,ರೋಗಿವಾಹನ ವರದಿ ಪುಸ್ತಕ,,,,,,,
,,Ambulance service,,ರೋಗಿವಾಹನ ಸೇವೆ; ರೋಗಿ ವಾಹನದಿಂದ ಒದಗುವ ಸೇವೆ,,,,,,,
,,Annual increment,,ವಾರ್ಷಿಕ ಬಡ್ತಿ,,,,,,,
,,Annual indent,,ವಾರ್ಷಿಕ ಕೋರಿಕೆ ಪತ್ರ,,,,,,,
,,Anticipated expenditure,,ನಿರೀಕ್ಷಿತ ವೆಚ್ಚ,,,,,,,
,,Appellate authority,,ಮೇಲ್ಮನವಿ ಪ್ರಾಧಿಕಾರ,,,,,,,
,,Appendix,,ಸಹಬಂಧ,,,,,,,
,,Appliance,,ಅಪ್ಲೈಯನ್ಸ್‌: 1. ಉಪಕರಣ; ಸಾಧನ 2. ಬೆಂಕಿ ಆರಿಸುವ ಯಂತ್ರ,,,,,,,
,,Appointing authority,,ನೇಮಕಾತಿ ಪ್ರಾಧಿಕಾರ,,,,,,,
,,Appropriate head,,ಸಮುಚಿತ ಶೀರ್ಷಿಕೆ; ಯೋಗ್ಯ ತಲೆಬರಹ,,,,,,,
,,Approval,,ಅನುಮೋದನೆ; ಒಪ್ಪಿಗೆ,,,,,,,
,,Arrears of pay,,ವೇತನದ ಬಾಕಿ,,,,,,,
,,Article,,1. ಸರಕು; ಸಾಮಗ್ರಿ 2. ಅನುಚ್ಛೇದ; ಪ್ರಕರಣ 3.ಲೇಖನ,,,,,,,
