ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Absence,,"ಗೈರುಹಾಜರಿ, ಅಭಾವ",,,,,,,
,,Absence without permission,,ಅನುಮತಿಯಿಲ್ಲದ ಗೈರುಹಾಜರಿ,,,,,,,
,,Absent,,ಗೈರುಹಾಜರಿ; ಗೈರುಹಾಜರಾಗು,,,,,,,
,,Absentee,,ಗೈರುಹಾಜರಿದಾರ,,,,,,,
,,Absentee statement,,ಗೈರುಹಾಜರಿ ವಿವರಣ ಪತ್ರ,,,,,,,
,,Absent on tour,,ಪ್ರವಾಸ ನಿಮಿತ್ತ ಗೈರುಹಾಜರು,,,,,,,
,,Absent without leave,,ರಜೆ ಪಡೆಯದೆ ಗೈರುಹಾಜರು,,,,,,,
,,Absolute,,"ಸಂಪೂರ್ಣ, ಪರಮ ನಿರಂಕುಶ",,,,,,,
,,Absolutely necessary,,ಅತ್ಯಗತ್ಯ,,,,,,,
,,Absolute ownership,,ಸಂಪೂರ್ಣ ಸ್ವಾಮ್ಯ,,,,,,,
