ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abbreviation,,"ಸಂಕ್ಷೇಪಣೆ, ಸಂಕ್ಷೇಪ ಮಾಡುವುದು, ಸಂಕ್ಷೇಪ, ಸಂಕ್ಷಿಪ್ತ ರೂಪ",,,,,,,
,,Aberrant Observation,,ದಾರಿತಪ್ಪಿದ ನಿರೀಕ್ಷಣೆ / ಅಭಿಪ್ರಾಯ,,,,,,,
,,Abetment,,ದುಷ್ಪ್ರೇರಣೆ,,,,,,,
,,Abnormal,,"ಅಸಮಾನ್ಯ, ಅತಿರೇಕ",,,,,,,
,,Abnormal toxicity,,ಅಸಮಾನ್ಯ ವಿಷತ್ವ,,,,,,,
,,Abortifacient,,ಗರ್ಭಸ್ರಾವಕ,,,,,,,
,,Abrasion,,ತರಚಿಕ,,,,,,,
,,Absinth (e),,ಮೂಲಿಕೆ ಅಥವಾ ಸಾರ,,,,,,,
,,Absolute temperature scale,,ಪರಮಶೂನ್ಯ ಉಷ್ಣಾಂಶ ಮಾನ,,,,,,,
,,Absorbent,,"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ ವಸ್ತು",,,,,,,
,,Absorption,,ಹೀರಿಕೆ,,,,,,,
,,Abstain,,ವರ್ಜಿಸು,,,,,,,
,,Abstersion,,"ವಿರೇಚನ, ವಿರೇಚಕ",,,,,,,
,,Abstinence,,ವರ್ಜನೆ,,,,,,,
,,Accelerator,,ವೇಗವರ್ಧಕ,,,,,,,
,,Accept,,"ಒಪ್ಪು, ಸ್ವೀಕರಿಸು",,,,,,,
,,Access,,"ಪ್ರವೇಶಾವಕಾಶ, ಬಳಸುವ ಅವಕಾಶ",,,,,,,
,,Accessories,,ಸಹಾಯಕ ಉಪಕರಣಗಳು,,,,,,,
,,Accompany,,ಜೊತೆಗಿರು,,,,,,,
,,Accredited,,"ಅಧಿಕೃತ, ಮಾನ್ಯ",,,,,,,
,,Accuracy,,ನಿಖರತೆ,,,,,,,
,,Acidifying salt,,ಆಮ್ಲೀಯಕಾರಕ ಲವಣ,,,,,,,
,,Acid insoluble ash,,ಆಮ್ಲದಲ್ಲಿ ಕರಗದಿರುವ ಬೂದಿ,,,,,,,
,,Acidosis,,ಮೂತ್ರ ರಕ್ತಾಮ್ಲತೆ,,,,,,,
,,Acid value,,ಆಮ್ಲ ಮೌಲ್ಯ,,,,,,,
,,Acquire,,"ಗಳಿಸು, ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳು",,,,,,,
,,Action,,"ಕ್ರಿಯೆ, ಕ್ರಮ",,,,,,,
