ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abet,,ದುಷ್ಟೇರಿಸು ; ಕೇಡಿಗನಿಗೆ ಕೆಟ್ಟ ಕೆಲಸ ಮಾಡುವುದರಲ್ಲಿ ನೆರವಾಗು,,,,,,,
,,Abetment for escape,,ಪರಾರಿಗೆ ದುಷ್ಟ್ರೇರಣೆ,,,,,,,
,,Able-bodied prisoner,,ದೃಢಕಾಯನಾದ ಕೈದಿ,,,,,,,
,,Abrogation,,ಕಿತ್ತುಹಾಕುವುದು; ರದ್ದುಮಾಡುವುದು,,,,,,,
,,Abscond,,ಪರಾರಿಯಾಗು; ತಲೆಮರೆಸಿಕೊ,,,,,,,
,,Absconder,,ಪರಾರಿಯಾದವ; ತಲೆಮರೆಸಿಕೊಂಡವ,,,,,,,
,,Absent,,1. ಗೈರುಹಾಜರಾಗು; ಇಲ್ಲದಿರು 2. ಗೈರುಹಾಜರಾದ,,,,,,,
,,Absent without leave,,ರಜ ಪಡೆಯದೆ ಗೈರುಹಾಜರಾದ,,,,,,,
,,Abstract,,ಗೋಶ್ವಾರೆ ಸಾರಾಂಶ; ಸಂಕ್ಷಿಪ್ತ,,,,,,,
,,Abstract contingent bill,,ಸಂಕ್ಷಿಪ್ತ ಸಾದಿಲ್ವಾರು ಬಿಲ್ಲು,,,,,,,
,,Abstract register,,ಸಂಕ್ಟಿಪ್ತ ರೆಜಿಸ್ಟರು,,,,,,,
,,Abuse,,1. ದುರುಪಯೋಗ ಮಾಡು 2. ಬಯ್ಯು; ನಿಂದಿಸು 3. ದುರುಪಯೋಗ 4. ಬೈಗುಳು; ನಿಂದನೆ,,,,,,,
,,Accessory,,ಉಪಸಾಧನ ; ಪರಿಕರ,,,,,,,
,,Accident,,1 ಅಪಘಾತ 2. ಆಕಸ್ಮಿಕ,,,,,,,
,,Accommodation,,1. ವಸತಿ 2. ಸ್ಥಳಾವಕಾಶ,,,,,,,
,,Account,,1. ಲೆಕ್ಕಕೊಡು 2. ಲೆಕ್ಕ ; ಖಾತೆ,,,,,,,
,,Accounts,,ಲೆಕ್ಕಗಳು ; ಲೆಕ್ಕಪತ್ರಗಳು,,,,,,,
,,Accurately,,ಕರಾರುವಾಕ್ಕಾಗಿ ; ನಿಖರವಾಗಿ,,,,,,,
,,Accuse,,ಆಪಾದಿಸು ; ಆರೋಪಿಸು,,,,,,,
,,Accused,,ಆಪಾದಿತ ; ಆರೋಪಿ,,,,,,,
,,Acquisition of lands,,ಭೂಸ್ವಾಧಿನತೆ,,,,,,,
,,Acquit,,ಖುಲಾಸೆಮಾಡು ; ನಿರ್ದೋಷಿಯೆಂದು ನಿರ್ಣಯಿಸು,,,,,,,
,,Acquittal,,ಖುಲಾಸೆ ; ನಿರ್ದೋಷಿಯೆಂಬ ನಿರ್ಣಯ,,,,,,,
,,Act,,1. ನಟನೆ ಮಾಡು 2. ಕೆಲಸ ; ಕಾರ್ಯ 3. ಅಧಿನಿಯಮ,,,,,,,
,,Addict,,ವ್ಯಸನಿ ; ದುಶ್ಚಟಗಳ ಗುಲಾಮ,,,,,,,
,,Additional budget grants,,ಹೆಚ್ಚುವರಿ ಬಜೆಟ್‌ ಅನುದಾನಗಳು,,,,,,,
,,Adhoc committee,,ಅಡ್‌ಹಾಕ್‌ ಕಮಿಟಿ ; ತತ್ಪೂರ್ತ ಸಮಿತಿ,,,,,,,
,,Adjournment,,1. ಮುಂದೂಡಿಕೆ 2. ನಿಲುವಳಿ,,,,,,,
