ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abbreviation,,ಸಂಕ್ಷಿಪ್ತರೂಪ; ಸಂಕೇತಾಕ್ಷರ,,,,,,,
,,Abdication,,ಅಧಿಕಾರ ತ್ಯಜಿಸುವಿಕೆ,,,,,,,
,,Abolition,,ರದ್ದುಗೊಳಿಸುವುದು; ರದ್ಧತಿ,,,,,,,
,,Above cited,,ಮೇಲೆ ಉದ್ಧರಿಸಿರುವ,,,,,,,
,,Above par,,ಮೂಲ ಬೆಲೆಗಿಂತ ಹೆಚ್ಚಿನ,,,,,,,
,,Above said,,ಮೇಲೆ ಹೇಳಿದ,,,,,,,
,,Absent,,ಗೈರು ಹಾಜರಾದ,,,,,,,
,,Absent debtor,,ಗೈರು ಹಾಜರಾದ ಸಾಲಗಾರ,,,,,,,
,,Absentee statement,,ಗೈರು ಹಾಜರಿ ಪಟ್ಟಿ; ತಃಖ್ತೆ,,,,,,,
,,Absent on tour,,ಪ್ರವಾಸ ನಿಮಿತ್ತ ಗೈರು ಹಾಜರಿ,,,,,,,
,,Absolute acceptance,,ಸಂಪೂರ್ಣ ಅಂಗೀಕಾರ,,,,,,,
,,Absolute assignment,,ಸಂಪೂರ್ಣ ವಹಿಸಿಕೆ,,,,,,,
,,Absolute right,,ಸಂಪೂರ್ಣ ಹಕ್ಕು,,,,,,,
,,Academic career,,ಶೈಕ್ಷಣಿಕ ಜೀವನ,,,,,,,
,,Academic qualification,,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ,,,,,,,
,,Academic year,,ಶೈಕ್ಷಣಿಕ ವರ್ಷ,,,,,,,
,,Acceptance,,ಅಂಗೀಕಾರ,,,,,,,
,,Acceptance note,,ಅಂಗೀಕಾರ ಪತ್ರ,,,,,,,
,,According to law,,ಕಾನೂನಿಗನುಸಾರವಾಗಿ,,,,,,,
,,According to Order,,ಆದೇಶಾನುಸಾರವಾಗಿ,,,,,,,
,,According to Rule,,ನಿಯಮಾನುಸಾರವಾಗಿ,,,,,,,
,,Account,,ಲೆಕ್ಕ; ಖಾತೆ,,,,,,,
,,Account of receipt and balances,,ಜಮಾ ಮತ್ತು ಶಿಲ್ಕು ಲೆಕ್ಕ,,,,,,,
,,Accounts Section,,ಲೆಕ್ಕವಿಭಾಗ; ಲೆಕ್ಕ ಪತ್ರ ವಿಭಾಗ,,,,,,,
,,Accounts Test (Higher),,ಲೆಕ್ಕ ಪತ್ರ ಪರೀಕ್ಷೆ (ಪ್ರೌಢ),,,,,,,
,,Accounts Test (Lower),,ಲೆಕ್ಕ ಪತ್ರ ಪರೀಕ್ಷೆ (ಕಿರಿಯ),,,,,,,
,,Acknowledgement,,ಸ್ವೀಕೃತಿ,,,,,,,
,,Acquittance and Receipter,,ತೀರಿಕೆ ಮತ್ತು ಪಾವತಿ,,,,,,,
,,Acquittance register,,ವೇತನ ವಿತರಣಾ ರಿಜಿಸ್ಟರ್,,,,,,,
,,Acquittance roll,,ವೇತನ ಪಟ್ಟಿ,,,,,,,
,,Action taken,,ಕೈಗೊಂಡ ಕ್ರಮ,,,,,,,
,,Actual Cultivation,,ಸ್ವಂತ ಬೇಸಾಯ; ವಾಸ್ತವಿಕ ಬೇಸಾಯ,,,,,,,
,,Actual Price,,ವಾಸ್ತವಿಕ ಬೆಲೆ,,,,,,,
,,Actual Service,,ವಾಸ್ತವಿಕ ಸೇವೆ,,,,,,,
,,Additional invoice,,ಹೆಚ್ಚಿನ ಬೆಲೆ,,,,,,,
,,Additional Quota,,ಹೆಚ್ಚಿನ ಪ್ರಮಾಣ,,,,,,,
,,Adhere to,,ಅಂಟಿಕೆ; ನೆಮ್ಮಿಕೆ,,,,,,,
,,Adjustment accounts,,ಹೊಂದಾಣಿಕೆ ಲೆಕ್ಕ,,,,,,,
,,Admission fee,,ಪ್ರವೇಶ ಶುಲ್ಕ,,,,,,,
,,Admission Certificate,,ಪ್ರವೇಶ ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,
,,Admission in evidence,,ಸಾಕ್ಷ್ಯದಲ್ಲಿ ಅಂಗೀಕಾರ,,,,,,,
,,Admit,,ಪ್ರವೇಶ ನೀಡು; ಅಂಗೀಕರಿಸು,,,,,,,
,,Advance,,ಮುಂಗಡ,,,,,,,
,,Advance bearing interest,,ಬಡ್ಡಿಯುಳ್ಳ ಮುಂಗಡ,,,,,,,
,,"Advance, repayable",,ಮರುಪಾವತಿಯಾಗುವ ಮುಂಗಡ,,,,,,,
,,Advertise,,ಜಾಹೀರಾತು ನೀಡು / ಪ್ರಕಟಿಸು,,,,,,,
,,Advertisement charge,,ಜಾಹೀರಾತು ವೆಚ್ಚ,,,,,,,
,,Affidavit,,ಶಪಥ ಪತ್ರ,,,,,,,
,,Age limit,,ವಯೋಮಿತಿ,,,,,,,
,,Agency,,ಏಜೆನ್ಸಿ,,,,,,,
,,Agenda,,ಕಾರ್ಯಸೂಚಿ,,,,,,,
,,Aggregate Marks,,ಒಟ್ಟು ಅಂಕಗಳು,,,,,,,
,,Agreement,,ಒಡಂಬಡಿಕೆ; ಕರಾರು,,,,,,,
,,All-India Service,,ಅಖಿಲಭಾರತ ಸೇವೆ,,,,,,,
,,Allocate,,ಹಂಚು,,,,,,,
,,Allotment,,ಹಂಚಿಕೆ; ಪಾಲು; ಭಾಗ,,,,,,,
,,Amendment,,ತಿದ್ದುಪಡಿ,,,,,,,
,,Annual report,,ವಾರ್ಷಿಕ ವರದಿ,,,,,,,
,,Annual returns,,ವಾರ್ಷಿಕ ಲೆಕ್ಕವರದಿ,,,,,,,
,,Antecedent,,ಹಿಂದಿನ ನೆಡೆವಳಿ,,,,,,,
,,Ante dated cheque,,ಪೂರ್ವ ದಿನಾಂಕದ ಚೆಕ್ಕು,,,,,,,
,,Appeal,,ಅಪೀಲು; ಮೇಲ್ಮನವಿ,,,,,,,
,,Appendix,,ಪರಿಶಿಷ್ಠ,,,,,,,
,,Application,,ಮನವಿ; ದರಖಾಸ್ತು,,,,,,,
