ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abdomen,,ಹೊಟ್ಟೆ; ಉದರ,,,,,,,
,,Abridged,,ಸಂಕ್ಷಿಪ್ತ; ಸಂಕ್ಷೇಪಗೊಳಿಸಿರುವ,,,,,,,
,,Absolute,,1. ಸಂಪೂರ್ಣ; ಪರಮ 2. ನಿಚ್ಚಳ,,,,,,,
,,Absorbent,,ಹೀರುವ; ಹೀರಿಕೊಳ್ಳುವ,,,,,,,
,,Absorbent cotton,,ಹೀರುವ ಹತ್ತಿ; ಗಾಯಕ್ಕೆ ಹಾಕುವ ಶುದ್ಧಿಗೊಳಿಸಿದ ಹತ್ತಿ,,,,,,,
,,Abutment,,ಊರೆ; ಆಧಾರ,,,,,,,
,,Access,,"1. (ಪ್ರವೇಶಕ್ಕೆ, ತಲುಪುವುದಕ್ಕೆ) ದಾರಿ; ಮಾರ್ಗ 2. ಪ್ರವೇಶಾಧಿಕಾರ",,,,,,,
,,Accessories,,ಪರಿಕರಗಳು; ಉಪಸಾಮಗ್ರಿ,,,,,,,
,,Accident,,1. ಅಪಘಾತ 2. ಆಕಸ್ಮಿಕ,,,,,,,
,,Accommodation,,ವಸತಿ; ಸ್ಥಳಾವಕಾಶ,,,,,,,
,,Accoutrements,,ಉಡಿಗೆ ತೊಡಿಗೆ,,,,,,,
,,Acetylene cutting outfit,,ಅಸಿಟಲೀನ್‌ ಅನಿಲದ ಸಹಾಯದಿಂದ ಕತ್ತರಿಸುವ ಸಾಧನ ಸಾಮಗ್ರಿ,,,,,,,
,,Acid,,ಆಮ್ಲ,,,,,,,
,,Acquaint,,ಪರಿಚಯ ಮಾಡಿಕೊ; ತಿಳಿದುಕೊಂಡಿರು,,,,,,,
,,Action,,1. ಕೆಲಸ; ಕಾರ್ಯ 2. ಕ್ರಮ,,,,,,,
,,Action warning,,ಕ್ರಮ ಕೈಕೊಳ್ಳುವ ಸೂಚನೆ ಯಾ ಎಚ್ಚರಿಕೆ,,,,,,,
,,Activities,,ಚಟುವಟಿಕೆಗಳು; ಕಾರ್ಯ ಕಲಾಪಗಳು,,,,,,,
,,Activity,,ಚಟುವಟಿಕೆ; ಚುರುಕು,,,,,,,
,,Adjoining,,ಪಕ್ಕದ; ನೆರೆಯ; ಲಗತ್ತಾಗಿರುವ,,,,,,,
,,Administer,,"(ಔಷಧ, ಮುಲಾಮು, ಮೊ.ವನ್ನು) ಕೊಡು; ಹಚ್ಚು",,,,,,,
,,Administration,,ಆಡಳಿತ,,,,,,,
,,Administrator,,ಆಡಳಿತಗಾರ; ಆಡಳಿತಾಧಿಕಾರಿ,,,,,,,
,,Adulterate,,1. ಕಲಬೆರಕೆ ಮಾಡು 2. ಕಲಬೆರಕೆಯ,,,,,,,
,,Adulteration,,ಕಲಬೆರಕೆ,,,,,,,
,,Advance,,1. ಮುಂದೆ ಸಾಗು 2. ಮುಂದೆ ಸಾಗುವುದು 3. ಮುಂಚಿನ,,,,,,,
,,Adventure,,ಸಾಹಸ,,,,,,,
,,Advisory committee,,ಸಲಹಾಸಮಿತಿ,,,,,,,
,,Aerial navigation,,ವಿಮಾನಯಾನ,,,,,,,
,,Aerodrome,,ವಿಮಾನ ನಿಲ್ದಾಣ,,,,,,,
,,Affair,,ಪ್ರಕರಣ; ವ್ಯವಹಾರ,,,,,,,
,,Affirmation,,ದೃಢೀಕರಣ,,,,,,,
,,Afford,,1. ಒದಗಿಸು 2. ಸಮರ್ಥನಾಗಿರು,,,,,,,
,,Aggrieved,,ಬಾಧಿತನಾದ; ತೊಂದರೆಗೀಡಾದ,,,,,,,
,,Aid,,1. ನೆರವು ಕೊಡು; ಸಹಾಯ ಮಾಡು 2. ನೆರವು; ಸಹಾಯ,,,,,,,
,,Aid and advice,,ಸಹಾಯ ಮತ್ತು ಸಲಹೆ,,,,,,,
,,Air burst,,ಗಾಳಿಯಲ್ಲಿ ಸ್ಫೋಟವಾಗುವುದು,,,,,,,
,,Aircell,,ವಾಯುಕೋಶ; ಗಾಳಿಯ ಗೂಡು,,,,,,,
,,Aircraft,,ವಿಮಾನ,,,,,,,
