ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abet,,ದುಷ್ಪ್ರೇರಿಸು; ಕೆಟ್ಟ ಕೆಲಸಕ್ಕೆ ನೆರವಾಗು,,,,,,,
,,Abrogate,,ರದ್ದುಮಾಡು; ಕಿತ್ತುಹಾಕು,,,,,,,
,,Abstract,,ಗೋಷ್ವಾರೆ; ಸಾರಾಂಶ; ಭಾವವಾಚಕ,,,,,,,
,,Acceptance,,ಒಪ್ಪಿಗೆ; ಅಂಗೀಕಾರ,,,,,,,
,,Accident,,ಅಪಘಾತ; ಆಕಸ್ಮಿಕ,,,,,,,
,,Account,,ಲೆಕ್ಕ; ಖಾತೆ,,,,,,,
,,Account for,,ಕಾರಣ ಕೊಡು,,,,,,,
,,Accounts,,ಲೆಕ್ಕಪತ್ರ,,,,,,,
,,Accrue,,ಕೂಡಿಬರು; ಪ್ರಾಪ್ತವಾಗು,,,,,,,
,,Accumulated,,ಒಟ್ಟುಗೂಡಿದ; ಸಂಚಿತ,,,,,,,
