ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Accompany,,"ಜೊತೆಯಲ್ಲಿರು, ಜೊತೆಗೆ ಹೋಗು, ಒಡಗೂಡಿ",,,,,,,
,,Accuracy,,"ಸರಿಯಾಗಿ, ಖಚಿತ, ನಿಖರ, ಕರಾರುವಾಕ್‌",,,,,,,
,,Accurate,,"ಖಚಿತವಾದ, ನಿಖರವಾದ, ಕರಾರುವಾಕ್ಕಾದ ಸರಿಯಾದ",,,,,,,
,,Acknowledgement,,"ಸ್ವೀಕೃತಿ, ಒಪ್ಪಿಗೆ",,,,,,,
,,Admissible,,"ಗ್ರಾಹ್ಯ, ಅಂಗೀಕಾರಾರ್ಹ, ಒಪ್ಪಬಹುದಾದ",,,,,,,
,,Air Compressor,,ವಾಯು ಸಂಕೋಚಕ,,,,,,,
,,Air steel Rod,,ಉಕ್ಕಿನ ಗಾಳಿ ಸರಳು,,,,,,,
,,Alarm Timepiece,,ಅಲಾರಂ ಗಡಿಯಾರ,,,,,,,
,,Allied Offices,,ಸಂಬಂಧಿತ ಕಛೇರಿಗಳು,,,,,,,
,,Alteration,,"ಬದಲಾವಣೆ, ವ್ಯತ್ಯಾಸ",,,,,,,
,,Annual Indent,,ವಾರ್ಷಿಕ ಬೇಡಿಕೆ ಪತ್ರ,,,,,,,
,,Appendix,,ಪರಿಶಿಷ್ಟ,,,,,,,
,,Approved Proof,,ಅನುಮೋದಿತ ಕರಡಚ್ಚು,,,,,,,
,,Art Board,,ನುಣುಪಾದ ರಟ್ಟುಕಾಗದ,,,,,,,
,,Article,,"ಲೇಖನ, ವಸ್ತು, ಅನುಚ್ಛೇದ, ನಿಯಮಾವಳಿ",,,,,,,
,,"Article, leading",,ಪ್ರಧಾನ ಲೇಖನ,,,,,,,
,,Art Paper,,ನುಣುಪಾದ ಕಾಗದ,,,,,,,
,,Asterisk,,ನಕ್ಷತ್ರ ಚಿಹ್ನೆ,,,,,,,
,,Authorised form,,ಅಧಿಕೃತ ನಮೂನೆ,,,,,,,
,,Automatic,,ಸ್ವಯಂಚಾಲಿತ,,,,,,,
,,Available,,"ದೊರೆಯುವ, ಲಭ್ಯ, ಸಿಕ್ಕುವ",,,,,,,
,,Average,,"ಸರಾಸರಿ, ಸಾಧಾರಣ, ಸಾಮಾನ್ಯ",,,,,,,
,,Azure,,ಆಕಾಶನೀಲಿ,,,,,,,
,,Badam Paper,,"ಬಾದಾಮಿ ಬಣ್ಣದ ಕಾಗದ, ಮಣ್ಣು ಬಣ್ಣದ ಕಾಗದ",,,,,,,
,,Bale Cutter,,ಬೇಲು ಪಟ್ಟಿ ಕತ್ತರಿ,,,,,,,
,,Ball Bearing,,"ಬಾಲ್‌ಬೇರಿಂಗು, ಗುಂಡು ಹೊರಳು",,,,,,,
,,Basis,,"ಆಧಾರ, ಮೂಲಾಧಾರ, ತಳಹದಿ",,,,,,,
,,Bench,,"ಬೆಂಚು, ಒಂದು ಪೀಠ; ನ್ಯಾಯಪೀಠ, ನ್ಯಾಯಸ್ಥಾನ",,,,,,,
,,Binders Glue,,"ಬೈಂಡರ್‌ ಗೋಂದು, ಅಂಟು, ರಟ್ಟು ಕಟ್ಟುವ ಗೋಂದು",,,,,,,
,,Birding,,"ಬೈಂಡಿಂಗ್‌, ರಟ್ಟು ಕಟ್ಟುವುದು, ಪುಸ್ತಕದ ರಟ್ಟು",,,,,,,
,,Bleached,,ಚಲುವೆ ಮಾಡಿದ,,,,,,,
,,Block,,"ಬ್ಲಾಕು, ಪಡಿಯಚ್ಚು",,,,,,,
,,Blotting Paper,,"ಒತ್ತು ಕಾಗದ, ಮಸಿಯಾರಿಸುವ ಕಾಗದ",,,,,,,
,,Blow Lamp,,ಊದು ದೀಪ,,,,,,,
,,Bodkin,,ದಬ್ಬಳ,,,,,,,
