ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Accommodating,,"ಹೊಂದಿಕೆಯಾಗುವ, ಅನುಕೂಲಕರ",,,,,,,
,,Account,,ಲೆಕ್ಕ ; ಖಾತೆ,,,,,,,
,,Accountancy,,"ಲೇಖಾಶಾಸ್ತ್ರ, ಲೆಕ್ಕಶಾಸ್ತ್ರ",,,,,,,
,,Accountant,,"ಲೆಕ್ಕಿಗ, ಲೇಖಾಪಾಲ",,,,,,,
,,Accounts,,ಲೆಕ್ಕಪತ್ರಗಳು,,,,,,,
,,Accounts Officer,,"ಲೆಕ್ಕಾಧಿಕಾರಿ, ಲೇಖಾಧಿಕಾರಿ",,,,,,,
,,Accrued,,"ಕೂಡಿಬಂದ, ಪ್ರಾಪ್ತವಾದ",,,,,,,
,,Accumulated Profits,,ಸಂಚಿತ ಲಾಭ,,,,,,,
,,Acknowledgement,,ಸ್ವೀಕೃತಿ,,,,,,,
,,Acquire,,"ಗಳಿಸು, ಪಡೆ ; ಸ್ವಾಧೀನ ಪಡಿಸಿಕೊಳ್ಳು",,,,,,,
,,Acquittance,,ಪಾವತಿ,,,,,,,
,,Acquittance roll,,ಪಾವತಿ ವಹಿ; ವೇತನ ಪಟ್ಟಿ,,,,,,,
,,Acreage,,ಎಕರೆಯ ಮೊತ್ತ ; ಎಕರೆವಾರು,,,,,,,
,,Actionable claim,,"ವ್ಯವಹಾರಯೋಗ್ಯ ಹಕ್ಕು, ದಾವೆ ಹಾಕಲು ಯೋಗ್ಯವಾದ ಹಕ್ಕು",,,,,,,
,,Actually incurred,,ವಾಸ್ತವವಾಗಿ ವಹಿಸಿಕೊಂಡ,,,,,,,
,,Actual turnover,,ವಾಸ್ತವಿಕ ವಹಿವಾಟು,,,,,,,
,,Adapt,,"ಅಳವಡಿಸು, ಹೊಂದಿಸು",,,,,,,
,,Adaptation,,ಅಳವಡಿಕೆ ; ಹೊಂದಾಣಿಕೆ,,,,,,,
,,Additional,,"ಅಧಿಕ, ಹೆಚ್ಚುವರಿ",,,,,,,
,,Additional tax,,ಅಧಿಕ ತೆರಿಗೆ,,,,,,,
,,Adequate consideration,,ಸಾಕಷ್ಟು ಪ್ರತಿಫಲ,,,,,,,
,,Adjourn,,ಮುಂದೂಡು,,,,,,,
,,Adjustment,,ಹೊಂದಾಣಿಕೆ,,,,,,,
,,Adjustment towards penalty,,ದಂಡದ ಬಗ್ಗೆ ಹೊಂದಾಣಿಕೆ,,,,,,,
,,Adjustment towards tax,,ತೆರಿಗೆ ಬಗ್ಗೆ ಹೊಂದಾಣಿಕೆ,,,,,,,
,,Administration,,ಆಡಳಿತ,,,,,,,
,,Administrator,,"ಆಡಳಿತಗಾರ, ಆಡಳಿತಾಧಿಕಾರಿ",,,,,,,
,,Admission,,ಪ್ರವೇಶ ; ಒಪ್ಪಿಗೆ,,,,,,,
,,Adventure,,ಸಾಹಸ,,,,,,,
,,Affidavit,,ಶಪಥ ಪತ್ರ,,,,,,,
,,Affirm,,"ದೃಢೀಕರಿಸು, ಪ್ರಮಾಣ ಮಾಡು",,,,,,,
,,Affirmation,,"ದೃಢೀಕರಣ, ಸ್ಥಿರೀಕರಣ ; ಪ್ರಮಾಣೀಕರಣ",,,,,,,
,,Aforesaid,,"ಪೂರ್ವೋಕ್ತ, ಹಿಂದೆ ಹೇಳಿದ",,,,,,,
,,Agent,,"ನಿಯೋಗಿ, ಏಜೆಂಟ್, ಪ್ರತಿನಿಧಿ",,,,,,,
,,Aggregate,,ಒಟ್ಟು ಮೊತ್ತ,,,,,,,
,,Aggregate dividend,,ಒಟ್ಟು ಲಾಭಾಂಶ,,,,,,,
,,Aggregate of turnover,,ವಹಿವಾಟಿನ ಮೊತ್ತ,,,,,,,
,,Aggrieved person,,ಬಾಧಿತ ವ್ಯಕ್ತಿ,,,,,,,
,,Agreed commission,,ಒಪ್ಪಿತ ದಲ್ಲಾಳಿ,,,,,,,
,,Agricultural implements,,ಕೃಷಿ ಸಲಕರಣೆಗಳು,,,,,,,
,,Agricultural income,,ಕೃಷಿ ವರಮಾನ,,,,,,,
,,Agricultural income tax,,ಕೃಷಿ ವರಮಾನ ತೆರಿಗೆ,,,,,,,
,,Agricultural operation,,ಕೃಷಿ ಕಾರ್ಯಾಚರಣೆ,,,,,,,
,,Agricultural produce,,"ಕೃಷಿ ಉತ್ಪನ್ನ, ವ್ಯವಸಾಯೋತ್ಪನ್ನ",,,,,,,
,,Agriculture,,"ಕೃಷಿ ವ್ಯವಸಾಯ, ಬೇಸಾಯ, ಒಕ್ಕಲುತನ",,,,,,,
,,Agriculturist,,"ರೈತ, ಕೃಷಿಕ, ವ್ಯವಸಾಯಗಾರ",,,,,,,
,,Allocate,,ಹಂಚು ; ನಿಗದಿಪಡಿಸು,,,,,,,
,,Allocation,,ಹಂಚುವಿಕೆ,,,,,,,
,,Allot,,ಹಂಚು,,,,,,,
,,Allotment,,ಹಂಚುವಿಕೆ,,,,,,,
,,Allowance,,ಭತ್ಯ ; ರಿಯಾಯಿತಿ ; ಅವಕಾಶ,,,,,,,
,,Amend,,ತಿದ್ದುಪಡಿ ಮಾಡು,,,,,,,
,,Amendment,,ತಿದ್ದುಪಡಿ,,,,,,,
,,Amenity,,"ಸೌಲಭ್ಯ, ಸೌಕರ್ಯ",,,,,,,
,,Amount borrowed,,ಸಾಲ ಪಡೆದ ಮೊಬಲಗು,,,,,,,
,,Amount equivalent to tax,,ತೆರಿಗೆಗೆ ಸಮನಾದ ಮೊತ್ತ,,,,,,,
,,Annual,,ವಾರ್ಷಿಕ,,,,,,,
,,Apparent,,"ಸ್ಪಷ್ಟ, ಕಣ್ಣಿಗೆ ಕಾಣುವ",,,,,,,
,,Apparent from the record,,ದಾಖಲೆಯಿಂದ ಕಂಡುಬರುವ,,,,,,,
,,Appeal,,"ಅಪೀಲು, ಮೇಲ್ಮನವಿ ; ಅಪೀಲು ಮಾಡಿಕೊಳ್ಳು",,,,,,,
,,Appearance,,ಹಾಜರಾತಿ ; ಚಹರೆ,,,,,,,
,,Appellant,,"ಅಪೀಲುದಾರ, ಮೇಲ್ಮನವಿದಾರ",,,,,,,
,,Appellate authority,,ಅಪೀಲು ಪ್ರಾಧಿಕಾರ / ಪ್ರಾಧಿಕಾರಿ,,,,,,,
