ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Accelerator,ವೇಗವರ್ಧಕ,,,,,,,,,YES
,Accessibility,ಸುಲಭಗಮ್ಯತೆ,,,,,,,,,YES
,Accident Spots,ಅಪಘಾತ ಸ್ಥಳಗಳು,,,,,,,,,YES
,Additional trips,"ಅಧಿಕ ಪರ್ಯಟನಗಳು, ಸಂಚಾರಗಳು, ಹೆಚ್ಚಿನ ಸುತ್ತುವಳಿಗಳು",,,,,,,,,YES
,Advance Booking facilities,ಮುಂಗಡ ಟಿಕೆಟ್‌ ಪಡೆಯುವ ಸೌಲಭ್ಯಗಳು,,,,,,,,,YES
,Aggregate traffic,ಒಟ್ಟು ಜನ ಸಂಚಾರ,,,,,,,,,YES
,Alternator,ಪರ್ಯಾಯ ವಿದ್ಯುತ್‌ ಪ್ರವಾಹ ಜನಕಗಳು,,,,,,,,,YES
,Amber light,ತೈಲಸ್ಫಟಿಕ ದೀಪ / ಬಣ್ಣದೀಪ ಬೆಳಕು / ಅಂಬರದ ಬೆಳಕು,,,,,,,,,YES
,Ambulator,ಸಂಚಾರ ಮಾಪಕ,,,,,,,,,YES
,Appellate authority,ಮೇಲ್ಮನವಿಯ ಪ್ರಾಧಿಕಾರ,,,,,,,,,YES
,Appellate tribunal,ಮೇಲ್ಮನವಿ ನ್ಯಾಯಮಂಡಳಿ,,,,,,,,,YES
,Armatures,ಲೋಹಕಾಂತ ರಕ್ಷಕಗಳು,,,,,,,,,YES
,Arterial roads,ಶಾಖೆಗಳನ್ನೊಳಗೊಂಡ ಪ್ರಧಾನ ರಸ್ತೆಗಳು,,,,,,,,,YES
,Articulated vehicle,ಕೀಲು ಜೋಡಣೆಯ ವಾಹನ,,,,,,,,,YES
,Attendant on locomotives,ಚಲನಶೀಲಯಂತ್ರದ ಪರಿಚಾರಕ,,,,,,,,,YES
,Audible warning device,ಶ್ರವ್ಯ ಎಚ್ಚರಿಕೆ ಸಾಧನ,,,,,,,,,YES
,Auto bulbs,ಸ್ವಪ್ರಕಾಶಿತ ಬಲ್ಬುಗಳು,,,,,,,,,YES
,Axle,"ಚಕ್ರಸುತ್ತುವ ಅಚ್ಚು, ಇರಚು",,,,,,,,,YES
,Back rest,"ಹಿಂಬದಿ ಆಧಾರ, ಬೆನ್ನು ಆಸರೆ",,,,,,,,,YES
,Badge,"ಬಿಲ್ಲೆ, ಬ್ಯಾಡ್ಜ್",,,,,,,,,YES
,Back lashing,ಹಿಂಚಲನೆ,,,,,,,,,YES
,Ball bearings,ಗುಂಡು ಹೊರಳುಗಳು,,,,,,,,,YES
,Bar,"ಕಂಬಿ, ಅಡ್ಡಗಟ್ಟು, ಸಲಾಕಿ",,,,,,,,,YES
,Battery charger,"ಬ್ಯಾಟರಿ ಚಾರ್ಜರ್‌, ಬ್ಯಾಟರಿ ಪೂರಕ",,,,,,,,,YES
,Bearing clutch,"ಘರ್ಷಕ ಯಂತ್ರಭಾಗಹಿಡಿಕೆ / ಕ್ಲಚ್ಚು, ಬೇರಿಂಗ್‌ ಕ್ಲಚ್ಚು",,,,,,,,,YES
,Blind corners,ಕಾಣದ ತಿರುವುಗಳು,,,,,,,,,YES
,Block,"ಸಂಚಾರ ತಡೆ, ಮರದ ದಿಮ್ಮಿ",,,,,,,,,YES
,Body and fittings,ವಾಹನದ ಶರೀರ ಮತ್ತು ಜೋಡಣೆಗಳು,,,,,,,,,YES
,Bogus permits,ನಕಲಿ ಪರ್ಮಿಟ್ಟುಗಳು / ರಹದಾರಿಗಳು,,,,,,,,,YES
,Bonnet,"ಚಾಲಕಯಂತ್ರದ ಕೀಲು ಮುಚ್ಚಳ, ಬಾನೆಟ್‌",,,,,,,,,YES
,Bottleneck,"ಇಕ್ಕಟ್ಟು, ಅಡಚಣೆ, ಇಕಟ್ಟು ದಾರಿ",,,,,,,,,YES
,Breaches,"ಭಂಗಗಳು, ಉಲ್ಲಂಘನೆಗಳು",,,,,,,,,YES
,Brake,"ತಡೆ, ಬ್ರೇಕ್‌",,,,,,,,,YES
,Brake failure,ಬ್ರೇಕ್‌ ವಿಫಲತೆ,,,,,,,,,YES
,Bumper,"ಎಗರು ತಡೆ, ಬಂಪರ್‌ (ಡಿಕ್ಕಿಯ ಹೊಡೆತನವನ್ನು ಕಡಿಮೆ ಮಾಡುವ)",,,,,,,,,YES
,Bus stand,ಬಸ್‌ ನಿಲ್ದಾಣ,,,,,,,,,YES
,Camber,"ರಸ್ತೆ ಉಬ್ಬು, ಮೇಲುಬ್ಬು",,,,,,,,,YES
,Carburetor,"ಕಾರ್ಬುರೇಟರ್‌, ಪೆಟ್ರೋಲ್‌ ಹಬೆಯನ್ನು ಗಾಳಿಯೊಡನೆ ಮಿಶ್ರಮಾಡುವ ಸಲಕರಣೆ",,,,,,,,,YES
,Carriage,"ಯಂತ್ರದ ಓಡುಭಾಗ, ಚಾಲಕ ಭಾಗ, ಸಾಗಣೆ ಹೊರೆ, ಭಾರ, ಸಾಗಣೆ ವೆಚ್ಚ, ಗಾಡಿ, ಬಂಡಿ, ವಾಹನ, ಮಜಲುಗಾಡಿ",,,,,,,,,YES
,Caution Board,ಎಚ್ಚರಿಕೆ ಫಲಕ / ಬೋರ್ಡ್‌,,,,,,,,,YES
,Certificate of fitness,"ಯೋಗ್ಯತಾ ಪ್ರಮಾಣ ಪತ್ರ, ಅರ್ಹತಾ ಪ್ರಮಾಣಪತ್ರ",,,,,,,,,YES
,Channelized road,"ವಾಹನಸಾಧನ ಮಾರ್ಗ, ತೋಡಿದ ರಸ್ತೆ",,,,,,,,,YES
,Chassis,"ಅಡಿಗಟ್ಟು, ಆಧಾರದ ಚೌಕಟ್ಟು ಛಾಸಿ",,,,,,,,,YES
,Check gates,"ತನಿಖಾ ಬಾಗಿಲುಗಳು, ಚೆಕ್‌ ಗೇಟ್‌ಗಳು, ತಡೆಬಾಗಿಲುಗಳು",,,,,,,,,YES
,Checking report,ತನಿಖಾ ವರದಿ,,,,,,,,,YES
,Check posts,"ತನಿಖಾ ಸ್ಥಳಗಳು, ಚೆಕ್ ಪೋಸ್ಟ್‌ಗಳು",,,,,,,,,YES
,City services,ನಗರ ಬಸ್‌ ಸೇವೆಗಳು,,,,,,,,,YES
,Claims tribunal,ಹಕ್ಕು ಕೋರಿಕೆ ನ್ಯಾಯಪೀಠ,,,,,,,,,YES
,Cloak room,ಸಾಮಾನುಗಳನ್ನು ಇಡುವ ಕೋಣೆ,,,,,,,,,YES
,Clutch,"ಹಿಡಿಕೆ, ಕ್ಲಚ್‌, ಬಿಗಿಹಿಡಿಕೆ",,,,,,,,,YES
,Cock pit,ಚಾಲಕನ ಸ್ಥಳ,,,,,,,,,YES
,Coercive action,ಬಲಾತ್ಕಾರ ಕ್ರಮ,,,,,,,,,YES
,Complaint box,ದೂರು ಪೆಟ್ಟಿಗೆ,,,,,,,,,YES
