ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
YES,,Afforestation,,ವನನಿರ್ಮಾಣ ಅರಣ್ಯಾಭಿವೃದ್ಧಿ,,,,,,,
YES,,Bio-fuel,,ಜೈವಿಕ ಇಂಧನ,,,,,,,
YES,,De-Mineralizing,,"ಖನಿಜ ರಹಿತಗೊಳಿಸುವುದು, ಡೀ ಮಿನರಲೈಜಿಂಗ್‌",,,,,,,
YES,,Distilled Water,,"ಭಟ್ಟಿ ಇಳಿಸಿದ ನೀರು, ಶೋಧಿಸಿದ ನೀರು",,,,,,,
YES,,Eco-Friendly,,ಪರಿಸರ ಸ್ನೇಹಿ / ಪ್ರೇಮಿ,,,,,,,
YES,,Energy Conservation,,ಇಂಧನ ಸಂರಕ್ಷಣೆ,,,,,,,
YES,,Energy Audits,,ಇಂಧನ ಪರಿಶೋಧನೆ,,,,,,,
YES,,Fuel and Lubricant,,ಇಂಧನ ಮತ್ತು ಮೃದುಚಾಲಕ,,,,,,,
YES,,Laboratory,,ಪ್ರಯೋಗಾಲಯ,,,,,,,
YES,,Pollution,,ಮಾಲಿನ್ಯ,,,,,,,
YES,,Saplings,,ಸಸಿಗಳು,,,,,,,
YES,,Sample,,(ಕೀಲೆಣ್ಣೆ) ಮಾದರಿ,,,,,,,
YES,,Smoke Testing Equipment,,ಧೂಮ ಪರೀಕ್ಷಾ ಉಪಕರಣ,,,,,,,
YES,,Smoke Emission Check,,ಹೊರಬಿಡುವ ಧೂಮದ ತಪಾಸಣೆ / ಧೂಮ್ರ ತಪಾಸಣೆ,,,,,,,
YES,,Sticker,,"ಅಂಟುವ ಚೀಟಿ, ಸ್ಟಿಕರ್‌",,,,,,,
YES,,Rain Water Harvesting,,ಮಳೆ ನೀರು ಸಂಗ್ರಹ,,,,,,,
YES,,Water Conservation,,ಜಲ ಸಂರಕ್ಷಣೆ,,,,,,,
YES,,Waste,,"ನಿರುಪಯುಕ್ತ, ಪೋಲು",,,,,,,
YES,,Water Re-cycling,,ನೀರಿನ ಮರುಬಳಕೆ,,,,,,,
YES,,Water Quality Check,,ನೀರಿನ ಗುಣಮಟ್ಟ ಪರಿಶೀಲನೆ,,,,,,,
YES,,World Environment Day,,ವಿಶ್ವ ಪರಿಸರ ದಿನ,,,,,,,
