ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abattoir,ಕಸಾಯಿಖಾನೆ,,,,,,,,,
,Abdomen,"ಹೊಟ್ಟೆ, ಉದರ",,,,,,,,,
,Abdominal capacity,ಉದರಾವಕಾಶ,,,,,,,,,
,Abdominal palpation,ಉದರ / ಹೊಟ್ಟೆಯನ್ನು ಮುಟ್ಟಿನೋಡುವಿಕೆ,,,,,,,,,
,Abdominal palpitation,ಉಗರಕಂಪನ,,,,,,,,,
,Abducent nerve,"ಅಪವರ್ತನಿ ನರ, ಬದಿಸರಿಕ ನರ",,,,,,,,,
,Abduction,"ದೂರಸರಿಕೆ, ಅಪಸರಣ",,,,,,,,,
,Aberration,ಅಪಸರಣೆ,,,,,,,,,
,Ablactate,ಮೊಲೆ ಬಿಡಿಸು,,,,,,,,,
,Ablactation,ಹಾಲು ನಿಲ್ಲುವಿಕೆ,,,,,,,,,
,Abnormal milk,ಅಸಹಜ / ವೈಪರೀತ್ಯದ ಹಾಲು,,,,,,,,,
,Abomasum,ನಿಜೊಡಲು (ನಾಲ್ಕನೆಯ ಜಠರ),,,,,,,,,
,Aborted cow,ಕಂದು ಹಾಕಿದ / ಗರ್ಭಪಾತವಾದ ಹಸು,,,,,,,,,
,Abortion,"ಕಂದುಹಾಕುವಿಕೆ, ಮೈಯಿಳಿತ, ಗರ್ಭಪಾತ",,,,,,,,,
,Abrasion,ತರಚುಗಾಯ,,,,,,,,,
,Abreast parlour,ಹಾಲು ಕರೆಯುವ ಸ್ಥಾವರ,,,,,,,,,
,Abscess,ಕೀವುಗಂಟು,,,,,,,,,
,A bullock work unit,ಒಂದು ಎತ್ತು 8 ಗಂಟೆಯಲ್ಲಿ ಮಾಡುವ ಸರಾಸರಿ ಕೆಲಸ,,,,,,,,,
,Acanthesis,ಕಂಟಕ ಬೇನೆ,,,,,,,,,
,Acantholysis,ಮೇಲ್ಚರ್ಮ ಲಯನ,,,,,,,,,
,Acanthosis nigricens,ಕಂಟಕಬೇನೆ ಕಪ್ಪು,,,,,,,,,
,Acapnia,ರಕ್ತದಲ್ಲಿ ಇಂಗಾಲದ ಡೈಆಕ್ಸೈಡ್‌ / ಇಂಗಾಲಾಮ್ಲದ ಕೊರತೆ,,,,,,,,,
,Acardiac,ಗುಂಡಿಗೆ ಹೊರಗಿನ,,,,,,,,,
,Acarid,"ಉಣ್ಣಿ, ನುಸಿ",,,,,,,,,
,Acarology,ನುಸಿಶಾಸ್ತ್ರ,,,,,,,,,
,Accessory coat,ಉಪಪಟಲ (ಕಣ್ಣುಗುಡ್ಡೆಯ),,,,,,,,,
,Accessory ligament,ಹೆಚ್ಚಳಿಕೆ ತಂತುಗಟ್ಟು,,,,,,,,,
,Accessory nerves,ಆನುಷಂಗಿಕ / ಸಹಕಾರಿ ನರಗಳು,,,,,,,,,
,Acceptability of animal,ಪ್ರಾಣಿಗಳಿಗೆ ಮೇವು ಇಷ್ಟವಾಗುವಿಕೆ,,,,,,,,,
,Accipitral,"ತೀಕ್ಷ್ಣದೃಷ್ಟಿಯುಳ್ಳ, ಗಿಡಗ ದೃಷ್ಚಿ",,,,,,,,,
,Acclimatization,ಹವಾಮಾನಕ್ಕೆ ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ,,,,,,,,,
,Acclimatization value,ಹವಾಮಾನಕ್ಕೆ ಒಗ್ಗುವಿಕೆ ಮೌಲ್ಯ,,,,,,,,,
,Acervuloma,"ಮಿದುಳುಸುಬಗಂತಿ, ಜಂಪೆಗಂತಿ",,,,,,,,,
,Acetonamia,"ಆಸಿಟೋನ್ ರಕ್ತ, ಆಮ್ಲರಕ್ತತೆ",,,,,,,,,
,Acetonuria,ಅಸಿಟೋನ್ ಮೂತ್ರ,,,,,,,,,
,Achilles tendon,ಅಖಿಲಸನ ಕಂಡರ,,,,,,,,,
,Achondroplasia,ಮೆಲ್ಲೆಲುರೂಪಗೆಡಿಕೆ,,,,,,,,,
,Acne,"ಮೊಡವೆ, ಮೊಡಮೆ",,,,,,,,,
,Acoustic,"ಆಲಿಕಾಶಾಸ್ತ್ರ, ಧ್ವನಿಗತಿಶಾಸ್ತ್ರ",,,,,,,,,
,Acquired character,ಆರ್ಜಿತ ಗುಣ,,,,,,,,,
,Acquired immunity,ಆರ್ಜಿತ ನಿರೋಧಕತೆ,,,,,,,,,
,Acro megaly,"ತೋರವಯವಿ, ಅತಿಕಾಯ",,,,,,,,,
,Acrosomic defect,ಅಗ್ರ ಪಿಂಡಕದೋಷ,,,,,,,,,
,Actino bacillosis,"ಮರನಾಲಗೆ (ದನ, ಹಂದಿಗಳ ರೋಗ)",,,,,,,,,
,Actino dermatitis,ಚರ್ಮದ ಉರಿತ,,,,,,,,,
,Actino mycosis,ಗಲ್ಲಕಟ್ಟು (ಸಾಕುಪ್ರಾಣಿಗಳ ಗಂಟಲು / ದವಡೆಗಳಲ್ಲಾಗುವ ಗಂತಿ ರಚನೆ),,,,,,,,,
,Act of mating,ಸಂತಾನೋತ್ಪಾದನೆಗೆ ಜೊತೆಗೂಡಿಸುವ ಕ್ರಿಯೆ,,,,,,,,,
,Act of parturition,ಹೆರಿಗೆ ಕ್ರಿಯೆ,,,,,,,,,
,Acute disease,ತೀವ್ರಬೇನೆ,,,,,,,,,
,Adaptation,ಹೊಂದಾಣಿಕೆ,,,,,,,,,
,Adapted dairy products,ಅನುಗೊಳಿಸಿದ ಹೈನು ಉತ್ಪನ್ನಗಳು,,,,,,,,,
,Adapted milk processing techniques,ಅಂಗೀಕೃತ ಹಾಲುಸಂಸ್ಕರಣೆ ತಂತ್ರಗಳು,,,,,,,,,
,Adapter,"ಜೋಡಿಕ, ಕೂಡುನಾಳಿ",,,,,,,,,
,Additive,"ಸೇರಿಕ, ಸೇರ್ಪು, ಸೇರಿಸಬೇಕಾದವು",,,,,,,,,
,Additive gene action,ಸೇರ್ಪಡೆಕಾರಕ ವಂಶವಾಹಿಕ್ರಿಯೆ,,,,,,,,,
,Addled egg,ಕಾವಿನವಧಿಯಲ್ಲಿ ಭ್ರೂಣಸತ್ತ ಫಲೀಕೃತ ಮೊಟ್ಟೆ (ಸಾಧಾರಣ ಕೊಳೆತ ಮೊಟ್ಟೆ),,,,,,,,,
,Adductor,ಒಳಸರಿಕ,,,,,,,,,
,Adductor parves,ಒಳಸರಿಕ ಸ್ನಾಯು,,,,,,,,,
,Adenalgia,ಗ್ರಂಥಿನೋವು,,,,,,,,,
,Adenitis,ಗ್ರಂಥಿಯುರಿತ,,,,,,,,,
,Adenohypophyseal (Anterior pitutory),ಪೀಯೂಷಿಕ ಗ್ರಂಥಿ,,,,,,,,,
,Adeno hypophysis,ಮುಂದಣ ಪೀಯೂಷಗ್ರಂಥಿ,,,,,,,,,
,Adenoma,"ಗ್ರಂಥಿ ಗಂತಿ, ಗ್ರಂಥಿಅರ್ಬುದ",,,,,,,,,
,Adenomyoma,ಗ್ರಂಥಿಸ್ನಾಯುಗಂತಿ,,,,,,,,,
,Adipose gland,ಕೊಬ್ಬುಗ್ರಂಥಿ,,,,,,,,,
,Adipose tissue,ಮೇದಸ್ಸು / ಕೊಬ್ಪು ಊತಕ,,,,,,,,,
,Adiposuria,"ಪಸೆಮೂತ್ರ, ಕೊಬ್ಬು / ಜಿಡ್ಡುಯುತ ಮೂತ್ರ",,,,,,,,,
,Adjerzry's disease,ಅಜ್ಕೆರೋಗ,,,,,,,,,
,Adlib feeding,ಯಥೇಚ್ಛ ಮೇವುಣಿಕೆ,,,,,,,,,
,Adlibitum,"ಮಿತಿಯಿಲ್ಲದೆ, ಸ್ವೇಚ್ಛೆಯಾಗಿ ತಿನ್ನುವಿಕೆ",,,,,,,,,
,Adnexa,ಚರ್ಮಸಂಬಂಧಿತ,,,,,,,,,
,Adrenal,"ಮೂತ್ರಪಿಂಡಬದಿಯ, ಅಡ್ರಿನಲ್",,,,,,,,,
,Adrenal cortico steroid,ಮೂತ್ರಪಿಂಡಬದಿಯ / ಅಡ್ರಿನಲ್ ಕಾರ್ಟಿಕೊ ಸ್ಟೀರಾಯ್ಡ್,,,,,,,,,
,Adrenal gland,ಮೂತ್ರಪಿಂಡಬದಿಯ / ಅಡ್ರಿನಲ್ ನಿರ್ನಾಳಗ್ರಂಥಿ,,,,,,,,,
,Adrenal medulla,ಅಡ್ರಿನಲ್ / ನಿರ್ನಾಳಗ್ರಂಥಿಯ ಒಳಭಾಗ,,,,,,,,,
,Adreno genital syndrome,ಅಡ್ರಿನಲ್ ಜನನಾಂಗದ ಲಕ್ಷಣಕೂಟ / ಸಮಷ್ಟಿ,,,,,,,,,
,Adulteration,ಕಲಬೆರಕೆ (ಹಾಲುನೀರು),,,,,,,,,
,Adult female,ಪ್ರೌಢ / ಪ್ರಾಯದ ಹೆಣ್ಣು,,,,,,,,,
,Adult male,ಪ್ರೌಢ / ಪ್ರಾಯದ ಗಂಡು,,,,,,,,,
,Adult mortality rate,ಪ್ರಾಯದ / ಪ್ರೌಢಪ್ರಾಣಿಗಳ ಮರಣದರ,,,,,,,,,
,Adult stock,ಪ್ರೌಢಾವಸ್ಥೆಯ ಪ್ರಾಣಗುಂಪು,,,,,,,,,
,Adventitious sound,"ಹೆಚ್ಚಿನ (ಆಕಸ್ಮಿಕ, ಅಸಾಧಾರಣ) ಶಬ್ದ",,,,,,,,,
