ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abbreviated Card,,ಸಂಕ್ಷಿಪ್ತ ಕಾರ್ಡು,,,,,,,
,,Abrevia ted Catalogue entry,,ಸಂಕ್ಷಿಪ್ತ ವಿವರಣ ಪಟ್ಟಿ ನಮೂದು,,,,,,,
,,Aberrant copy,,ಪಲ್ಲಟಿತ ಪ್ರತಿ,,,,,,,
,,Absorbency,,ಹೀರಿಕೆ ಸಾಮರ್ಥ್ಯ,,,,,,,
,,Absorbent double crown paper,,ಹೀರಿಕೆಯ ಡಬಲ್ ಕ್ರೌನ್ ಕಾಗದ,,,,,,,
,,Absorbent paper,,ಹೀರು ಕಾಗದ,,,,,,,
,,Abstract,,ಸಾರಾಂಶ,,,,,,,
,,Abstract Bulletin,,ಸಂಕ್ಷಿಪ್ತ ಲಘು ಪ್ರಕಟಣೆ,,,,,,,
,,Acanthus,,"ಆಕ್ಯಾನ್ಥಸ್, ಒಂದು ಸಸ್ಯಜಾತಿ",,,,,,,
,,Access,,ಪ್ರವೇಶ; ಪ್ರವೇಶಾಧಿಕಾರ,,,,,,,
,,Accession,,ಪ್ರಾಪ್ತಿ ; ಸೇರಿಕೆ,,,,,,,
,,Accession Date,,ಸೇರಿಕೆ ದಿನಾಂಕ,,,,,,,
,,Accession list,,ಸೇರಿಕೆ ಪಟ್ಟಿ,,,,,,,
,,Accession Number,,ಸೇರಿಕೆ ಕ್ರಮಾಂಕ,,,,,,,
,,Accession Order,,ಸೇರಿಕೆ ಕ್ರಮ,,,,,,,
,,Accession Register,,ಸೇರಿಕೆ ರಿಜಿಸ್ಟರು,,,,,,,
,,Accession Stamp,,ಸೇರಿಕೆ ಮುದ್ರಾಂಕ,,,,,,,
,,Accidental fire,,ಆಕಸ್ಮಿಕ ಅಗ್ನಿ,,,,,,,
,,Accompanying Material,,ಸಹಾಯಕ ಸಾಮಗ್ರಿ,,,,,,,
,,Accumulation,,ಶೇಖರಣೆ,,,,,,,
,,Accurate location,,ಖಚಿತ ಸ್ಥಳ,,,,,,,
,,Acid free manila folder,,ಆಮ್ಲ ರಹಿತ ಮನಿಲಾ ಸುಡಿಚು ಸಲಕರಣೆ ಪ್ರಕಟನ ಪತ್ರ,,,,,,,
,,Acid free paper,,ಆಮ್ಲ ರಹಿತ ಕಾಗದ,,,,,,,
,,Acquisition,,ಸಂಗ್ರಹಣೆ; ಸ್ವಾಧೀನತೆ,,,,,,,
,,Acquisition officer,,ಸಂಗ್ರಹಣಾಧಿಕಾರಿ,,,,,,,
,,Acquisition record,,ಸಂಗ್ರಹಣಾ ದಾಖಲೆ,,,,,,,
,,Acquisition section,,ಸಂಗ್ರಹಣಾ ಶಾಖೆ,,,,,,,
,,Act,,ಅಧಿನಿಯಮ,,,,,,,
,,Added entry,,ಸೇರಿಕೆ ನಮೂದು,,,,,,,
