ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Accord,"ನೀಡು, ಒಪ್ಪು, ಒಡಂಬಡು, ಒದಗಿಸು, ಒಡಂಬಡಿಕೆ",,,,,,,,,YES
,Administrative control,ಆಡಳಿತ ನಿಯಂತ್ರಣ,,,,,,,,,YES
,Administrative grounds,ಆಡಳಿತ ಕಾರಣಗಳು,,,,,,,,,YES
,Administrative report,ಆಡಳಿತ ವರದಿ,,,,,,,,,YES
,Addictness,"ಚಟ, ಗೀಳು, ವ್ಯಸನ, ದುರಾಭ್ಯಾಸ",,,,,,,,,YES
,Adherence,ಜಾಲಸಾವಾಮಿ,,,,,,,,,YES
,Adverse remarks,ಪ್ರತಿಕೂಲ ಷರಾ,,,,,,,,,YES
,Administrative Convenience,ಆಡಳಿತದ ಅನುಕೂಲತೆ,,,,,,,,,YES
,Amplification,"ವಿಸ್ತರಣ, ವರ್ಧನೆ, ವಿವರಣೆ, ಉತ್ಪ್ರೇಕ್ಷೆ",,,,,,,,,YES
,Anonymous,"ಅನಾಮಿಕ, ಅನಾಮಧೇಯ",,,,,,,,,YES
,Annual Confidential reports,ವಾರ್ಷಿಕ ಗೋಪ್ಯ ವರದಿಗಳು,,,,,,,,,YES
,Annoyance,"ಕಿರುಕುಳ, ಪೀಡೆ",,,,,,,,,YES
