ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Air Succures,ಏರ್‌ ಸಕ್ಕರ್ಸ್,,,,,,,,,YES
,Binding,"ಬೈಂಡ್‌ ಮಾಡುವುದು, ರಟ್ಟುಹಾಕುವುದು",,,,,,,,,YES
,Block,ಪಡಿಯಚ್ಚು ಬ್ಲಾಕ್‌,,,,,,,,,YES
,Borders,"ಅಂಚು, ಸೆರಗು, ಬಾರ್ಡರ್ಸ್",,,,,,,,,YES
,Board,"ಬೋರ್ಡ್‌, ಹಲಗೆ, ಮಣೆ",,,,,,,,,YES
,Cleaning,"ಸ್ಪಚ್ಛಗೊಳಿಸುವುದು, ಶುಭ್ರಗೊಳಿಸುವುದು, ಕ್ಲೀನಿಂಗ್‌",,,,,,,,,YES
,Coating,ಲೇಪನ,,,,,,,,,YES
,Composing,ಅಚ್ಚುಮೊಳೆ,,,,,,,,,YES
,Compressing,"ಕಂಪ್ರೆಸ್ಸಿಂಗ್‌, ಸಂಪೀಡನ, ಅಡಕಗೊಳಿಸುವುದು, ಕುಗ್ಗಿಸುವುದು",,,,,,,,,YES
,Conversion,"ತಿರುಗಿಸುವುದು, ತಿರುಗುವುದು, ಪರಿವರ್ತನೆ",,,,,,,,,YES
,Contacting,"ಸರಿಸ್ಪರ್ಶ, ತಗುಲಿಕೆ, ತಾಗು, ಸೇರಿಕೆ, ಕಾಂಟ್ಯಾಂಕ್ಟಿಂಗ್‌",,,,,,,,,YES
,Creasing,"ಕ್ರೀಸಿಂಗ್‌, ಮಡಿಕೆ, ನಿರಿಗೆ, ಸುಕ್ಕು ಆಗುವುದು",,,,,,,,,YES
,Cut and Paste,"ಕಟ್‌ ಅಂಡ್‌ ಪೇಸ್ಟ್‌, ಒಂದು ಕಡೆಯಿಂದ ತಂದು ಇನ್ನೊಂದು ಕಡೆ ಅಳವಡಿಸುವುದು",,,,,,,,,YES
,Cylindering,ಸಿಲಿಂಡರಿಂಗ್‌,,,,,,,,,YES
,Cylinder,ಸಿಲಿಂಡರ್‌,,,,,,,,,YES
,Dampening,"ತೇವತಟ್ಟುವುದು, ಆರ್ದ್ರತೆ",,,,,,,,,YES
,Damage,"ಕೆಟ್ಟು ಹೋಗುವುದು, ಹಾನಿಹೊಂದು, ಮುರಿ",,,,,,,,,YES
,Designing,ವಿನ್ಯಾಸ,,,,,,,,,YES
,Developing,"ಡೆವಲಪಿಂಗ್‌, ಸ್ಫುಟಗೊಳಿಸು, ವರ್ಧಿಸು",,,,,,,,,YES
,Digital,ಡಿಜಿಟಲ್‌,,,,,,,,,YES
,Emulsion,ಹಾಲಿನ ರಚನೆವುಳ್ಳ ಎಮಲ್ಷನ್‌,,,,,,,,,YES
,Enlarging,"ವಿಸ್ತಾರಗೊಳಿಸುವುದು, ವಿಸ್ತರಣೆ, ದೊಡ್ಡದು ಮಾಡುವುದು",,,,,,,,,YES
