ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abalone,ಮುತ್ತಿನ ಚಿಪ್ಪು,,,,,,,,,YES
,Abattoir,ಕಸಾಯಿ ಖಾನೆ,,,,,,,,,YES
,Abdomen,"ಉದರ, ಹೊಟ್ಟೆ",,,,,,,,,YES
,Abdunce,"ಬದಿಸರಿಸು, ದೂರಸರಿಸು",,,,,,,,,YES
,Abdunctor,ಅಪಹಾರಕ ನರ (ಸ್ನಾಯು),,,,,,,,,YES
,Abiogenesis,"ಅಜೀವಿಜನನ, ನಿರ್ಜೀವಿಜನನ (ನಿರ್ಜೀವ ವಸ್ತುವಿನಿಂದ ಜೀವ ಜನನ)",,,,,,,,,YES
,Ablation,"ಕಿತ್ತೆಗೆತ, ಕಿತ್ತು ತೆಗೆಯುವಿಕೆ",,,,,,,,,YES
,Abode,"ನೆಲೆ, ವಾಸಸ್ಥಳ",,,,,,,,,YES
,Abort,"ಗರ್ಭಪಾತ, ಗರ್ಭಸ್ರಾವ",,,,,,,,,YES
,Abrasive,ಘರ್ಷಕ,,,,,,,,,YES
,Abscess,"ಹುಣ್ಣು, ಕುರು",,,,,,,,,YES
,Abscission,"ಕತ್ತರಿಕೆ, ಛೇದನ",,,,,,,,,YES
,Absolute,"ನಿರಪೇಕ್ಷ , ಅಪ್ಪಟ, ಚೊಕ್ಕ",,,,,,,,,YES
,Abstergent,ಶುಚಿಕಾರಕ,,,,,,,,,YES
,Acarpous,ಬಂಜೆ,,,,,,,,,YES
,Acclimatization,"ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ, ವಾತಾವರಣಕ್ಕೆ, ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ",,,,,,,,,YES
,Acerbate,"ಹುಳಿಹಿಡುಸು , ಹುದುಗಿಸು",,,,,,,,,YES
,Acholia,"ಪಿತ್ತರಸದ , ಅಭಾವ",,,,,,,,,YES
,Achromatic,ವರ್ಣರಹಿತ,,,,,,,,,YES
,Acidulated,"ಆಮ್ಲಬೆರೆತ, ಹುಳಿಮಿಶ್ರಿತ",,,,,,,,,YES
,Acorn,"ಒಂದು ಸಮುದ್ರದ ಪ್ರಾಣಿ ವಿಶೇಷ, ಸಿಂಧೂರ (ಓಕ್) ವೃಕ್ಷ ಫಲ",,,,,,,,,YES
,Acoustics,"ಧ್ವನಿಶಾಸ್ತ್ರ, ಧ್ವನಿಗತಿ ವಿಜ್ಞಾನ",,,,,,,,,YES
,Activated sludge,"ಜಾಗೃತರೊಜ್ಜು, ಕ್ರಿಯಾಶೀಲ ರೊಜ್ಜು",,,,,,,,,YES
,Adacty lous,ಕೈಕಾಲು ಬೆರಳುಗಳಿಲ್ಲದ,,,,,,,,,YES
,Adaptation,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,,,,,,,,,YES
,Additive,ಸೇರ್ಪು,,,,,,,,,YES
,Adenitis,"ಗ್ರಂಥಿಯುರಿತ, ಗ್ರಂಥಿ ಊತ",,,,,,,,,YES
,Adhesion,"ಅಂಟಿಕೊಳ್ಳುವಿಕೆ, ಅಂಟಿಕೆ",,,,,,,,,YES
,Adipose,"ಕೊಬ್ಬು, ಮೇದಸ್ಸು",,,,,,,,,YES
,Adipose fin,ಕೊಬ್ಬುಯುಕ್ತ ಈಜುರೆಕ್ಕೆ,,,,,,,,,YES
,Adipsia,ಬಾಯಾರಿಕೆ ಇಲ್ಲದಿರುವಿಕೆ,,,,,,,,,YES
,Adjunct,"ಜೊತೆಯ, ಕೂಡಿರುವ",,,,,,,,,YES
,Admix,"ಬೆರಸು, ಕಲಸು",,,,,,,,,YES
,Adrenal medulla,ನಿರ್ನಾಳಗ್ರಂಥಿಯ ಒಳಭಾಗ,,,,,,,,,YES
,Aeration,ಗಾಳಿಯಾಡುವಿಕೆ,,,,,,,,,YES
,Aerator,"ಗಾಳಿಯಾಡಿಸುವ ಯಂತ್ರ, ವಾಯುರೇಚಕ ಯಂತ್ರ",,,,,,,,,YES
,Aerobe,ಆಮ್ಲಜನಕಾಪೇಕ್ಷಿ ವಾಯ್ವಣುಜೀವಿ,,,,,,,,,YES
,Aerosal,"ಗಾಳಿತೂರುದ್ರವ, ನೀರ್ಗಾಳಿ",,,,,,,,,YES
,Aetiology,ವ್ಯಾಧಿಕಾರಣ ವಿಜ್ಞಾನ,,,,,,,,,YES
,Afferent,"ಅಂತರ್ವಾಹಿ, ಒಳಹರಿವ, ಅಭಿವಾಹೀ",,,,,,,,,YES
,Affusion,"ಎರೆಯುವಿಕೆ, ಸೇಚನ, ನೀರೆರೆಯುವಿಕೆ",,,,,,,,,YES
,Agaricus,"ಅಣಬೆ, ನಾಯಿಕೊಡೆ",,,,,,,,,YES
,Agastric,ಜಠರರಹಿತ,,,,,,,,,YES
,Agnathus,ಕೆಳದವಡೆರಹಿತ,,,,,,,,,YES
,Agglutinate,ಅಂಟಿಸು,,,,,,,,,YES
,Agglomerate,"ಗುಂಪಾಗಿಸು, ಒಟ್ಟುಗೂಡಿಸು",,,,,,,,,YES
,Air blast,"ಬೀಸುಗಾಳಿ, ಗಾಳಿಪ್ರವಾಹ",,,,,,,,,YES
,Air cleaner,"ವಾಯುಚೋಷಕ, ಗಾಳಿ ಶುದ್ದಕ",,,,,,,,,YES
,Air compressor,ವಾಯುಸಂಕೋಚಕ ಯಂತ್ರ,,,,,,,,,YES
,Air sac,"ವಾಯುಕೋಶ, ಗಾಳಿ ಚೀಲ",,,,,,,,,YES
,Air space,"ವಾಯುಪ್ರದೇಶ, ಗಾಳಿ ಅವಕಾಶ",,,,,,,,,YES
,Akaryote,ಕೆಂಪುರಕ್ತ ಕೋಶ,,,,,,,,,YES
,Akinate,ಸುಪ್ತಬೀಜಾಣು,,,,,,,,,YES
,Albino,ಶ್ವೇತವರ್ಣ,,,,,,,,,YES
,Albumen,ಮೊಟ್ಣೆಲೋಳೆ,,,,,,,,,YES
,Alfalfa,ಕುದುರೆ ಮೆಂತೆಸೊಪ್ಪು,,,,,,,,,YES
,Alga,"ಪಾಚಿ, ಶೈವಲ",,,,,,,,,YES
,Algal bloom,ನೀರುಪಾಚಿ,,,,,,,,,YES
,Algicide,"ಪಾಚಿನಾಶಕ, ಶೈವಲನಾಶಕ",,,,,,,,,YES
,Algalogy,ಶೈವಲ ವಿಜ್ಞಾನ,,,,,,,,,YES
,Alidade,ದೃಷ್ಟಿಸಾಧನ,,,,,,,,,YES
,Aliferous,ರೆಕ್ಕೆಯಿರುವ,,,,,,,,,YES
,Aliform,ರೆಕ್ಕೆಯಾಕಾರದ,,,,,,,,,YES
,Alimentary system,ಜೀರ್ಣಾಂಗ ವ್ಯೂಹ,,,,,,,,,YES
,Aliquot,"ಸಮಭಾಗ, ಸರಿಪಾಲು",,,,,,,,,YES
,Aligator,"ಮೊಸಳೆ, ಮಕರ, ಮೊಸಳೆ ಜಾತಿಗೆ ಸೇರಿದ ಪ್ರಾಣಿ",,,,,,,,,YES
,Allogenic,"ಅನ್ಯವಂಶವಾಹೀಯ, ಅನ್ಯಜಾತೀಯ",,,,,,,,,YES
,Alloploid,ಅನ್ಯಗುಣಿತ,,,,,,,,,YES
,Allostarism,ಬಹುಘನತ್ವ,,,,,,,,,YES
,Allotrophy,ಬಹುರೂಪತೆ,,,,,,,,,YES
,Alluvial soil,"ಮೆಕ್ಕಲುಮಣ್ಣು, ನೆರೆಮಣ್ಣು",,,,,,,,,YES
