ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,A Proiri,"ಬುದ್ಧಿರೂಢ, ಪೂರ್ವಗ್ರಹಿತ",,,,,,,,,Yes
,A.D. (Anno Domini),"ಕ್ರಿಸ್ತಶಕ, ಕ್ರಿ.ಶ.",,,,,,,,,Yes
,Ab Extra,ಹೊರಗಿನಿಂದ,,,,,,,,,Yes
,Ab Initio,"ಪ್ರಾರಂಭದಿಂದ, ಮೊದಲಿನಿಂದ",,,,,,,,,Yes
,Abandon,"ಬಿಟ್ಟುಕೊಡು, ಪರಿತ್ಯಜಿಸು",,,,,,,,,Yes
,Abandonment,"ಬಿಟ್ಟುಕೊಡುವುದು, ಪರಿತ್ಯಾಗ",,,,,,,,,Yes
,Abate,"ತಗ್ಗಿಸು, ಕಡಿಮೆ ಮಾಡು, ಕಡಿಮೆಯಾಗು, ಅಂತ್ಯಗೊಳಿಸು",,,,,,,,,Yes
,Abatement,"ತಗ್ಗಿಸುವುದು, ಕಡಿಮೆ ಮಾಡುವುದು. ಕಡಿಮೆಯಾಗುವುದು, ಅಂತ್ಯಗೊಳಿಸುವುದು",,,,,,,,,Yes
,Abbreviate,ಸಂಕ್ಷೇಪಿಸು,,,,,,,,,Yes
,Abbreviation,"ಸಂಕೇತಾಕ್ಷರ, ಸಂಕ್ಷಿಪ್ತ ರೂಪ, ಸಂಕ್ಷೇಪಿಸುವುದು",,,,,,,,,Yes
,Abdicate,ಪದವಿ/ರಾಜ್ಯ/ಆಸ್ತಿ/ಅಧಿಕಾರ ತ್ಯಜಿಸು,,,,,,,,,Yes
,Abduct,"ಅಪಹರಿಸು, ಎತ್ತಿಕೊಂಡುಹೋಗು",,,,,,,,,Yes
,Abduction,ಅಪಹರಣ,,,,,,,,,Yes
