ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Absentee,"ಗೈರು ಹಾಜರಾಗಿರುವವನು, ಅನುಪಸ್ತಿತನಾದವನು",,,,,,,,,YES
,Accident,"ಅಪಘಾತ, ಆಕಸ್ಮಿಕ",,,,,,,,,YES
,Action Plan,ಕಾರ್ಯಯೋಜನೆ,,,,,,,,,YES
,Adequate and Properly Coordinated Transport Services,ಸಮರ್ಪಕ ಸಮನ್ವಯ ಸಾರಿಗೆ ಸೇವೆಗಳು,,,,,,,,,YES
,Advance Reservation Counter,ಮುಂಗಡ ಕಾಯ್ದಿರಿಸುವಿಕೆ,,,,,,,,,YES
,Advertisement,ಜಾಹೀರಾತು,,,,,,,,,YES
,Agreement Proposal,ಒಪ್ಪಂದ ಪ್ರಸ್ತಾವ,,,,,,,,,YES
,All Weather Road,ಸರ್ವಋತು ರಸ್ತೆ,,,,,,,,,YES
,Alternate Service,ಪರ್ಯಾಯ / ಬದಲಿಸೇವೆ,,,,,,,,,YES
,Analysis,ವಿಶ್ಲೇಷಣೆ,,,,,,,,,YES
,Arrival,"ಆಗಮಿಸು, ತಲುಪು, ಬರು",,,,,,,,,YES
,Augmentation,"ದೊಡ್ಡದು ಮಾಡುವುದು, ವೃದ್ಧಿ, ಅಭಿವೃದ್ಧಿ, ಬೆಳೆಸುವುದು, ಸೇರಿಸುವುದು",,,,,,,,,YES
,Automatic,ಸ್ವಯಂಚಾಲಿತ,,,,,,,,,YES
,Average Seating Capacity,ಸರಾಸರಿ ಆಸನ ಸಾಮರ್ಥ್ಯ,,,,,,,,,YES
,Basic Fare,ಮೂಲ ದರ,,,,,,,,,YES
,Body Rattling,ವಾಹನದಲ್ಲಿ ಲಟಲಟನೆ ಸದ್ದು ಮಾಡುವ,,,,,,,,,YES
,Bracketing of Stages,ಹಂತಗಳನ್ನು ವರ್ಗೀಕರಿಸುವುದು,,,,,,,,,YES
,Break Down,"ಕೆಟ್ಟುನಿಂತುಹೋಗುವಿಕೆ, ಕೆಲಸ ಮಾಡದ ಸ್ಥಿತಿ, ಬ್ರೇಕ್‌ಡೌನ್‌",,,,,,,,,YES
,Break Even Point,ಲಾಭ ನಷ್ಟ ಎರಡೂ ಇಲ್ಲದಿರುವ ಸ್ಥಿತಿ,,,,,,,,,YES
,Bus,ಬಸ್‌,,,,,,,,,YES
,Bus Shelter,ಬಸ್‌ ತಂಗುದಾಣ,,,,,,,,,YES
,Bus Station,ಬಸ್‌ನಿಲ್ದಾಣ,,,,,,,,,YES
,Buses on Road,"ರಸ್ತೆಯ ಮೇಲೆ ಓಡಾಡುವ, ಬಸ್‌ಗಳು",,,,,,,,,YES
,Casual Contract,ಒಪ್ಪಂದದ ಮೇರೆಗೆ,,,,,,,,,YES
,Cancellation,ರದ್ದತಿ,,,,,,,,,YES
,Cancelled Kms,ರದ್ದುಗೊಳಿಸಿದ ಕಿಲೋಮೀಟರ್‌ಗಳು,,,,,,,,,YES
,Carrying Capacity,ಒಯ್ಯುವ ಸಾಮರ್ಥ್ಯ,,,,,,,,,YES
,Central Traffic Authority,ಕೇಂದ್ರ ಸಂಚಾರಿ ಪ್ರಾಧಿಕಾರ,,,,,,,,,YES
,Central Traffic Establishment,ಕೇಂದ್ರ ಸಂಚಾರಿ ಸಂಸ್ಥೆ,,,,,,,,,YES
,Chargeable Stages,ಶುಲ್ಕ ವಿಧಿಸಬಹುದಾದ ಹಂತಗಳು,,,,,,,,,YES
,Chartered Contract,ಗುತ್ತಿಗೆ ಆಧಾರದ ಮೇರೆಗೆ,,,,,,,,,YES
,Clandestine Operation,ಮುಚ್ಚುಮರೆಯ ಕಾರ್ಯಾಚರಣೆ / ಗುಪ್ತವಾಗಿ ಕಾರ್ಯಾಚರಣೆ ಮಾಡುವವ,,,,,,,,,YES
,Commercial Establishments,ವಾಣಿಜ್ಯ ಸಂಸ್ಥೆಗಳು,,,,,,,,,YES
,Commissioner for Transport,ಸಾರಿಗೆ ಕಮೀಷನರು ಆಯುಕ್ತರು,,,,,,,,,YES
,Complying,"ಪಾಲಿಸುವ, ನೆರವೇರಿಸುವ",,,,,,,,,YES
,Concluded Agreement,ಮುಕ್ತಾಯ ಮಾಡಿರುವ ಒಪ್ಪಂದ,,,,,,,,,YES
,Conductor,"ನಿರ್ವಾಹಕ, ಕಂಡಕ್ಟರ್‌",,,,,,,,,YES
,Congestion,"ಕಿಕ್ಕಿರಿದ, ಸಂದಣಿ",,,,,,,,,YES
,Contract Carriage,ಕರಾರು ವಾಹನ / ಒಪ್ಪಂದದ ಮೇರೆಗೆ ಪಡೆಯಲಾದ ಕ್ಯಾರೇಜ್‌,,,,,,,,,YES
,Control Point,ನಿಯಂತ್ರಣ ಸ್ಥಾನ / ಸ್ಥಳ,,,,,,,,,YES
,Cost per km (CPKM),ಪ್ರತಿ ಕಿ.ಮೀ.ಗೆ ಆಗುವ ಖರ್ಚು / ವೆಚ್ಚ,,,,,,,,,YES
,Crew Utilisation,ಸಿಬ್ಬಂದಿ ಬಳಕೆ,,,,,,,,,YES
,Crew,ಚಾಲಕ ನಿರ್ವಾಹಕ ವರ್ಗ,,,,,,,,,YES
,Crew Utilisation,ಚಾಲಕ ನಿರ್ವಾಹಕ ವರ್ಗದ ಬಳಕೆ,,,,,,,,,YES
