ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Accorded,"ಒಪ್ಪಲಾದ, ಕೊಡಲಾದ, ನೀಡಲಾದ, ಅನುಮತಿಸಲಾದ",,,,,,,,,YES
,Action taken,"ಕ್ರಮ ಕೈಗೊಳ್ಳಲಾದ, ಕ್ರಮಕೈಗೊಂಡ, ಕೈಗೊಂಡ ಕ್ರಮ",,,,,,,,,YES
,Agenda,ಕಾರ್ಯಸೂಚಿ,,,,,,,,,YES
,Aggrieved,"ಬಾಧಿತನಾದ, ತೊಂದರೆಗೊಳಗಾದ",,,,,,,,,YES
,Appreciation,"ಮೆಚ್ಚುಗೆ, ಗುಣಾವಗುಣ, ವಿವೇಚನೆ, ಬೆಲೆ ಹೆಚ್ಚಳ",,,,,,,,,YES
,Approval,ಅನುಮೋದನೆ,,,,,,,,,YES
,Board Meeting,ಮಂಡಳಿ ಸಭೆ,,,,,,,,,YES
,Board Note,ಮಂಡಳಿ ಟಿಪ್ಪಣಿ,,,,,,,,,YES
,Board Resolution,ಮಂಡಳಿ ನಿರ್ಣಯ / ಠರಾವು,,,,,,,,,YES
,Board Secretary,ಮಂಡಳಿ ಕಾರ್ಯದರ್ಶಿ,,,,,,,,,YES
,Brainstorming,"ಚಿಂತನ ಗೋಷ್ಠಿ, ಭಾವೋದ್ರೇಕದ ಚರ್ಚೆ, ಬಿರುಸಿನ ಸಭೆ, ಚರ್ಚಾತ್ಮಕ ಸಭೆ, ಚರ್ಚೆ",,,,,,,,,YES
,Circular,ಸುತ್ತೋಲೆ,,,,,,,,,YES
,Concur-Concurred-Concurrance,ಸಹಮತಿಸು- ಸಹಮತಿಸಲಾದ - ಸಹಮತಿ,,,,,,,,,YES
,Confirmation,"ಸ್ಥಿರೀಕರಣ, ಖಾಯಂಗೊಳಿಸುವುದು",,,,,,,,,YES
,Co-Terminus,"ಸಮವ್ಯಾಪಿ, ಸಮಾನಾಂತ, ಎರಡರ ಅವಧಿ ಒಂದೇ ಆಗುವಂಥ",,,,,,,,,YES
