ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,A.G's audit report,ಮಹಾಲೆಕ್ಕಪರಿಶೋಧಕರ ಲೆಕ್ಕ ಪರಿಶೋಧನೆ ವರದಿ,,,,,,,,,YES
,A.G's inspection,ಮಹಾಲೆಕ್ಕಪರಿಶೋಧಕರ ತಪಾಸಣೆ,,,,,,,,,YES
,Ab initio,"ಮೊದಲಿನಿಂದ, ಪ್ರಾರಂಭದಿಂದ",,,,,,,,,YES
,Abalien,"ಪರಭಾರೆ, ಹಸ್ತಾಂತರ",,,,,,,,,YES
,Abandon,"ರದ್ದುಗೊಳಿಸು, ವರ್ಜಿಸು",,,,,,,,,YES
,Abate,"ವಿನಾಯಿತಿ ನೀಡು, ತಗ್ಗಿಸು, ಕಡಿಮೆ ಮಾಡು",,,,,,,,,YES
,Abbreviate,"ಸಂಗ್ರಹ ಮಾಡು, ಸಂಕ್ಷೇಪಿಸು",,,,,,,,,YES
,Abdicate,"ತೊರೆದುಬಿಡು, ತ್ಯಜಿಸು, ಬಿಟ್ಟುಕೊಡು, ಅಧಿಕಾರ ತಪ್ಪಿಸು, ಪದಚ್ಯುತನನ್ನಾಗಿ ಮಾಡು",,,,,,,,,YES
,Abeyance,"ಅಮಾನತ್ತು, ನಿಲಂಬನೆ, ಜಾರಿಗೆ ತರದೆ ಇರುವುದು, ತೀರ್ಮಾನ ಮಾಡದೆ ಇರುವುದು, ಆಚರಣೆಗೆ ತರದಿರುವುದು",,,,,,,,,YES
,Abide,"ಪಾಲಿಸು, ಅನುಸರಿಸು",,,,,,,,,YES
,Able,"ಬುದ್ಧಿಯುಳ್ಳ, ಅರ್ಹತೆಯುಳ್ಳ, ಸಾಮರ್ಥ್ಯವುಳ್ಳ, ದಕ್ಷತೆಯುಳ್ಳ",,,,,,,,,YES
,Abnormal,"ಅಸಾಮಾನ್ಯ, ಅತಿರೇಕ, ವಿಪರೀತ",,,,,,,,,YES
,Abnormal consumption,"ಆಸಾಮಾನ್ಯ, ಬಳಕೆ",,,,,,,,,YES
,Abnormal rate,ಅಸಾಮಾನ್ಯ ದರ,,,,,,,,,YES
,Abolish,"ತೆಗೆದು ಹಾಕು, ಅಳಿಸು ತೊಡೆದು ಹಾಕು, ರದ್ದು ಮಾಡು",,,,,,,,,YES
,Abriginal,"ಮುಮ್ಮೊದಲಿನ, ಪೂರ್ವದ, ಮೂಲ ನಿವಾಸಿಯಾದ",,,,,,,,,YES
,Abortion,ಗರ್ಭಪಾತ,,,,,,,,,YES
,Above all,ಎಲ್ಲಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ,,,,,,,,,YES
,Above cited,"ಮೇಲ್ಕಂಡ, ಮೇಲೆ ಕಾಣಿಸಿದ, ಮೇಲೆ ಉದ್ಧರಿಸಿದ",,,,,,,,,YES
,Above mentioned,"ಮೇಲೆ ತಿಳಿಸಿದ, ಮೇಲೆ ಹೇಳಲಾದ",,,,,,,,,YES
,Abridge,"ಸಂಗ್ರಹಿಸು, ಸಂಕ್ಷೇಪಿಸು, ಕುಗ್ಗಿಸು, ಕಡಿಮೆ ಮಾಡು",,,,,,,,,YES
,Abroad,"ಹೊರಗಡೆ, ದೇಶಾಂತರದಲ್ಲಿ",,,,,,,,,YES
,Abrogate,"ವಜಾ ಮಾಡು, ರದ್ದುಗೊಳಿಸು, ಕಿತ್ತು ಹಾಕು",,,,,,,,,YES
,Abrupt,"ಹಠಾತ್ತನೆ, ಇದ್ದಕ್ಕಿದ್ದಂತೆ, ಏಕಾ ಏಕಿ, ಥಟ್ಟನೆ",,,,,,,,,YES
,Abscond,ತಲೆ ಮರೆಸಿಕೊ,,,,,,,,,YES
,Absent,"ಗೈರು ಹಾಜರು, ಗೊತ್ತಾದ ಸ್ಥಳದಲ್ಲಿ ಇಲ್ಲದಿರುವುದು",,,,,,,,,YES
,Absent minded,ಅನ್ಯ ಮನಸ್ಕತೆ,,,,,,,,,YES
,Absentee,"ಗೈರುಹಾಜರಿ, ಹಾಜರಿಲ್ಲದ, ಕರ್ತವ್ಯದಲ್ಲಿಲ್ಲದ",,,,,,,,,YES
,Absolute,"ಪರಮ, ಸಂಪೂರ್ಣ, ಸಮಗ್ರ",,,,,,,,,YES
,Absolute minimum,ಕನಿಷ್ಠ ನಿಚ್ಚಳ,,,,,,,,,YES
,Absolution,ವಿಧಿವತ್ತಾದ ಬಿಡುಗಡೆ,,,,,,,,,YES
,Absonant,"ಅಸಂಬದ್ಧ, ಅಸಂಗತ",,,,,,,,,YES
,Absorb,"ಒಳಕೊಳ್ಳು, ಲೀನವಾಗು, ಐಕ್ಯ ಮಾಡಿಕೊ",,,,,,,,,YES
,Abstain,"ಸೇರದೆ ಇರು, ಬಳಸದಿರು, ವಿಮುಖನಾಗು",,,,,,,,,YES
,Abstract,"ಸಾರಾಂಶ, ಸಂಗ್ರಹ",,,,,,,,,YES
,Abundant,"ಹೇರಳ, ಸಮೃದ್ಧ",,,,,,,,,YES
,Abuse,"ನಿಂದಿಸು, ದೂಷಿಸು, ತೆಗಳು, ತಪ್ಪಾಗಿ ಬಳಸು",,,,,,,,,YES
,Abuse of power,"ವಿದ್ಯುತ್ ದುರುಪಯೋಗ, ಅಧಿಕಾರ ದುರುಪಯೋಗ",,,,,,,,,YES
,Academic council,ವಿದ್ವತ್ ಸಭೆ,,,,,,,,,YES
,Academic discipline,ಶೈಕ್ಷಣಿಕ ಶಿಸ್ತು,,,,,,,,,YES
,Academic qualification,ವಿದ್ಯಾರ್ಹತೆ,,,,,,,,,YES
,Academy,"ವಿದ್ವನ್ಮಂಡಳಿ, ಅಧ್ಯಯನ ಕೇಂದ್ರ",,,,,,,,,YES
,Accelerate,ತ್ವರಿತಗೊಳಿಸು,,,,,,,,,YES
,Aceptance factor,ಸ್ವೀಕಾರ ಅಂಶ,,,,,,,,,YES
,Acceptance delivery,ಅಂಗೀಕೃತ ಬಟವಾಡೆ,,,,,,,,,YES
,Access,ಪ್ರವೇಶಾವಕಾಶ,,,,,,,,,YES
,Accessory,"ಪೂರಕ ಸಾಮಗ್ರಿ, ಉಪ ಸಾಮಗ್ರಿ",,,,,,,,,YES
,Accident,"ಆಕಸ್ಮಿಕ, ಅಪಘಾತ, ವಿಪತ್ತು ಅನಿರೀಕ್ಷಿತ",,,,,,,,,YES
,Accident grant,ಅಪಘಾತ ಸಹಾಯಧನ,,,,,,,,,YES
,Accommodate,"ಸ್ಥಳಾವಕಾಶ ಕಲ್ಪಿಸು, ಅವಕಾಶ ನೀಡು, ಹವಣಿಸು",,,,,,,,,YES
,Accommodation,"ವಸತಿ, ಸ್ಥಳಾವಕಾಶ",,,,,,,,,YES
,Accomplice,"ಶಾಮೀಲುದಾರ, ಸಹಾಪರಾಧಿ",,,,,,,,,YES
,Accomplish,"ಪಾಲಿಸು, ಈಡೇರಿಸು, ಪೂರ್ತಿ ಮಾಡು",,,,,,,,,YES
,Accord,ಒಪ್ಪಿಗೆ ಕೊಡು ( ನೀಡು ),,,,,,,,,YES
,Accordingly,ತದನುಸಾರವಾಗಿ,,,,,,,,,YES
,Account book,ಲೆಕ್ಕದ ಪುಸ್ತಕ,,,,,,,,,YES
,Account code,"ಲೆಕ್ಕ ಸಂಹಿತೆ, ಲೆಕ್ಕ ಸಂಕೇತ",,,,,,,,,YES
,Account group,ಲೆಕ್ಕ ವರ್ಗ,,,,,,,,,YES
,Account head,ಲೆಕ್ಕ ಶೀರ್ಷಿಕೆ,,,,,,,,,YES
,Account payee,ಖಾತೆದಾರನ ಲೆಕ್ಕಕ್ಕೆ,,,,,,,,,YES
,Accountability,"ಹೊಣೆಗಾರಿಕೆ, ಜವಾಬ್ದಾರಿ",,,,,,,,,YES
,Accounting period,ಲೆಕ್ಕ ಪತ್ರದ ಅವಧಿ,,,,,,,,,YES
,Accounting policy,ಲೆಕ್ಕ ತತ್ವನೀತಿ,,,,,,,,,YES
,Accounting procedure,"ಲೆಕ್ಕನಿರ್ವಹಣೆ ಕಾರ್ಯಾವಿಧಾನ, ಲೆಖಾ ವಿಧಾನ",,,,,,,,,YES
,Accounting standard,"ಲೆಕ್ಕ ವಿಧಾನ, ಲೆಕ್ಕ ತತ್ವ",,,,,,,,,YES
,Account manual,ಲೆಕ್ಕ ಕೈಪಿಡಿ,,,,,,,,,YES
,Accounts section,"ಲೆಕ್ಕ ಶಾಖೆ, ಲೆಕ್ಕ ವಿಭಾಗ, ಲೆಕ್ಕ ಪತ್ರ ಶಾಖೆ",,,,,,,,,YES
,Accrued,"ಒದಗಿ ಬಂದ, ಕೂಡಿ ಬಂದ, ಪ್ರಾಪ್ತವಾದ, ಒಟ್ಟುಗೂಡಿ ಬಂದ",,,,,,,,,YES
,Accumulate,"ಸಂಚಿತ, ಒಟ್ಟುಗೂಡಿಸು, ಶೇಖರಿಸು, ಸಂಗ್ರಹಿಸು",,,,,,,,,YES
,Accumulated depreciation,ಸಂಚಿತ ಸವಕಳಿ,,,,,,,,,YES
,Accumulated loss,ಸಂಚಿತ ನಷ್ಟ,,,,,,,,,YES
,Accumulated reserve,ಸಂಚಿತ ಮೀಸಲು,,,,,,,,,YES
,Accuracy,ನಿಖರತೆ,,,,,,,,,YES
,Accuse,"ಆರೋಪಿಸು, ದೂಷಿಸು",,,,,,,,,YES
,Achievement,ಸಾಧನೆ,,,,,,,,,YES
,Acid,ರಾಸಾಯನಿಕ ದ್ರವ,,,,,,,,,YES
,Acknowledge,"ತಲುಪಿದ ಬಗ್ಗೆ ತಿಳಿಸು, ಸಂದಿದೆಯೆಂದು ತಿಳಿಸು, ಅಂಗೀಕರಿಸು",,,,,,,,,YES
,Acquaint,"ತಿಳಿಯಪಡಿಸು, ಶ್ರುತಪಡಿಸು, ಪರಿಚಯ ಮಾಡಿಕೊ",,,,,,,,,YES
