ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abundantly,"ಸಮೃದ್ಧವಾಗಿ, ಹೇರಳವಾಗಿ",,,,,,,,,YES
,Adhoc-Committee,"ಆಡ್‌ಹಾಕ್‌ ಸಮಿತಿ, ತದರ್ಥ ಸಮಿತಿ, ತಾತ್ಕಾಲಿಕ ಸಮಿತಿ",,,,,,,,,YES
,Assets & Liabilities,ಆಸ್ತಿ ಮತ್ತು ಋಣಭಾರ,,,,,,,,,YES
,Audit Report,ಲೆಕ್ಕ ಪರಿಶೋಧನಾ ವರದಿ,,,,,,,,,YES
,Audit Observations,ಲೆಕ್ಕ ಪರಿಶೋಧನಾ ಪರಿವೀಕ್ಷಣೆ,,,,,,,,,YES
,Audit Enquiry,ಲೆಕ್ಕ ಪರಿಶೋಧನಾ ವಿಚಾರಣೆ,,,,,,,,,YES
,Audit Para,ಲೆಕ್ಕಪರಿಶೋಧನಾ ಕಂಡಿಕೆ,,,,,,,,,YES
,C & A.G. Report,"ನಿಯಂತ್ರಕ ಮತ್ತು ಮಹಾಲೇಖ ಪರೀಕ್ಷಕರ ವರದಿ, ಕಂಟ್ರೋಲರ್‌ ಮತ್ತು ಅಕೌಂಟೆಂಟ್‌ ಜನರಲ್‌ ವರದಿ",,,,,,,,,YES
,Casual Contract Bills,ಪ್ರಾಸಂಗಿಕ / ಕರಾರಿನ / ಒಪ್ಪಂದದ ಮೇರೆಗೆ ನೀಡಿದ ವಾಹನದ ಬಿಲ್ಲು,,,,,,,,,YES
,Draft Audit Para,ಕರಡು ಲೆಕ್ಕ ಪರಿಶೋಧನಾ ಕಂಡಿಕೆ,,,,,,,,,YES
,Ensuing,ಮುಂಬರುವ,,,,,,,,,YES
,Pool Collection Account,"ಘಟಕ / ವಿಭಾಗ, ಸಂಗ್ರಹಣಾ ಲೆಕ್ಕಪತ್ರಗಳು",,,,,,,,,YES
,Remittance,ಹಣ ಪಾವತಿ /ಕಳಿಸುವುದು /ಇರಸಾಲು,,,,,,,,,YES
,Schedules,ಅನುಸೂಚಿಗಳು,,,,,,,,,YES
,Weighted Average Rate,ತೂಕಹಾಕಿದ ಸರಾಸರಿ ದರ,,,,,,,,,YES
,Work Diary,ಕೆಲಸದ ಡೈರಿ / ದಿನಚರಿ,,,,,,,,,YES
