ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Access,ಪ್ರವೇಶ,,,,,,,,,YES
,Accessing,ಪ್ರವೇಶಿಸುವುದು,,,,,,,,,YES
,Alert,ಎಚ್ಚರಿಕೆ,,,,,,,,,YES
,Alias,ಯಾನೆ,,,,,,,,,YES
,Batch,ಗುಂಪು,,,,,,,,,YES
,Bulk,ರಾಶಿ,,,,,,,,,YES
,Cadre,ವೃಂದ,,,,,,,,,YES
,Channel,ಮಾರ್ಗ,,,,,,,,,YES
,Click,ಕ್ಲಿಕ್ಕಿಸಿ,,,,,,,,,YES
,Close,ಮುಕ್ತಾಯಗೊಳಿಸಿ,,,,,,,,,YES
,Concurrent,ಸಮವರ್ತಿ,,,,,,,,,YES
,Content,ಒಳಪಿಡಿ,,,,,,,,,YES
,Create,ರಚಿಸು,,,,,,,,,YES
,Custom,ರೂಢಿ,,,,,,,,,YES
,Customize,ರೂಢೀಕರಿಸು,,,,,,,,,YES
,Dash board,ಮಾಹಿತಿ ಫಲಕ,,,,,,,,,YES
,Default,ಪೂರ್ವನಿಗದಿತ,,,,,,,,,YES
,Delink,ಬೇರ್ಪಡಿಸು,,,,,,,,,YES
,Diarise,ದಿನಚರಿಗೊಳಿಸು,,,,,,,,,YES
,Diarised,ದಿನಚರಿಗೊಳಸಲಾದುದು,,,,,,,,,YES
,Diarization,ದಿನಚರೀಕರಣ,,,,,,,,,YES
,Diary,ದಿನಚರಿ,,,,,,,,,YES
,Digital,ಅಂಕೀಯ,,,,,,,,,YES
,Dossier,ದಸ್ತಾವೇಜು ಸಂಚಯ,,,,,,,,,YES
,Download,ನಕಲಿಳಿಸು,,,,,,,,,YES
,Dropdown,ಇಳಿಪಟ್ಟಿ,,,,,,,,,YES
,DSC,ಅಂಕೀಯ ಸಹಿ ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,,,YES
,E-mail,ಇ-ಅಂಚೆ,,,,,,,,,YES
,Email-test,ಇ-ಅಂಚೆ-ಪರೀಕ್ಷೆ,,,,,,,,,YES
,Esign,ಇ-ಸಹಿ,,,,,,,,,YES
,Folder,ಫೋಲ್ಡರು,,,,,,,,,YES
,Global,ಜಾಗತಿಕ,,,,,,,,,YES
,Grade,ದರ್ಜೆ,,,,,,,,,YES
,Later,ಅನಂತರದ,,,,,,,,,YES
,Latest,ಇತ್ತೀಚಿನ,,,,,,,,,YES
,Least,ಅತ್ಯಲ್ಪ,,,,,,,,,YES
,Link,ಜೋಡಿಸಿ,,,,,,,,,YES
,Load,ಹೇರಿಸು,,,,,,,,,YES
,Log,ಹೆಜ್ಜೆಗುರುತು,,,,,,,,,YES
,Login,ಪ್ರವೇಶಿಸಿ,,,,,,,,,YES
,Logout,ನಿರ್ಗಮಿಸಿ,,,,,,,,,YES
,Mapping,ರೇಖಿಸು,,,,,,,,,YES
,Master,ಸಕಲ,,,,,,,,,YES
,Metadata,ಪರಿದತ್ತಾಂಶ,,,,,,,,,YES
,Migrate,ಸ್ಥಾನಾಂತರಿಸು,,,,,,,,,YES
,Migrated,ಸ್ಥಾನಾಂತರಿತ,,,,,,,,,YES
,Migration,ಸ್ಥಾನಾಂತರಣ,,,,,,,,,YES
,Mobile,ಚರವಾಣಿ,,,,,,,,,YES
,Mouse,ಮೌಸ್‌,,,,,,,,,YES
,Move,ಸ್ಥಳಾಂತರಿಸು,,,,,,,,,YES
,Moved,ಸ್ಥಳಾಂತರಿಸಿದೆ,,,,,,,,,YES
,Note,ಟಿಪ್ಪಣಿ,,,,,,,,,YES
,Noting,ಟಿಪ್ಪಣಿಬರಹ,,,,,,,,,YES
,Notings,ಟಿಪ್ಪ್ಪಣಿಬರಹಗಳು,,,,,,,,,YES
,Null,ಶೂನ್ಯ,,,,,,,,,YES
,Park,ನಿಲುಗಡೆಗೊಳಿಸು,,,,,,,,,YES
,Plug,ಸಂಯೋಜಿಸು,,,,,,,,,YES
,Plugged,ಸಂಯೋಜಿತ,,,,,,,,,YES
,Point,ಅಂಶ,,,,,,,,,YES
,Post,ಹುದ್ದೆ/ ಅಂಚೆ,,,,,,,,,YES
,Postal,ಅಂಚೆಸಂಬಂಧಿ,,,,,,,,,YES
,Posted,ಸ್ಥಳನಿಯುಕ್ತಿಗೊಂಡ,,,,,,,,,YES
,Posting,ಸ್ಥಳನಿಯುಕ್ತಿಗೊಳಿಸುವುದು,,,,,,,,,YES
,Prefix,ಪೂರ್ವಪದ,,,,,,,,,YES
,Refferal,ಉಲ್ಲೇಖಗಳು,,,,,,,,,YES
,Regards,ವಂದನೆಗಳು,,,,,,,,,YES
,Reload,ಮರುಭರಿಸು,,,,,,,,,YES
,Render,ಮೂಡಿಸು,,,,,,,,,YES
,Rendered,ಮೂಡಿಸಿದ,,,,,,,,,YES
,Rendering,ಮೂಡಿಸುವುದು,,,,,,,,,YES
,Search,ಹುಡುಕು,,,,,,,,,YES
,Searching,ಹುಡುಕಲಾಗುತ್ತಿದೆ,,,,,,,,,YES
,Servicedesk,ಸೇವಾಕಟ್ಟೆ,,,,,,,,,YES
,Session,ಕಾರ್ಯಾವಧಿ,,,,,,,,,YES
,Skip,ಹಾರಿಸಿಬಿಡು,,,,,,,,,YES
,Smart,ಜಾಣ,,,,,,,,,YES
,Switch,ಪರಸ್ಪರ ವರ್ಗಾಯಿಸು,,,,,,,,,YES
,Tab,ಕಿಟಕಿಪುಟ,,,,,,,,,YES
,Tabs,ಕಿಟಕಿಪುಟಗಳು,,,,,,,,,YES
,Template,ಸಿದ್ಧಮಾದರಿ,,,,,,,,,YES
,Toggle,ತೊನೆ,,,,,,,,,YES
,Token,ಪತ್ತೆಸೂಚಕ,,,,,,,,,YES
,Track,ಜಾಡುಹಿಡಿ,,,,,,,,,YES
,Universal-Acceptance-Test,ಸಾರ್ವತ್ರಿಕ-ಸ್ವೀಕಾರಾರ್ಹತೆ-ಪರೀಕ್ಷೆ,,,,,,,,,YES
,Unpark,ನಿಲುಗಡೆತೆಗೆ,,,,,,,,,YES
,Unparked,"ನಿಲುಗಡೆತೆಗೆಯಲಾದ,",,,,,,,,,YES
,Update,ಇಂತೇದಿಸು,,,,,,,,,YES
,Upload,ನಕಲೇರಿಸು,,,,,,,,,YES
,Url,ಅನನ್ಯ ಜಾಲ ವಿಳಾಸ ಪತ್ತೆಕಾರ,,,,,,,,,YES
,Window,ಕಿಟಕಿ,,,,,,,,,YES
