ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,……may like to see,....ನೋಡಲು ಅಪೇಕ್ಷಿಸಬಹುದು,,,,,,,,,
,(His) next increment is due on.....,………ದಿನಾಂಕದಂದು (ಆತನ) ಬಡ್ತಿ ಬಾಕಿ ಇದೆ,,,,,,,,,
,(The) meeting has been fixed for the next month,ಸಭೆಯನ್ನು ಮುಂದಿನ ತಿಂಗಳಿಗೆ ಗೊತ್ತುಪಡಿಸಲಾಗಿದೆ,,,,,,,,,
,(The) next hearing has been fixed for,ಮುಂದಿನ ವಿಚಾರಣೆಯನ್ನು……ದಿನಾಂಕದಂದು ನಿಗದಿಪಡಿಸಲಾಗಿದೆ,,,,,,,,,
,(The) objection is not valid,ಆಕ್ಷೇಪಣೆಯು ಮಾನ್ಯವಾದುದಲ್ಲ,,,,,,,,,
,(The) objection is withdrawn,ಆಕ್ಷೇಪಣೆಯನ್ನು ಹಿಂದಕ್ಕೆ ಪಡೆಯಲಾಗಿದೆ,,,,,,,,,
,(The) officiating arrangements proposed are in the order of seniority,ಸೂಚಿತ ಬದಲಿ ವ್ಯವಸ್ಥೆಗಳು ಆದ್ಯತೆಯ ಪ್ರಕಾರದಲ್ಲಿದೆ,,,,,,,,,
,(The) matter needs thorough investigation,ವಿಷಯಕ್ಕೆ ಕೂಲಂಕುಷ ತನಿಖೆಯ ಅಗತ್ಯವಿದೆ,,,,,,,,,
,abandon,"ತ್ಯಜಿಸು, ಬಿಟ್ಟುಬಿಡು, ವರ್ಜಿಸು",,,,,,,,,
,abbreviation,ಸಂಕ್ಷಿಪ್ತ ಪದ,,,,,,,,,
,abdicate,"ಹಕ್ಕನ್ನು ತ್ಯಜಿಸು, ಅಧಿಕಾರಬಿಡು",,,,,,,,,
,abetment,ದುಷ್ಪ್ರೇರಣೆ,,,,,,,,,
,abeyance,"ನೆನೆಗುದಿ, ತಡೆಹಿಡಿ",,,,,,,,,
,ability,"ಸಾಮರ್ಥ್ಯ, ಯೋಗ್ಯತೆ, ದಕ್ಷತೆ",,,,,,,,,
,abnormal,"ಅಸಹಜ, ವಿಪರೀತ",,,,,,,,,
,abolish,"ರದ್ದತಿ, ರದ್ದುಪಡಿಸು",,,,,,,,,
,abortion,ಗರ್ಭಪಾತ,,,,,,,,,
,abrasion,"ಉಜ್ಜು, ತರಚು",,,,,,,,,
,abrasive,ಅಪಘರ್ಷಕ,,,,,,,,,
,abridge,"ಸಂಕ್ಷೇಪಣೆ, ಸಂಕ್ಷೇಪಿಸು",,,,,,,,,
,abroad,"ವಿದೇಶ, ಹೊರದೇಶ, ಪರದೇಶ",,,,,,,,,
,abrupt,ಹಠಾತ್ತನೆ,,,,,,,,,
,abscond,ತಲೆಮರೆಸಿಕೊ,,,,,,,,,
,absence,"ಗೈರುಹಾಜರಿ, ಅನುಪಸ್ಥಿತಿ",,,,,,,,,
,absolute,"ನಿರ್ದಿಷ್ಟ, ನಿರಪೇಕ್ಷ, ಶುದ್ಧ",,,,,,,,,
,absorb,"ಹೀರಿಕೊಳ್ಳು, ಮಗ್ನನಾಗು",,,,,,,,,
,abstain,"ದೂರವಿಡು, ಸೇರಿಸದಿರು",,,,,,,,,
,abstract,"ಸಂಕ್ಷಿಪ್ತ, ಸಾರಾಂಶ",,,,,,,,,
,absurd,"ನಿರರ್ಥಕ, ವ್ಯರ್ಥ, ಅಸಂಗತ",,,,,,,,,
,abundance,"ಸಮೃದ್ಧಿ, ಹೇರಳವಾಗಿರುವಿಕೆ",,,,,,,,,
,abuse,"ದುರುಪಯೋಗ, ನಿಂದಿಸು",,,,,,,,,
,AC (Air Conditioning),ಹವಾ ನಿಯಂತ್ರಿತ,,,,,,,,,
,AC plant,ಹವಾ ನಿಯಂತ್ರಿತ ಸ್ಥಾವರ,,,,,,,,,
,academic,"ಶೈಕ್ಷಣಿಕ, ಪ್ರೌಢವಿದ್ಯೆಯ",,,,,,,,,
,accede,"ಅಂಗೀಕರಿಸು, ಸಮ್ಮತಿಸು, ಒಪ್ಪಿಸು",,,,,,,,,
,accelerate,ವೇಗವನ್ನು ಹೆಚ್ಚಿಸು,,,,,,,,,
,accelerator,ವೇಗವರ್ಧಕ,,,,,,,,,
,acceptance,"ಅಂಗೀಕಾರ, ಸಮ್ಮತಿ, ಒಪ್ಪಿಗೆ, ಸ್ವೀಕಾರ",,,,,,,,,
,acceptance is awaited,ಒಪ್ಪಿಗೆಯನ್ನು ನಿರೀಕ್ಷಿಸಲಾಗಿದೆ,,,,,,,,,
,accepted and passed for payment,ಸ್ವೀಕೃತವಾಗಿದೆ ಮತ್ತು ಪಾವತಿಗೆ ಕಳುಹಿಸಲಾಗಿದೆ,,,,,,,,,
,accepted on trial basis,ಪ್ರಯೋಗಾರ್ಥವಾಗಿ ಒಪ್ಪಿಕೊಳ್ಳಲಾಗಿದೆ,,,,,,,,,
,accepted provisionally,ತಾತ್ಪೂರ್ತಿಕವಾಗಿ ಸ್ವೀಕರಿಸಲಾಗಿದೆ,,,,,,,,,
,access,ಪ್ರವೇಶಾವಕಾಶ(ಗಣಕ ಕ್ಷೇತ್ರ),,,,,,,,,
,accessibility,ಪ್ರವೇಶ ಸಾಧ್ಯತೆ,,,,,,,,,
,accessory,"ಉಪಸಾಧನ, ಪೂರಕ ಉಪಕರಣ",,,,,,,,,
,accident,"ಅಪಘಾತ, ಆಕಸ್ಮಿಕ",,,,,,,,,
,accident statistics,ಅಪಘಾತದ ಅಂಕಿ ಅಂಶ,,,,,,,,,
,accommodation,"ವಸತಿ, ಸ್ಥಳಾವಕಾಶ",,,,,,,,,
,accompany,"ಸಂಗಡಿಗರು, ಜೊತೆಯಲ್ಲಿರು",,,,,,,,,
,accord,"ಒಪ್ಪಂದ, ಒಪ್ಪಿಗೆ",,,,,,,,,
,accord approval/sanction to,ಅನುಮೋದನೆಗಾಗಿ/ಮಂಜೂರಾತಿಗಾಗಿ,,,,,,,,,
,account,"ಲೆಕ್ಕ, ಗಣನೆ, ಖಾತೆ",,,,,,,,,
,accountability,"ಹೊಣೆಗಾರಿಕೆ, ಜವಾಬ್ದಾರಿ",,,,,,,,,
,accounting period,ಲೆಕ್ಕದ ಅವಧಿ,,,,,,,,,
,accumulation,ಶೇಖರಣೆ,,,,,,,,,
,accumulator,ಸಂಚಯಕ,,,,,,,,,
,accuracy,"ನಿಖರತೆ, ಖಚಿತತೆ",,,,,,,,,
,accuse,"ಆರೋಪಿಸು, ತೆಗಳು, ನಿಂದಿಸು",,,,,,,,,
,accustom,"ಹೊಂದಿಕೊಳ್ಳು, ಒಗ್ಗಿಕೊಳ್ಳು",,,,,,,,,
,ache,"ನೋವು, ಯಾತನೆ",,,,,,,,,
,achieve,"ಸಾಧಿಸು, ಗುರಿ ತಲುಪು",,,,,,,,,
,achievement,ಸಾಧನೆ,,,,,,,,,
,acid,ಆಮ್ಲ,,,,,,,,,
,acknowledgement,ತಲುಪೊಪ್ಪಿಗೆ,,,,,,,,,
,acknowledgement due,ತಲುಪೊಪ್ಪಿಗೆಯ ನಿರೀಕ್ಷಿತ ಪತ್ರ,,,,,,,,,
,acknowledgement is awaited,ಸ್ವೀಕೃತಿಯ ನಿರೀಕ್ಷೆಯಲ್ಲಿ,,,,,,,,,
,acoustic,ಶಬ್ದ ಸಂಬಂಧಿ,,,,,,,,,
,acquaintance,"ಪರಿಚಯ, ಗುರುತು",,,,,,,,,
,acquire,"ಗಳಿಸು, ಹೊಂದು, ಅರ್ಜಿಸು, ಸಂಪಾದಿಸು",,,,,,,,,
,acquisition,"ಗಳಿಕೆ, ಅರ್ಜನೆ, ಸಂಪಾದನೆ",,,,,,,,,
,act of God,ದೈವೀ ಘಟನೆ,,,,,,,,,
