ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abdomen,,ಉದರ; ಹೊಟ್ಟೆ,,,,,,,
,,Abdominal filament,,ಹೊಟ್ಟೆಯತಂತು,,,,,,,
,,Abiotic factor,,ನಿರ್ಜೀವಾಂಶ,,,,,,,
,,Abort,,ಬಂಜೆ; ಗೊಡ್ಡಾಗು; ಕುರುಟುಬೀಳು,,,,,,,
,,Abrasive,,ಘರ್ಷಕ ವಸ್ತು,,,,,,,
,,Abrasive property,,ಉಜ್ಜಿ ಹಾಕುವ ಗುಣ,,,,,,,
,,Absorption,,ಹೀರುವಿಕೆ,,,,,,,
,,Absorptive dust,,ಹೀರುಪುಡಿ,,,,,,,
,,Abundance of insect,,ಕೀಟ ಸಮೃದ್ಧತೆ,,,,,,,
,,Academic control,,ಕ್ರಿಯಾತ್ಮಕವಲ್ಲದ ಹತೋಟಿ,,,,,,,
,,Acapsular,,ಅಸಂಪುಟಕ; ಪೊರೆ ಇಲ್ಲದ,,,,,,,
,,Acarology,,ನುಶಿಗಳ ಅಧ್ಯಯನಶಾಸ್ತ್ರ,,,,,,,
,,Acceleration of development,,ಬೆಳವಣಿಗೆಯ ಗತಿವೃದ್ಧಿ,,,,,,,
,,Acceptor,,ಆದಾತ ವಸ್ತು; ಗ್ರಾಹ್ಯಕರ,,,,,,,
,,Accessory cell,,ಸಹಾಯಕ ಜೀವಕೋಶ; ಆನುಷಂಗಿಕ ಜೀವಕೋಶ,,,,,,,
,,Accessory genital gland,,ಜನನೇಂದ್ರಿಯ ಸಹಕಾರಿ ರಸಗ್ರಂಥಿ,,,,,,,
,,Accessory gland,,ಆನುಷಂಗಿಕ ಗ್ರಂಥಿ,,,,,,,
,,Accessory heart,,ಆನುಷಂಗಿಕ ಹೃದಯ,,,,,,,
,,Accessory lobes of brain,,ಮೆದುಳಿನ ಸಹಾಯಕ ಕಿವಿಯಹಾಲೆ,,,,,,,
,,Accessory respiratory organ,,ಆನುಷಂಗಿಕ ಶ್ವಾಸೇಂದ್ರಿಯ ಸಹಾಯಕ ಶ್ವಾಸೇಂದ್ರಿಯ,,,,,,,
,,Accumulation of body waste,,ದೇಹ ವಿಸರ್ಜಕ ಸಂಚಯ,,,,,,,
,,Acoricide,,ನುಶಿನಾಶಕ,,,,,,,
,,Acorn moth,,ಓಕ್ ಮರದ ಪತಂಗ,,,,,,,
,,Action potential,,ಕ್ರಿಯಾ ಸಾಮರ್ಥ್ಯ ಸಾಧ್ಯತೆ,,,,,,,
,,Activated,,ಕ್ರಿಯಾಶಕ್ತಿ,,,,,,,
,,Activation,,ಪ್ರಚೋದನೆ,,,,,,,
,,Activation centre,,ಕ್ರಿಯಾಕೇಂದ್ರ,,,,,,,
,,Active ingredient,,ಚುರುಕು ಘಟಕ; ಕ್ರಿಯಾಘಟಕ,,,,,,,
,,Acute and chronic,,ತೀವ್ರ ಮತ್ತು ಬೇರೂರಿದ,,,,,,,
,,Adaptation,,ಹೊಂದಾಣಿಕೆ,,,,,,,
,,Adaptive radiation,,ಸಂಯೋಜಿತ ವಿಕಿರಣ,,,,,,,
,,Adduct,,ಅಭಿಕರ್ಷಣ; ಅಭಿಕರ್ಷಿಸು,,,,,,,
,,Adfrontals,,ಹಣೆಯ ಭಾಗಗಳಿಲ್ಲದಿರುವಿಕೆ,,,,,,,
,,Adhesion,,ಅನುಸಕ್ತಿ; ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,,,,,,,
,,Adhesion of stomach poison,,ಜಠರ ಪಾಷಾಣದ ಅಂಟು,,,,,,,
,,Adhesive organ,,ಅಂಟಿಕೊಳ್ಳುವ ಅಂಗ; ಅಂಟುಭಾಗ,,,,,,,
,,Adhesive pad,,ಅಂಟುಸಿಂಬೆ; ಅಂಟುಜೇನು,,,,,,,
,,Adhesive tape,,ಅಂಟಿಕೊಳ್ಳುವ ಪಟ್ಟಿ,,,,,,,
,,Adulteration,,ಕಲಬೆರಕೆ; ಅಶುದ್ಧ,,,,,,,
,,Adulticide,,ಪ್ರೌಢಜೀವಿನಾಶಕ,,,,,,,
