ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
YES,,Abrogated,,"ರದ್ದುಮಾಡು, ವಜಾಮಾಡು, ಕಿತ್ತುಹಾಕು",,,,,,,
YES,,Accused,,ಆಪಾದಿತ,,,,,,,
YES,,Adjudication,,ನ್ಯಾಯನಿರ್ಣಯ,,,,,,,
YES,,Affirmative,,"ದೃಢೀಕರಿಸಿದ, ಸಕಾರಾತ್ಮಕ",,,,,,,
YES,,Agitate,,ಆಂದೋಲನ ಮಾಡು,,,,,,,
YES,,Aggrieved,,"ಬಾಧಿತ, ನೊಂದ, ಸಂಕಷ್ಟಕ್ಕೀಡಾದ",,,,,,,
YES,,Ameliorate,,"ಮೇಲಾಗಿಸು, ಮೇಲಾಗು, ಒಳ್ಳುಗೊಳಿಸು",,,,,,,
YES,,Anticipate,,"ನಿರೀಕ್ಷಿಸು, ಊಹಿಸು",,,,,,,
YES,,Antiquated,,"ಬಳಕೆ ತಪ್ಪಿಸಿದ, ಹಳತಾಗಿಸು, ಹಳೆಯ ರೂಪಕೊಡು",,,,,,,
YES,,Appropriate,,"ಸಮುಚಿತ, ಸೂಕ್ತ, ವಿನಿಯೋಗಿಸು, ವಶಪಡಿಸಿಕೊ",,,,,,,
YES,,Apprehended,,"ಶಂಕಿಸಲಾದ, ಗ್ರಹಿಸಲಾದ, ನಿರೀಕ್ಷಿಸಲಾದ, ದಸ್ತಗಿರಿ ಮಾಡಲಾದ",,,,,,,
YES,,Arbitrary,,"ನಿರಂಕುಶವಾಗಿ, ಮನಸ್ಸು ಬಂದಹಾಗೆ, ಸ್ವಚ್ಛಂದ",,,,,,,
YES,,Arbitrariness,,"ನಿರ್ಬಂಧತೆ, ನಿರಂಕುಶತೆ, ಸ್ವೇಚ್ಛಾನುಸಾರತೆ",,,,,,,
YES,,Bilateral,,ದ್ವಿಪಕ್ಷೀಯ,,,,,,,
YES,,Bonanza,,"ಅಧಿಕ ಉತ್ಪತ್ತಿ, ಏಳಿಗೆ, ಅಭಿವೃದ್ದಿ",,,,,,,
YES,,Caveator,,ತಡೆ ಅರ್ಜಿದಾರ,,,,,,,
YES,,Certiorari,,"ದಾಖಲೆ ಕೇಳಿಕೆ, ಕಟ್ಟಿನ ಕೋಲಿಗ",,,,,,,
YES,,Claims Tribunal,,ಕ್ಲೇಮುನ್ಯಾಯಾಧೀಕರಣ / ಪರಿಹಾರ ನ್ಯಾಯಾಧೀಕರಣ,,,,,,,
YES,,Contention,,ವಾದ,,,,,,,
YES,,Conferred,,"ಪ್ರದತ್ತವಾದ, ಪ್ರದಾನ ಮಾಡಲಾದ, ಕೊಡಲಾದ",,,,,,,
YES,,Constitution,,"ಸಂವಿಧಾನ, ಘಟನೆ ರಚನೆ",,,,,,,
YES,,Contended,,"ವಾದಿಸಲಾದ, ವಿವಾದಿಸಲಾದ",,,,,,,
YES,,Counsel,,"ಸಲಹೆ, ಸಲಹೆಗಾರ, ವಕೀಲ, ಕೌನ್ಸಿಲ್‌",,,,,,,
YES,,Conciliation,,ಸಂಧಾನ,,,,,,,
YES,,Condoned,,"ಮನ್ನಾಮಾಡಿದ, ಮಾಫಿ ಮಾಡಿದ, ಲಕ್ಷಿಸದಿರುವ",,,,,,,
YES,,Concealed,,"ಬಚ್ಚಿಟ್ಟ, ಗುಪ್ತ",,,,,,,
YES,,Contempt,,"ನಿಂದನೆ, ಅವಹೇಳನ",,,,,,,
YES,,Contemplated,,ಆಲೋಚಿಸಲಾದ / ಉದ್ದೇಶಿಸಲಾದ,,,,,,,
YES,,Contravention,,ಉಲ್ಲಂಘನೆ,,,,,,,
YES,,Contemporaneous,,ಸಮಕಾಲೀನ ಏಕಕಾಲೀನ ಸಮಾನಕಾಲ ವ್ಯಾಪ್ತಿಯ,,,,,,,
YES,,Deposition,,"ಹೇಳಿಕೊಡುವುದು, ಸಾಕ್ಷ್ಯ, ಪೂರ್ವಕ ಲಿಖಿತ ಹೇಳಿಕೆ, ವಾಜ್ಮೂಲ, ಅಭಿಸಾಕ್ಷ್ಯ, ಸಾಕ್ಷಿದಾರನ ಹೇಳಿಕೆ, ಪ್ರಮಾಣ",,,,,,,
