ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
- ಅ,,ಅದು ಮಂತ್ರಿಗಳ ಮನೆ,,,(in),,- a,,,,
ಅಂಕ,,ಅವರು ಉತ್ತರ ನೋಡಿ ಅಂಕ ನೀಡುತ್ತಾರೆ.,,,(nn),,anka,,,,
ಅಂಕಗಣಿತ,,ರವಿಗೆ ಅಂಕಗಣಿತ ತುಂಬಾ ಕಷ್ಟ.,,,(nn),,ankagaNita,,,,
ಅಂಕಣ,,ಸುದ್ಧಿ ಪತ್ರಿಕೆಯಲ್ಲಿ ಆ ಸುದ್ಧಿ ಅಂಕಣದಲ್ಲಿ ಬಂದಿದೆ,,,(nn),,ankaNa,,,,
ಅಂಕಿ,,ನಾಲ್ಕು ಅಂಕಿಗಳ ಅತಿ ಚಿಕ್ಕಸಂಖ್ಯೆ ಬರೆ. (1000),,,(nn),,anki,,,,
ಅಂಕುಶ,,ರವಿ ಅಂಕುಶದಿಂದ ಆನೆಯನ್ನು ಹತೋಟಿಗೆ ತಂದನು.,,,(nn),,ankuSa,,,,
ಅಂಗಡಿ,,ಅವನು ಅಂಗಡಿಯಿಂದ ಸಾಮಾನು ತಂದನು.,,,(nn),,angaDi,,,,
ಅಂಗಡಿಕಾರ,,ಅಂಗಡಿಕಾರ ಅಂಗಡಿಯನ್ನು ಮುಚ್ಚಿ ಹಿಂತಿರುಗಿದನು.,,,"(nn,comp)",,angaDikaara,,,,
ಅಂಗಲಾಚು,,ಅವನು ಅಂಗಲಾಚಲು ಮತ್ತೆ ಮತ್ತೆ ನಿಲ್ಲಲಿಲ್ಲ.,,,(nn),,angalaacu,,,,
ಅಂಗಳ,,ಮಗು ಅಂಗಳಧಲ್ಲಿ ಆಡುತ್ತಿದೆ.,,,(nn),,angaLa,,,,
ಅಂಗಳ,,ಮಕ್ಕಳು ಅಂಗಳದಲ್ಲಿ ಆಟವಾಡಿದರು.,,,(nn),,AngaLa,,,,
ಅಂಗಾತ ಬೀಳು,,ಅವನು ಅಂಗಾತ ಬಿದ್ದಿದ್ದಾನೆ.,,,(vi),,angaatabiiLu,,,,
ಅಂಗಾಲು,,ಅಂಗಾಲಿಗೆ ಮುಳ್ಳು ಚುಚ್ಚಿತು.,,,(nn),,angaalu,,,,
ಅಂಗಾಲು,,ಅಂಗಾಲಿನಿಂದ ತಲೆವರೆಗೆ ನೋಯುತ್ತಿತ್ತು.,,,(nn),,angaalu,,,,
ಅಂಗಿ,,ಅವನು ಅಂಗಿ ಧರಿಸಿದನು.,,,(nn),,angi,,,,
