ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
YES,,Abstract,,ಸಂಕ್ಷಿಪ್ತ ವಿವರಪಟ್ಟಿ,,,,,,,
YES,,Accused,,ಆಪಾದಿತ,,,,,,,
YES,,Accessories,,ಉಪಸಾಧನಗಳು,,,,,,,
YES,,Adjudication,,ನ್ಯಾಯನಿರ್ಣಯ,,,,,,,
YES,,Adequate Salary,,ಸಮರ್ಪಕ ವೇತನ,,,,,,,
YES,,Adoption,,"ದತ್ತು, ದತ್ತಕ",,,,,,,
YES,,Affidavit,,"ಪ್ರಮಾಣಪತ್ರ, ಶಪಥಪತ್ರ",,,,,,,
YES,,Affiliation,,ಸಂಯೋಜನೆ,,,,,,,
YES,,Amalgamation,,"ಸಮ್ಮಿಲನ, ಸಮ್ಮಿಶ್ರಣ, ಬೆರಸುವಿಕೆ",,,,,,,
YES,,Amicable settlement,,ಸೌಹಾರ್ದಯುತ ಇತ್ಯರ್ಥ,,,,,,,
YES,,Arbitration,,ಮಧ್ಯಸ್ತಿಕೆ,,,,,,,
YES,,Audit,,ಲೆಕ್ಕ ಪರಿಶೋಧನೆ,,,,,,,
YES,,Beneficiary,,ಫಲಾನುಭವಿ,,,,,,,
YES,,Check list,,"ತಪಾಸಣಾ ಪಟ್ಟಿ, ಪರಿಶೀಲನಾ ಪಟ್ಟಿ",,,,,,,
YES,,Check off system,,ಕಾರ್ಮಿಕರ ವೇತನದಿಂದ ಚಂದಾ ಮುರಿದುಕೊಳ್ಳುವ ಪದ್ಧತಿ,,,,,,,
YES,,Conciliation,,ಸಂಧಾನ,,,,,,,
YES,,Consumer durables,,ಗ್ರಾಹಕರ ಬಾಳಿಕೆ ಬರುವ ವಸ್ತುಗಳು,,,,,,,
YES,,Contravention,,ಉಲ್ಲಂಘನೆ,,,,,,,
YES,,Comprehensive,,ಸಮಗ್ರ,,,,,,,
YES,,Concept,,ಪರಿಕಲ್ಪನೆ,,,,,,,
YES,,Corpus,,ಮೂಲ ದ್ರವ್ಯ,,,,,,,
YES,,Counselling,,"ಸಲಹೆ, ಸಲಹೆ ನೀಡುವುದು, ಕೌನ್ಸೆಲಿಂಗ್‌",,,,,,,
YES,,Collective Bargaining,,"ಸಾಮೂಹಿಕ ಚೌಕಾಶಿ, ಸಾಮೂಹಿಕ ಕರಾರು",,,,,,,
YES,,Creche,,ಮಕ್ಕಳ ಪಾಲನ ಗೃಹ,,,,,,,
YES,,Criteria,,"ಮಾನದಂಡ, ಅಳತೆಗೋಲು",,,,,,,
YES,,Crew Rest Room,,ಚಾಲನಾ ಸಿಬ್ಬಂದಿ ವಿಶ್ರಾಂತಿ ಕೊಠಡಿ,,,,,,,
YES,,De-addiction,,ಮದ್ಯಚಟ ನಿವಾರಣೆ,,,,,,,
YES,,Double Duty,,"ಇಮ್ಮಡಿ ಕೆಲಸ, ಎರಡು ಕೆಲಸ",,,,,,,
YES,,Equated Monthly Installments,,ಸಮಾನ ಮಾಸಿಕ ಕಂತುಗಳು,,,,,,,
YES,,Erstwhile,,"ಹಿಂದಿನ, ಪೂರ್ವ",,,,,,,
YES,,Estimate,,ಅಂದಾಜು,,,,,,,
YES,,Essential Services Maintainance Act,,ಅತ್ಯಾವಶ್ಯಕ ಸೇವೆಗಳ ನಿರ್ವಹಣಾ ಕಾಯ್ದೆ,,,,,,,
YES,,Extension Counter,,ವಿಸ್ತರಣಾ ಕೌಂಟರ್‌,,,,,,,
