ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abandonment,,"ಬಿಟ್ಟುಬಿಡುವಿಕೆ, ತೊರೆಯುವಿಕೆ, ತಳ್ಳಿಹಾಕುವಿಕೆ",,,,,,,
,,"Abattoir, slaughter house",,ಕಸಾಯಿಖಾನೆ,,,,,,,
,,Abdomen,,"ಉದರ, ಹೊಟ್ಟೆ",,,,,,,
,,Abdominal filament,,ಹೊಟ್ಟೆಯ ತಂತು,,,,,,,
,,Aberrant,,"ಅಪಸರಿತ, ದಾರಿಬಿಟ್ಟ",,,,,,,
,,Abiogenesis,,ನಿರ್ಜೀವಿ ಜನನ,,,,,,,
,,Abiotic factor,,ನಿರ್ಜೀವಾಂಶ,,,,,,,
,,Abort,,"ಗೊಡ್ಡಾಗು, ಕುರುಟುಬೀಳು",,,,,,,
,,Abortive,,ನಿಷ್ಫಲ,,,,,,,
,,Abortion,,ಗರ್ಭಪಾತ,,,,,,,
,,Abortive transduction,,"ಭಗ್ನ ಅನ್ಯುವಹನ, ನಿಷ್ಫಲ ಅನ್ಯುವಹನ",,,,,,,
,,Abrasion,,"ಉಜ್ಜುವಿಕೆ, ಉಜ್ಜುಗಾಯ",,,,,,,
,,Abrasive,,ಘರ್ಷಕ ವಸ್ತು,,,,,,,
,,Abrasive property,,ಉಜ್ಜಿಹಾಕುವ ಗುಣ,,,,,,,
,,Abscission,,"ಕತ್ತರಿಕೆ, ಸೀಳುವಿಕೆ",,,,,,,
,,Absorption,,ಹೀರುವಿಕೆ,,,,,,,
,,Absorption spectrum,,ಹೀರಿಕೆ ವರ್ಣಪಟಲ,,,,,,,
,,Absorptive dust,,"ಹೀರು ಪುಡಿ, ಹೀರು ಧೂಳು",,,,,,,
