ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abaxial,,ಮೇಲ್ಭಾಗ,,,,,,,
,,Aberration,,ವಿಪಥನ; ಅಪಸರಣ,,,,,,,
,,Abiogenesis; Abiogeny,,ಅಜೀವಜನನ,,,,,,,
,,Abortive,,ಬಂಜೆ; ಅಪೂರ್ಣ ಬೆಳವಣಿಗೆಯ; ಗೊಡ್ಡಾದ,,,,,,,
,,Absciss,,ಕಳಚುವಿಕೆ; ಛೇದನ,,,,,,,
,,Acantha,,ಮುಳ್ಳು,,,,,,,
,,Acarpellous,,ಅಂಡಕರಹಿತ,,,,,,,
,,Acarpous,,ಫಲಕೊಡದ,,,,,,,
,,Acaulescent,,ಅಸ್ಥಂಭಿ; ಕಾಂಡರಹಿತ,,,,,,,
,,Acceptorcell,,ಗ್ರಾಹಿಕೋಶ; ಸ್ವೀಕಾರಿ ಕೋಶ,,,,,,,
,,Accessory bud,,ಮೊಗ್ಗು; ಜೊತೆ ಮೊಗ್ಗು,,,,,,,
,,Acclimation,,ಹವಾಗುಣಕ್ಕೆ ಹೊಂದಿದ,,,,,,,
,,Acclimatization,,ಹವಾಗುಣಾನುಕೂಲಿಕೆ,,,,,,,
,,Accresent,,ಪುಷ್ಪಾನಂತರ ಬೃಹತ್ ವೃದ್ಧಿ,,,,,,,
,,Accrete,,ಸಹವೃದ್ಧಿತ; ಸಹಬೆಳೆದ,,,,,,,
,,Accrose,,ಸೂಜಿಯಾಕಾರದ; ಚೂಪಾದ,,,,,,,
,,Acentric,,ಅಕೇಂದ್ರಿಯ,,,,,,,
,,Acephala,,ಚಂಡುರಹಿತ; ಅಶೀರ್ಷ,,,,,,,
,,Acervate,,ಪುಂಜಿತ; ಸಮೂಹಿತ,,,,,,,
,,Achene,,ನಗ್ನ ಫಲ,,,,,,,
,,Achlamydous; Achlamydy,,ಹೂದಳ ರಹಿತ; ಹೂದಳ ಹೀನ,,,,,,,
,,Achlorophyllous,,ಹರಿತ್ತುರಹಿತ,,,,,,,
,,Achromat; Achromatic,,ಆವರ್ಣಕ,,,,,,,
,,Acicular; Aciform,,ಸೂಜಿಯಾಕಾರ,,,,,,,
,,Aciduric,,ಅತೀ ಆಮ್ಲಸಹನೀಯ; ಅತೀ ಆಮ್ಲ ಸಹಿಷ್ಣು,,,,,,,
,,Acin,,ಕೂಡುಹಣ್ಣು; ಗೊಂಚಲುಹೆಣ್ಣು,,,,,,,
,,Acinacifolious,,ಗೊಂಚಲುಎಲೆ; ಗುಂಪುಎಲೆ,,,,,,,
,,Acinaciform,,ಸುತ್ತು ಎಲೆ; ಸುರುಳಿ ಎಲೆ,,,,,,,
,,Acotyledon,,ಬೀಜದಳರಹಿತ,,,,,,,
,,Acrocarpous,,ಅಕ್ಷಾಂತ ಫಲ,,,,,,,
,,Acropetal,,ಆಗ್ರಾಭಿಸಾರಿ; ಊರ್ಧ್ವವರ್ಧಿ,,,,,,,
,,Actinomorphic,,ತ್ರಿಜ್ರ್ಯಸಮಮಿತ; ತ್ರಿಜ್ಯ ಮಅಳತೆಯ,,,,,,,
,,Actinostele,,ನಕ್ಷತ್ರ ಕೇಂದ್ರವಲಯ,,,,,,,
,,Aculeus,,ಶೂಲೀಯ; ಮುಳ್ಳಿರುವ,,,,,,,
,,Acuminetus,,ಮೊನಚು ತುದಿಯುಳ್ಳ,,,,,,,
,,Acuninate,,ಲಂಬಾಗ್ರ,,,,,,,
,,Acute,,ನಿಶ್ಚಿತ; ಮೊನಚು; ತೀವ್ರ,,,,,,,
,,Acyclic,,ಸುರಳಿಜೋಡಣೆ,,,,,,,
,,Adaptation,,ಹೊಂದಿಕೊಳ್ಳುವ,,,,,,,
,,Adaxial,,ಅಕ್ಷದೊಂದಿಗಿನ; ಅಭ್ಯಕ್ಷ,,,,,,,
,,Additive,,ಸಂಕಲಿತ,,,,,,,
,,Adelphous,,ಗುಂಪು ಕೇಸರ; ಕೂಡು ಕೇಸರ,,,,,,,
,,Adenophorous; Adenose,,ಗ್ರಂಥಿಯುಕ್ತ,,,,,,,
,,Adenophyllous,,ಗ್ರಂಥಿಪತ್ರೀಯ,,,,,,,
,,Adglutinate,,ಹೊಂದಿಬೆಳೆಯುವ,,,,,,,
,,Adhesion,,ಅಂಟಿಕೊಂಡ; ಕೂಡಿದ,,,,,,,
,,Adhesive disc,,ಅಂಟುತಟ್ಟೆ,,,,,,,
,,Adiabatic,,ಸ್ಧಿರೋಷ್ಣ,,,,,,,
,,Adnate,,ಸಂಸಕ್ತ,,,,,,,
,,Aduncate,,ಕೊಕ್ಕೆಯ; ಕೊಕ್ಕೆಯಂತಿರುವ; ಮುಳ್ಳಿನ,,,,,,,
,,Adventitious,,ಅಪಸ್ಥಾನಿಕ,,,,,,,
,,Aelophilous,,ಗಾಳಿಪ್ರಸಾರಕ,,,,,,,
,,Aeration,,ವಾಯುಚಲನ,,,,,,,
,,Aerial,,ವಾಯುವಿನ; ಆಕಾಶಿ,,,,,,,
,,Aerobe,,ವಾಯುಜೀವಿ,,,,,,,
,,Aerocyst,,ವಾತಪುಟಿ,,,,,,,
,,Aerophillous,,ವಾತಪ್ರಿಯ,,,,,,,
,,Aerophyte,,ವಾತಾಭಿವೃದ್ಧಿ ಸಸ್ಯ; ಗಾಳಿಸಸ್ಯ,,,,,,,
,,Aerotropic,,ವಾತಾನುವರ್ತಿನಿ,,,,,,,
,,Aestivation,,ಪುಷ್ಪದಳವಿನ್ಯಾಸ; ಹೂದಳರಚನೆ,,,,,,,
,,Afoliate,,ಎಲೆಇಲ್ಲದ; ಪತ್ರರಹಿತ,,,,,,,
,,Agamic; Agamous,,ಅಯುಗ್ಮನಿ,,,,,,,
,,Agamogony,,ಅಯುಗ್ಮನಲಿಂಗಾಣು,,,,,,,
,,Agamospermy,,ಅಯುಗ್ಮನಬೀಜಾಣು,,,,,,,
,,Agaricaceous,,ಅಣಬೆಯಂತಹ; ಛತ್ರಕೀಯ; ಕೊಡೆಯಾಕಾರದ,,,,,,,
,,Agaricology,,ಅಣಬೆ ವಿಜ್ಞಾನ,,,,,,,
,,Agglomerate,,ಗುಂಪಾಗಿರುವುದು,,,,,,,
,,Aggregate fruit,,ಸಾಮೂಹಿಕ ಫಲ; ಸಮಷ್ಠಿ ಫಲ,,,,,,,
,,Agro-forestry,,ಕೃಷಿವನಶಾಸ್ತ್ರ,,,,,,,
,,Agrotype,,ಕೃಷಿಪ್ರಜಾತಿ,,,,,,,
,,Aigicolour,,ಸಮುದ್ರ ದಂಡೆಯ ಮರಳಲ್ಲಿ ಬೆಳೆಯುವ,,,,,,,
,,Air canal,,ಗಾಳಿ ಕಾಲುವೆ,,,,,,,
,,Akaryote stage,,ನಿಜಕಣ ಬೀಜರಹಿತ ಹಂತ,,,,,,,
,,Akinate,,ಸುಪ್ತ ಬೀಜಾಣು,,,,,,,
,,Alate,,ರೆಕ್ಕೆಯಂತಿರುವ,,,,,,,
,,Albumen,,ಭ್ರೂಣಾಹಾರ,,,,,,,
,,Algae,,ಪಾಚಿಗಳು; ಶೈವಲ,,,,,,,
,,Algicide,,ಶೈವಲನಾಶಿ; ಪಾಚಿನಾಶಿ,,,,,,,
,,Algology,,ಪಾಚಿಗಳ ವಿಜ್ಞಾನ; ಶೈವಲ ವಿಜ್ಞಾನ; ಶೈವಲಶಾಸ್ತ್ರ,,,,,,,
