ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abbreviation,,"ಸಂಕ್ಷಿಪ್ತ, ಸಂಕ್ಷಿಪ್ತ ರೂಪ, ಸಂಕ್ಷೇಪ, ಸಂಕ್ಷೇಪ ಮಾಡುವುದು, ಸಂಗ್ರಹ, ಸಂಕ್ಷೇಪನ",,,,,,,
,,Abeyance,,"ಅಮಾನತ್ತು, ತಡೆಗಡೆ, ಜಾರಿಗೆ ಬರದಂತೆ ತಡೆಯುವುದು, ತಡೆಹಿಡಿಯುವುದು.",,,,,,,
,,Absence,,"1. ಗೈರು ಹಾಜರಿ 2. ಖಾಲಿಜಾಗ, ತೆರವಿದ್ದ ಸ್ಥಾನ 3. ಅಭಾವ, ಕೊರತೆ 4. ಶೂನ್ಯ",,,,,,,
,,Absence without permission,,ಅನುಮತಿ ಇಲ್ಲದೆ ಗೈರುಹಾಜರಿ,,,,,,,
,,Absent without leave (Absence without leave),,ರಜೆ ಪಡೆಯದೆ ಗೈರುಹಾಜರಿ,,,,,,,
,,Absentee statement,,"ಗೈರುಹಾಜರಿ ಪಟ್ಟಿ, ಗೈರುಹಾಜರಿ ತಃಖ್ತೆ",,,,,,,
,,Abstract,,"ಗೋಷ್ವಾರೆ, ಸಂಗ್ರಹ, ಸಾರಾಂಶ, ಸಂಕ್ಷಿಪ್ತ",,,,,,,
,,Abstract bill,,"ಸಂಕ್ಷಿಪ್ತ ಪತ್ರ/ಬಿಲ್ಲು, ಸಂಕ್ಷಿಪ್ತ ಬೆಲೆ ಪಟ್ಟಿ",,,,,,,
,,Abstract book,,"ಗೋಷ್ವಾರೆ ಪುಸ್ತಕ, ಸಂಗ್ರಹ ಪುಸ್ತಕ, ಸಂಕ್ಷಿಪ್ತ ಪುಸ್ತಕ",,,,,,,
,,Abstract contingent bill,,ಸಂಕ್ಷಿಪ್ತ ಸಾದಿಲ್ವಾರು ಬಿಲ್ಲು/ಪತ್ರ,,,,,,,
,,Abstract of account,,"ಲೆಕ್ಕದ ಗೋಷ್ವಾರೆ, ಸಂಕ್ಷಿಪ್ತ ಲೆಕ್ಕ",,,,,,,
,,Accept a bill,,"ಪತ್ರ ಸ್ವೀಕರಿಸು/ಒಪ್ಪಿಕೊ, ಬಿಲ್ಲು ಸ್ವೀಕರಿಸು/ಒಪ್ಪಿಕೊ",,,,,,,
,,Acceptance certificate,,"ಒಪ್ಪಿಗೆ ಪತ್ರ, ಅಂಗೀಕಾರ ಪತ್ರ, ಸ್ವೀಕಾರ ಪತ್ರ",,,,,,,
,,Acceptance in principle,,ತತ್ತ್ವಶಃ ಒಪ್ಪಿಗೆ,,,,,,,
,,"Acceptance, conditional",,ಷರತ್ತು ಸಹಿತ ಒಪ್ಪಿಗೆ,,,,,,,
,,"Acceptance, implied",,"ಅಡಕವಾಗಿರುವ ಒಪ್ಪಿಗೆ, ಸೂಚ್ಯ ಒಪ್ಪಿಗೆ",,,,,,,
,,Accord sanction to,,"ಮಂಜೂರಾತಿ ಕೊಡುವುದು/ನೀಡಿಕೆ, ಮಂಜೂರಾತಿ ನೀಡುವುದು, ಮಂಜೂರು ಮಾಡುವುದು",,,,,,,
,,According interest,,"ಬೆಳೆದು ಬರುವ ಬಡ್ಡಿ, ಪ್ರಾಪ್ತವಾಗುವ ಬಡ್ಡಿ, ಹೆಚ್ಚಳವಾಗಿ ಬರುವ ಬಡ್ಡಿ",,,,,,,
,,According priority to,,"ಆದ್ಯತೆ ಕೊಡುವುದು, ಆದ್ಯತೆ ನೀಡಿಕೆ",,,,,,,
,,According to rule,,ನಿಯಮಾನುಸಾರವಾಗಿ,,,,,,,
,,Account,,"ಖಾತೆ, ಲೆಕ್ಕಖಾತೆ, ಲೆಕ್ಕಪತ್ರ, ಲೆಕ್ಕದ ಗೋಷ್ವಾರೆ",,,,,,,
,,Account book,,"ಲೆಕ್ಕ ಪುಸ್ತಕ, ಖಾತೆ ಪುಸ್ತಕ",,,,,,,
,,Account code,,"ಖಾತೆ ನಿಯಮಾವಳಿ, ಲೆಕ್ಕ ನಿಯಮಾವಳಿ/ ಸಂಹಿತೆ, ಲೇಖಾ ಸಂಹಿತೆ",,,,,,,
,,Account payee,,ಗ್ರಾಹಕರ ಲೆಕ್ಕಕ್ಕೆ ಜಮಾಮಾಡು,,,,,,,
,,Accountant,,"ಲೆಕ್ಕಿಗ, ಲೆಕ್ಕ ಗುಮಾಸ್ತ, ಲೇಖಾಪಾಲ",,,,,,,
,,Accountant General,,"ಮಹಾಲೆಕ್ಕಿಗ, ಮಹಾ ಲೇಖಪಾಲ",,,,,,,
,,Accounts,,"ಲೆಕ್ಕ, ಲೆಕ್ಕಪತ್ರಗಳು",,,,,,,
,,Accounts clerk,,ಲೆಕ್ಕ ಗುಮಾಸ್ತ,,,,,,,
,,Accounts with Reserve Bank,,ರಿಸರ್ವ್‌ ಬ್ಯಾಂಕಿನಲ್ಲಿ ಲೆಕ್ಕ,,,,,,,
,,Accrual,,"ಪ್ರಾಪ್ತಿ, ಹೆಚ್ಚಳ",,,,,,,
,,Accrue,,"ಪ್ರಾಪ್ತವಾಗು, ಕೂಡಿಬರು, ಉಂಟಾಗು",,,,,,,
,,Accumulated,,"ಸಂಚಿತ, ಒಟ್ಟುಗೂಡಿದ, ಶೇಖರಿಸಿದ, ಸಂಗ್ರಹಿಸಿದ",,,,,,,
,,Accuracy,,"ನಿಖರತೆ, ಖಚಿತತೆ, ಕರಾರುವಕ್ಕು, ನಿಷ್ಕೃಷ್ಟತೆ, ನಿರ್ದಿಷ್ಟತೆ",,,,,,,
,,Accurate,,"ಕರಾರುವಕ್ಕಾದ, ಸರಿಯಾದ, ನಿಷ್ಕೃಷ್ಟವಾದ",,,,,,,
,,Acknowledge,,"1. ಸ್ವೀಕಾರಮಾಡು, ಒಪ್ಪಿಕೊ, ಅಂಗೀಕರಿಸು, ಸಂದಿದೆಯೆಂದು ತಿಳಿಸು, ಸಲ್ಲಿಕೆ ಕೊಡು, ತಲಪಿದ್ದಕ್ಕೆ ತಿಳಿಸು 2. ಕೃತಜ್ಞತೆಯಿಂದ ಸ್ಮರಿಸು",,,,,,,
,,Acknowledgement,,"ಪಾವತಿ ಪತ್ರ, ಸ್ವೀಕೃತಿ, ಸ್ವೀಕಾರ, ಒಪ್ಪಿಗೆ, ರಸೀತಿ, ಸಲ್ಲಿಕೆ, ಪಾವತಿ",,,,,,,
,,Acknowledgement at source,,"ಮೂಲದಲ್ಲಿಯೇ ಪಾವತಿ, ಸ್ಥಳದಲ್ಲಿಯೇ ಪಾವತಿ",,,,,,,
,,Acknowledgement card,,ಪಾವತಿ ಪತ್ರ/ಚೀಟಿ,,,,,,,
,,Acknowledgement portion,,ಸ್ವೀಕಾರ ಭಾಗ/ ಅಂಶ,,,,,,,
