ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,abaca,Musa textilis,,,,,,,,,
,abandoned area,ತೊರೆದ ಪ್ರದೇಶ,,,,,,,,,
,abaxial,(ಎಲೆಯ) ಮೇಲ್ಭಾಗ,,,,,,,,,
,abdomen,ಹೊಟ್ಟೆ; ಉದರ,,,,,,,,,
,Abelmoschus cstulcntus,ಬೆಂಡೆ,,,,,,,,,
,Aberia caffra (Kei apple),ಅಬೇರಿಯ ಕೆಫ್ರ; ಒಂದು ಹಣ್ಣಿನ ಮರ,,,,,,,,,
,aberration,"ಅಪಸರಣ; ಮೂಲರೂಪ, ಗುಣ, ಮೊದಲಾದವುಗಳಲ್ಲಿ ಉಂಟಾಗುವ ಬದಲಾವಣೆ",,,,,,,,,
,Abies webbiana (silver/Himalayan fir),ಎಬೀಯೀಜ್‌ ವೆಬಿಯಾನ; ತಾಳೇಶಪತ್ರೆ ಮರ; ಎಲೆಗಳ ಕೆಳಭಾಗದಲ್ಲಿ ಎರಡು ಬೆಳ್ಳಿ ಗೆರೆಗಳಿರುವ ಫರ್‌ಮರ,,,,,,,,,
,abiogenesis,ಅಜೀವಿ ಜನನ; ನಿರ್ಜೀವ ವಸ್ತುವಿನಿಂದ ಜೀವ ವಸ್ತು ಜನನ,,,,,,,,,
,abiological,abiotic,,,,,,,,,
