ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Aborted organ,"ವೃದ್ಧಿ ರೋಧಿತ ಅಂಗ, ಗರ್ಭಪಾತಕ್ಕೊಳಗಾದ ಅಂಗ",,,,,,,,,
,Abscicic acid,ಛೇದನಾ ಆಮ್ಲ,,,,,,,,,
,Abscission,ಛೇದನ,,,,,,,,,
,Abscission layer,ಛೇದನಾ ಪದರ,,,,,,,,,
,Absorption,ಹೀರಿಕೆ,,,,,,,,,
,Abutilon,ಅಬ್ಯೂಟಿಲಾನ್ ಹೂವು,,,,,,,,,
,Acacia,ಜಾಲಿ,,,,,,,,,
,Acalypha,ಅಕ್ಯಾಲಿಫ,,,,,,,,,
,Accessory bud,ಅಧಿಕ ಸಂಖ್ಯಾಮೊಗ್ಗು,,,,,,,,,
,Acclimatisation,ಹೊಸ ಪರಿಸರಕ್ಕೆ / ವಾತಾವರಣಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,,,,,,,,,
,Accrescent,"ಹೂಬಿಟ್ಟ ಮೇಲೆ ದೊಡ್ಡದಾಗಿ ಬೆಳೆಯುವ, ಬೆಳೆಯುತ್ತಲೇ ಹೋಗುವ",,,,,,,,,
,Achene,ಅಕೀನ್ ಫಲ (ಹಣ್ಣಿನಂತೆ ತೋರುವ ಬೀಜ),,,,,,,,,
,Acid oil,ಆಮ್ಲ ತೈಲ,,,,,,,,,
,Acid scarification,ಆಮ್ಲದಿಂದ ಬೀಜದ ಮೇಲೆ ಗೀರುವಿಕೆ,,,,,,,,,
,Acid soil,"ಹುಳಿಮಣ್ಣು, ಆಮ್ಲಿಯಾ ಮಣ್ಣು",,,,,,,,,
,Acidlime (sourlime),"ಹುಳಿನಿಂಬೆ, ಲಿಂಬೆಹಣ್ಣು",,,,,,,,,
,Acorn,"ಬಾಂಜಫಲ, ಓಕ್ ಮರದ ಹಣ್ಣು ಅಥವಾ ಬೀಜ",,,,,,,,,
,Acrid taste,ಒಗರು,,,,,,,,,
,Acropetal succession,ಅಗ್ರಾಭಿಸಾರಿ / ಊರ್ಧ್ವವರ್ಧಿ ಅನುಕ್ರಮತೆ,,,,,,,,,
,Actinomorphic (Radial symmetry),ತ್ರಿಜ್ಯ ಸಮಮಿತಿ,,,,,,,,,
,Activators (catalists),ವೇಗವರ್ಧಕಗಳು,,,,,,,,,
,Active bud,ಪ್ರಚಲಿತ / ಕ್ರಿಯಾಶೀಲ ಮೊಗ್ಗು,,,,,,,,,
,Active stage (of plant disease),ಚುರುಕು / ಚಟುವಟಿಕೆಯಿಂದ ಕೂಡಿದ ಹಂತ,,,,,,,,,
,Acuminate,ಚೂಪಾದ ತುದಿ,,,,,,,,,
,Adaka,"ಬಲಿತ, ತಾಜಾ ಅಡಕೆಹಣ್ಣು",,,,,,,,,
,Adakka kunnan,ಬಾಳೆಯ ಒಂದು ತಳಿ,,,,,,,,,
,Adanimma,ಗಜನಿಂಬೆ ಜಾತಿಗೆ ಸೇರಿದ ಫಲ,,,,,,,,,
,Adnate,ಹೂವಿನ ಸುತ್ತುಗಳು ಅಂಟಿಕೊಂಡು ಬೆಳೆಯುವಿಕೆ / ಕೂಡಿರುವಿಕೆ,,,,,,,,,
,Adventitious,ಅಂಗಂತುಕ / ಆಕಸ್ಮಿಕ/ ಅನುಷಂಗಿಕ ಬೇರು,,,,,,,,,
,Adventitious embryony (nucellar embryony),ಆಕಸ್ಮಿಕ / ತೊಡಕು ಭ್ರೂಣ,,,,,,,,,
,Adventitious root,ಆನುಷಂಗಿಕ / ಆಗಂತುಕ ಬೇರು,,,,,,,,,
,Adventitious shoot,ಅನುಷಂಗಿಕ / ಆಗುಂತುಕ ಪ್ರಕಾಂಡ / ಚಿಗುರು,,,,,,,,,
,Adventitious sprout,ಆನುಷಂಗಿಕ / ಆಕಸ್ಮಿಕ ಚಿಗುರು / ಮೋಸು,,,,,,,,,
,Aeration,ಗಾಳಿಯಾಡುವಿಕೆ,,,,,,,,,
,Aerator,ಗಾಳಿಯಾಡಿಸುವ ಯಂತ್ರ,,,,,,,,,
