ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
ಅಂಕ,,"ಅಂಕಿ, ಸಂಖ್ಯೆ",,,,,,"number, marks",,,yes
ಅಂಕಗಣಿತ,,,,,,,,arithmetic,,,yes
ಅಂಕಣ,,ಕಾಲಂ,,,,,,column,,,yes
ಅಂಕಪತ್ರ,,,,,,,,marks card,,,yes
ಅಂಕಶೋಧನೆ,,,,,,,,calibration,,,yes
ಅಂಕಿ,,"ಅಂಕೆ, ಸಂಖ್ಯೆ, ಅಂಕ",,,,,,figure,,,yes
ಅಂಕಿ ಅಂಶಗಳ ಅಧಿಕಾರಿ,,,,,,,,statistical officer,,,yes
ಅಂಕಿ ಅಂಶಗಳ ಅಧ್ಯಯನ ಸಂಸ್ಥೆ,,,,,,,,statistical institute,,,yes
ಅಂಕಿ ಅಂಶಗಳ ತಂತ್ರ,,,,,,,,statistical technique,,,yes
ಅಂಕಿ ಅಂಶಗಳ ಪ್ರಾಧಿಕಾರ,,,,,,,,statistical authority,,,yes
ಅಂಕಿ ಅಂಶಗಳ ಮಾಹಿತಿ,,,,,,,,statistical information,,,yes
ಅಂಕಿ ಅಂಶಗಳ ವಿಶ್ಲೇಷಣೆ,,,,,,,,statistical analysis,,,yes
ಅಂಕಿ ಅಂಶಗಳು,,"ಮಾಹಿತಿ, ಆಧಾರ ಸಾಮಗ್ರಿ",,,,,,"facts and figures, statistics, data",,,yes
ಅಂಕಿ ಸಂಖ್ಯಾ ಶಾಸ್ತ್ರ,,ಸಂಖ್ಯಾ ಪರಿಶೀಲನ ಶಾಸ್ತ್ರ,,,,,,statistics,,,yes
ಅಂಕುರ,,,,,,,,"sprout, shoot",,,yes
ಅಂಕುರಣ,,"ಚಿಗುರುವಿಕೆ, ಅರಳುವಿಕೆ, ಬೆಳವಣಿಗೆ",,,,,,germination,,,yes
ಅಂಕೆ,,,,,,,,figure,,,yes
ಅಂಗ,,ಭಾಗ,,,,,,part,,,yes
ಅಂಗಚ್ಛೇದನ,,,,,,,,amputation,,,yes
ಅಂಗಡಿ,,ಮಳಿಗೆ,,,,,,shop,,,yes
ಅಂಗಡಿಕಾರ,,,,,,,,shopkeeper,,,yes
ಅಂಗಣ,,"ಪ್ರಾಂಗಣ, ಅಂಗಳ",,,,,,yard,,,yes
ಅಂಗಭಾಗ,,"ಅಂಶ, ಭಾಗ, ಘಟಕ",,,,,,component,,,yes
ಅಂಗ ರಕ್ಷಕ,,,,,,,,body-guard,,,yes
ಅಂಗರಚನಾ ಶಾಸ್ತ್ರ,,,,,,,,anatomy,,,yes
ಅಂಗರಾಗ,,"ಪ್ರಸಾಧನ, ಕಾಂತಿವರ್ಧಕ",,,,,,cosmetics,,,yes
ಅಂಗವಿಕಲತೆ,,"ನ್ಯೂನತೆ, ವಿಕಲತೆ, ದೌರ್ಬಲ್ಯ",,,,,,"disability, handicap",,,yes
ಅಂಗವಿಕಲರ ಪಿಂಚಣಿ,,,,,,,,disability pension,,,yes
ಅಂಗವೈಕಲ್ಯ ವಿಶೇಷ ರಜೆ,,,,,,,,special disability leave,,,yes
ಅಂಗಸಾಧನೆ,,"ವ್ಯಾಯಾಮ, ಕಸರತ್ತು",,,,,,"gymnastics, exercise",,,yes
ಅಂಗಹೀನತೆ,,ಅಂಗವಿಕಲತೆ,,,,,,disability,,,yes
ಅಂಗಹೀನರು,,,,,,,,disabled persons,,,yes
ಅಂಗಳ,,"ಅಂಗಣ, ಪ್ರಾಂಗಣ",,,,,,"yard, courtyard",,,yes
ಅಂಗಾರ,,ಇಂಗಾಲ,,,,,,carbon,,,yes
ಅಂಗಾರಕ,,ಕುಜ,,,,,,planet mars,,,yes
ಅಂಗೀಕರಿಸು,,"ಒಪ್ಪಿಕೊ, ಸ್ವೀಕರಿಸು",,,,,,"accept, concede",,,yes
ಅಂಗೀಕರ್ತ,,ಒಪ್ಪಿಗೆಕಾರ,,,,,,acceptor,,,yes
ಅಂಗೀಕಾರ,,"ಪ್ರವೇಶ, ಸ್ವೀಕಾರ, ಒಪ್ಪಿಗೆ",,,,,,"admission, accord, acceptance",,,yes
ಅಂಗೀಕಾರ ಪತ್ರ,,,,,,,,letter of acceptance,,,yes
ಅಂಗೀಕಾರಾರ್ಹ,,,,,,,,"acceptable, admissible",,,yes
ಅಂಗೀಕೃತ,,,,,,,,"accepted, approved",,,yes
ಅಂಗುಲ,,,,,,,,inch,,,yes
ಅಂಗೈ,,ಹಸ್ತ,,,,,,palm,,,yes
ಅಂಚಿನ ಟಿಪ್ಪಣಿ,,,,,,,,marginal note,,,yes
ಅಂಚಿನ ನಮೂದನೆ,,,,,,,,marginal entry,,,yes
ಅಂಚಿನ ಶೀರ್ಷಿಕೆ,,,,,,,,marginal heading,,,yes
ಅಂಚು,,"ಪಾರ್ಶ್ವ, ಬದಿ",,,,,,"margin, brim",,,yes
ಅಂಚೆ,,ಟಪಾಲು,,,,,,"post, mail",,,yes
ಅಂಚೆ ಆದೇಶ,,ಪೋಸ್ಟಲ್ ಆರ್ಡರ್,,,,,,postal order,,,yes
ಅಂಚೆ ಕಚೇರಿ,,,,,,,,post office,,,yes
ಅಂಚೆ ಕಾರ್ಡು,,,,,,,,post card,,,yes
ಅಂಚೆ ಚೀಟಿ,,,,,,,,postal stamp,,,yes
ಅಂಚೆ ಚೀಲ,,ಟಪಾಲು ಚೀಲ,,,,,,"post bag, mail bag",,,yes
ಅಂಚೆ ಟಿಪ್ಪಣಿ,,,,,,,,postal note,,,yes
ಅಂಚೆ ನಗದು ಪತ್ರ,,,,,,,,postal cash certificate,,,yes
ಅಂಚೆ ನೌಕರ,,,,,,,,postal employee,,,yes
ಅಂಚೆ ಪಟ್ಟಿ,,,,,,,,mailing list,,,yes
ಅಂಚೆ ಪೆಟ್ಟಿಗೆ,,,,,,,,post box,,,yes
ಅಂಚೆ ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,,certificate of posting,,,yes
ಅಂಚೆ ಮತದಾನ,,,,,,,,postal voting,,,yes
ಅಂಚೆ ರಕ್ಷಕ,,,,,,,,mail guard,,,yes
ಅಂಚೆ ವಿಳಾಸ,,,,,,,,postal address,,,yes
ಅಂಚೆ ವೆಚ್ಚ,,,,,,,,postage,,,yes
ಅಂಚೆ ಸಂಪರ್ಕ,,,,,,,,postal communication,,,yes
ಅಂಚೆ ಸ್ಟ್ಯಾಂಪು,,,,,,,,postage stamp,,,yes
ಅಂಟಿಸು,,,,,,,,"affix, paste",,,yes
ಅಂಟು,,,,,,,,"paste, gum, adhesive",,,yes
ಅಂಟು ಜಾಡ್ಯ,,ಸಾಂಕ್ರಾಮಿಕ ರೋಗ,,,,,,"epidemic, infectious disease, contagious disease",,,yes
ಅಂಟು ಪಟ್ಟಿ,,,,,,,,gum tape,,,yes
ಅಂಡ,,,,,,,,testicle,,,yes
ಅಂಡಕೋಶ,,,,,,,,scrotum,,,yes
ಅಂಡಾಕಾರ,,,,,,,,oval,,,yes
ಅಂಡಾಕೃತಿಯ,,,,,,,,elliptical,,,yes
ಅಂಡಾಶಯ,,,,,,,,pouch for the testicles,,,yes
ಅಂತಃಕರಣ,,,,,,,,"conscience, compassion",,,yes
ಅಂತಃಕಲಹ,,"ಒಳಜಗಳ, ಬದ್ಧದ್ವೇಷ, ವೈಷಮ್ಯ",,,,,,feud,,,yes
ಅಂತಃಪುರ,,,,,,,,harem,,,yes
ಅಂತಃಸಾಕ್ಷಿ,,"ಆತ್ಮಸಾಕ್ಷಿ , ಮನಃಸಾಕ್ಷಿ",,,,,,conscience,,,yes
ಅಂತರ,,"ಭೇದ, ವ್ಯತ್ಯಾಸ",,,,,,"distance, difference, inter",,,yes
ಅಂತರಂಗ ಮಂಡಲಿ,,ರಹಸ್ಯಕೂಟ,,,,,,coterie,,,yes
ಅಂತರ ಕಾಲೇಜು,,,,,,,,inter college,,,yes
ಅಂತರ ಪಣನ,,,,,,,,arbitrage,,,yes
ಅಂತರ ರಾಜ್ಯ,,,,,,,,inter state,,,yes
ಅಂತರ ರಾಜ್ಯ ವಾಣಿಜ್ಯ,,,,,,,,inter state commerce,,,yes
ಅಂತರ ರಾಜ್ಯ ವ್ಯಾಪಾರ,,,,,,,,inter state trade,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ,,,,,,,,international,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ ಒಡಂಬಡಿಕೆ,,,,,,,,inter national convention,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ ಒಪ್ಪಂದ,,,,,,,,international agreement,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ ಕಾನೂನು,,,,,,,,international law,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ ಮಧ್ಯಸ್ಥಿಕೆ,,,,,,,,international arbitration,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ ವಾಣಿಜ್ಯ,,,,,,,,international commerce,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ ವಿಮಾನ ಸಾಗಣೆ,,,,,,,,international carriage by air,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ ವ್ಯಾಪಾರ,,,,,,,,international trade,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ ಸಂಘಟನೆ,,,,,,,,international organisation,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ ಸಂಸ್ಥೆ,,,,,,,,international organisation,,,yes
ಅಂತರ ರಾಷ್ಟ್ರೀಯ ಹಣಕಾಸು ನಿಧಿ,,,,,,,,international monetary fund,,,yes
ಅಂತರ ವಿವಾಹ,,,,,,,,inter marriage,,,yes
ಅಂತರಿಕ್ಷ,,,,,,,,aerial,,,yes
ಅಂತರಿಕ್ಷ ಪರಿಶೀಲನೆ,,ಆಕಾಶ ಸಮೀಕ್ಷೆ,,,,,,aerial survey,,,yes
ಅಂತರಿಕ್ಷ ಸಮೀಕ್ಷೆ,,,,,,,,aerial survey,,,yes
ಅಂತರಿಮ,,ಮಧ್ಯಕಾಲೀನ,,,,,,interim,,,yes
ಅಂತರ್ಗತ,,ಸ್ವತಃಸಿದ್ಧ,,,,,,inherent,,,yes
ಅಂತರ್ಜಲ,,,,,,,,ground water,,,yes
ಅಂತರ್ಜಲ ಅನ್ವೇಷಣೆ,,,,,,,,ground water exploration,,,yes
ಅಂತರ್ಜಾತೀಯ,,,,,,,,inter caste,,,yes
ಅಂತರ್ಜಾತೀಯ ವಿವಾಹ,,,,,,,,inter caste marriage,,,yes
ಅಂತರ್ದೇಶೀಯ,,ಒಳನಾಡಿನ,,,,,,inland,,,yes
ಅಂತರ್ದೇಶೀಯ ಜಲಕ್ಷೇತ್ರ,,,,,,,,inland waters,,,yes
ಅಂತರ್ದೇಶೀಯ ಜಲಮಾರ್ಗಗಳು,,ಒಳನಾಡು ಜಲಮಾರ್ಗಗಳು,,,,,,inland waterways,,,yes
ಅಂತರ್ದೇಶೀಯ ಜಲಸಾರಿಗೆ ಸಂಸ್ಥೆ,,,,,,,,inland water transport establishment,,,yes
ಅಂತರ್ದೇಶೀಯ ಪತ್ರ,,,,,,,,inland letter,,,yes
ಅಂತರ್ದೇಶೀಯ ಮೀನುಗಾರಿಕೆ,,,,,,,,inland fisheries,,,yes
ಅಂತರ್ದೃಷ್ಟಿ,,,,,,,,insight,,,yes
ಅಂತರ್ನಿಹಿತ,,,,,,,,underlying,,,yes
ಅಂತರ್ಮುಖಿ,,,,,,,,introvert,,,yes
ಅಂತರ್ಯುದ್ಧ,,ಯಾದವೀ ಕಲಹ,,,,,,civil war,,,yes
ಅಂತಿಮ,,,,,,,,"final, last, ultimate",,,yes
ಅಂತಿಮ ಆದೇಶ,,,,,,,,final order,,,yes
ಅಂತಿಮ ಇತ್ಯರ್ಥ,,ಅಂತಿಮ ವಿಲೇವಾರಿ,,,,,,final disposal,,,yes
ಅಂತಿಮ ಉತ್ಪನ್ನ,,,,,,,,final product,,,yes
ಅಂತಿಮ ಗಡುವು,,,,,,,,ultimatum,,,yes
ಅಂತಿಮ ತಾರೀಖು,,,,,,,,closing date,,,yes
ಅಂತಿಮ ತೀರ್ಪು,,,,,,,,"definitive judgement, final judgement",,,yes
ಅಂತಿಮ ದಾಖಲೆ,,,,,,,,closing entry,,,yes
ಅಂತಿಮ ಪರೀಕ್ಷೆ,,,,,,,,final test,,,yes
ಅಂತಿಮ ವಿಚಾರಣೆ,,,,,,,,"final hearing, final enquiry",,,yes
ಅಂತಿಮ ವಿಲೇವಾರಿ,,ಅಂತಿಮ ಇತ್ಯರ್ಥ,,,,,,final disposal,,,yes
ಅಂತಿಮ ವೇತನ ಪತ್ರ,,,,,,,,last pay certificate,,,yes
ಅಂತಿಮ ಶಿಲ್ಕು,,,,,,,,closing balance,,,yes
ಅಂತಿಮ ಸೂಚನೆ,,,,,,,,ultimatum,,,yes
ಅಂತ್ಯ,,ಕೊನೆ,,,,,,"end, termination",,,yes
ಅಂತ್ಯಕ್ರಿಯೆ,,,,,,,,funeral rite,,,yes
ಅಂತ್ಯದ ಶಿಲ್ಕು,,ಕೊನೆಯ ಶಿಲ್ಕು,,,,,,closing balance,,,yes
ಅಂದಾಜು,,ಸರಿಸುಮಾರು,,,,,,"estimate, approximate",,,yes
ಅಂದಾಜು ಆದಾಯಗಳು,,,,,,,,estimated receipts,,,yes
ಅಂದಾಜು ಕಳೆತ,,,,,,,,estimated tare,,,yes
ಅಂದಾಜು ಬೆಲೆ,,,,,,,,estimated cost,,,yes
ಅಂದಾಜು ಮಾಡು,,ಬೆಲೆಕಟ್ಟು,,,,,,appraise,,,yes
ಅಂದಾಜು ಮೌಲ್ಯ,,,,,,,,estimated value,,,yes
ಅಂದಾಜು ವೆಚ್ಚ,,,,,,,,estimated cost,,,yes
ಅಂದಾಜು ಸಮಿತಿ,,,,,,,,estimation committee,,,yes
ಅಂದಾಜು ಹೊಣೆ,,,,,,,,estimated liability,,,yes
ಅಂಧ,,ಕುರುಡ,,,,,,blind,,,yes
ಅಂಧ ಶ್ರದ್ಧೆ,,,,,,,,"dogma, superstition",,,yes
ಅಂಬಾರಿ,,ಹೌದಾ,,,,,,howdah,,,yes
ಅಂಬಿಗ,,,,,,,,ferryman,,,yes
ಅಂಶ,,ಬಾಬು,,,,,,item,,,yes
ಅಂಶ,,"ಭಾಗ, ವಿಷಯ",,,,,,"fraction, portion, part, factor",,,yes
ಅಂಶಕಾಲಿಕ,,ಒಪ್ಪೊತ್ತಿನ,,,,,,part-time,,,yes
ಅಂಶದಾನ,,,,,,,,contribution,,,yes
ಅಂಶದಾಯ ಭವಿಷ್ಯನಿಧಿ,,,,,,,,contributory provident fund,,,yes
ಅಕರ್ಮಕ,,,,,,,,intransitive,,,yes
ಅಕಸ್ಮಾತ್,,,,,,,,accidentally,,,yes
ಅಕಾಡೆಮಿ,,ವಿದ್ವನ್ಮಂಡಲಿ,,,,,,academy,,,yes
ಅಕಾರಣ,,,,,,,,causeless,,,yes
ಅಕಾರಾದಿ ಕ್ರಮ,,,,,,,,alphabetical order,,,yes
ಅಕಾಲ,,,,,,,,"premature, untimely",,,yes
ಅಕಾಲ ಪ್ರಸೂತ,,,,,,,,abortus,,,yes
ಅಕಾಲಿಕ ಮರಣ,,,,,,,,premature death,,,yes
ಅಕೃತತೆ,,,,,,,,nullify,,,yes
ಅಕ್ಕಸಾಲಿಗ,,,,,,,,goldsmith,,,yes
ಅಕ್ಕಿ,,,,,,,,rice,,,yes
ಅಕ್ರಮ,,ಅನಿಯಮಿತ,,,,,,"illegitimate, wrongful, irregular",,,yes
ಅಕ್ರಮ ಅಡ್ಡಿ,,,,,,,,wrongful obstruction,,,yes
ಅಕ್ರಮ ಕೂಟ,,,,,,,,rout,,,yes
ಅಕ್ರಮ ಕೃತ್ಯ,,,,,,,,wrongful act,,,yes
ಅಕ್ರಮ ಖರೀದಿ,,,,,,,,wrongful purchase,,,yes
ಅಕ್ರಮತೆ,,ನಿಯಮ ಬಾಹಿರತೆ,,,,,,irregularity,,,yes
ಅಕ್ರಮ ನಷ್ಟ,,,,,,,,wrongful loss,,,yes
ಅಕ್ರಮ ನಿಗ್ರಹ,,ಅಕ್ರಮ ನಿರ್ಬಂಧ,,,,,,wrongful restraint,,,yes
ಅಕ್ರಮ ಪ್ರವೇಶ,,"ಅತಿಕ್ರಮಣ, ಅತಿಕ್ರಮ ಪ್ರವೇಶ",,,,,,"encroachment, trespass",,,yes
ಅಕ್ರಮ ಬಂಧನ,,,,,,,,wrongful confinement,,,yes
ಅಕ್ರಮ ಲಾಭ,,,,,,,,wrongful gain,,,yes
ಅಕ್ರಮ ವಜಾ,,,,,,,,wrongful dismissal,,,yes
ಅಕ್ರಮ ವಿನಿಯೋಗ,,"ಹಣದ ದುರುಪಯೋಗ, ದುರುಪಯೋಗ",,,,,,defalcation,,,yes
ಅಕ್ರಮ ವ್ಯಾಪಾರ,,,,,,,,illicit trade,,,yes
ಅಕ್ರಮ ಸಂಗ್ರಹಣೆ,,,,,,,,hoarding,,,yes
ಅಕ್ಷ,,,,,,,,axis,,,yes
ಅಕ್ಷಮತೆ,,,,,,,,incompetency,,,yes
ಅಕ್ಷರ,,"ವರ್ಣ, ಲಿಪಿ",,,,,,letter,,,yes
ಅಕ್ಷರ ಮಾಲೆ,,,,,,,,alphabet,,,yes
ಅಕ್ಷರ ಸೇನೆ,,,,,,,,"aksharasena, adult literacy workers",,,yes
ಅಕ್ಷರಾನುಕ್ರಮ,,,,,,,,alphabetical order,,,yes
ಅಕ್ಷಾಂಶ,,,,,,,,latitude,,,yes
ಅಖಂಡ,,,,,,,,"entire, whole",,,yes
ಅಖನಿಜೀಕರಣ,,,,,,,,demineralisation,,,yes
ಅಖಾಡ,,,,,,,,arena,,,yes
