ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abbreviation,,ಸಂಕ್ಷಿಪ್ತ ರೂಪ; ಸಂಕ್ಷೇಪ,,,,,,ನಾಮವಾಚಕ,
,,Abolish,,ರದ್ದುಮಾಡು,,,,,,ಧಾತು,
,,Abolition,,ರದ್ದು ಮಾಡುವುದು; ರದ್ದು; ರದ್ದತಿ,,,,,,ನಾಮವಾಚಕ,
,,Abridge,,"ಕುಗ್ಗಿಸು, ಸಂಕ್ಷೇಪಿಸು, ಸಂಗ್ರಹಿಸು",,,,,,ಧಾತು,
,,"Abridgement, Abridgment",,ಕಡಮೆ ಮಾಡುವುದು; ಸಂಗ್ರಹ,,,,,,ನಾಮವಾಚಕ,
,,Abrogate,,"ರದ್ದುಗೊಳಿಸು, ರದ್ದು ಮಾಡು",,,,,,ಧಾತು,
,,Accident,,"ಆಕಸ್ಮಿಕ, ಅಪಘಾತ",,,,,,ನಾಮವಾಚಕ,
,,Account,,"ಲೆಕ್ಕಮಾಡು, ಎಣಿಸು, ಗಣಿಸು",,,,,,ಧಾತು,
,,Account,,"1. ಎಣಿಕೆ, ಗಣನೆ, ಲೆಕ್ಕ 2. ಹೇಳಿಕೆ, ವಿವರಣೆ",,,,,,ನಾಮವಾಚಕ,
,,Account for,,"ಲೆಕ್ಕ ಕೊಡು, ಸಮಾಧಾನ ಹೇಳು, ಕಾರಣವಾಗಿರು",,,,,,,
