ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,(be) up in arms,ಎದುರುಬೀಳು,,,,,,,,,
,a biller pill,ಕಹಿ ಗುಳಿಗೆ,,,,,,,,,
,a common purse,ಸಾರ್ವಜನಿಕ ನಿಧಿ,,,,,,,,,
,a cry in the wilderness,ಅರಣ್ಯರೋದನ,,,,,,,,,
,a deep-seated disease,"ದೀರ್ಘ ರೋಗ, ಆಳವಾಗಿ ಬೇರೂರಿರುವ ರೋಗ",,,,,,,,,
,a hard nut to crack,"ಕಠಿಣ ಸಮಸ್ಯೆ, ಸುಲಭವಾಗಿ ಒಪ್ಪದ ಮನುಷ್ಯ",,,,,,,,,
,a heavy toll of life,"ಬಹುವಾಗಿ ಪ್ರಾಣನಷ್ಟ, ಭಾರಿ ಪ್ರಮಾಣದ ಪ್ರಾಣಹಾನಿ",,,,,,,,,
,a man of substance,"ಧನಿಕ, ಸಿರಿವಂತ, ಐಶ್ವರ್‍ಯವಂತ, ಗಟ್ಟಿ ಕುಳ",,,,,,,,,
,a peg to hang (discussion),"ವಿವಾದ ವಿಷಯ, ಚರ್ಚೆಗೆ ಒಂದು ಸಂದರ್ಭ, ನೆಪ, ವಿಷಯ",,,,,,,,,
,a pretty penny,"ಹೆಚ್ಚು ಹಣ, ಸಾಕಷ್ಟು ಧನ, ತಕ್ಕಮಟ್ಟಿನ ಹಣ, ಸುಮಾರು ಹಣ",,,,,,,,,
,a sure shot,"ಗುರಿಕಾರ, ಗುರಿದಾರ, ತಪ್ಪದ ಗುರಿಕಾರ",,,adjective,,,,,,
,Abandon,"ತ್ಯಜಿಸು, ತ್ಯಾಗಮಾಡು, ವರ್ಜಿಸು, ಕೈಬಿಡು",,,verb,,,,,,
,Abandonment,"ತ್ಯಾಗ, ಬಿಡುವಿಕೆ, ಪರಿತ್ಯಾಗ, ಬಿಟ್ಟುಕೊಡುವಿಕೆ",,,noun,,,,,,
,Abase,"ಅವಮಾನಪಡಿಸು, ತೆಗಳು, ನಿಂದಿಸು, ಹೀಯಾಳಿಸು",,,verb,,,,,,
,Abasement,ಹೀನಾಯ,,,noun,,,,,,
,Abate,"ಕುಂದು, ಕುಗ್ಗು, ಕಡಿಮೆಯಾಗು, ಕಡಿಮೆಮಾಡು, ಕುಗ್ಗಿಸು",,,verb,,,,,,
,Abatement,"ಕುಗ್ಗುವಿಕೆ, ಕಡಿಮೆಯಾಗುವಿಕೆ, ಉಪಶಮನ",,,noun,,,,,,
,Abattoir,ಕಸಾಯಿಖಾನೆ,,,noun,,,,,,
,Abbreviate,"ಸಂಕ್ಷೇಪಿಸು, ಕಿರಿದಾಗಿಸು",,,verb,,,,,,
,Abbreviation,"ಸಂಕ್ಷೇಪ, ಸಂಕ್ಷಿಪ್ತ",,,noun,,,,,,
,Abdicate,"ಅಧಿಕಾರವನ್ನು ತ್ಯಜಿಸು, ಹಕ್ಕನ್ನು ಬಿಟ್ಟುಕೊಡು",,,verb,,,,,,
,Abdication,"ಅಧಿಕಾರ ತ್ಯಾಗ, ಹಕ್ಕಿನ ತ್ಯಾಗ",,,noun,,,,,,
,Abdomen,"ಹೊಟ್ಟೆ, ಉದರ",,,noun,,,,,,
,Abdominal,ಉದರಕ್ಕೆ ಸಂಬಂಧಿಸಿದ,,,adjective,,,,,,
,Abduct,"ಅಪಹರಿಸು, ಎತ್ತಿಹಾಕು, ಎತ್ತಿಕೊಂಡು ಹೋಗು",,,verb,,,,,,
,Abduction,"ಅಪಹರಣ, ಎತ್ತಿಹಾಕುವುದು",,,noun,,,,,,
,Abductor,"ಅಪಹಾರಕ, ಅಪಹರಣಕಾರ",,,noun,,,,,,
,Aberrant,"ದಾರಿತಪ್ಪುವ, ಬುದ್ಧಿ ಭ್ರಮಣೆಯಾದ",,,adjective,,,,,,
,Aberration,"ದಾರಿತಪ್ಪಿದುದು, ಮಾರ್ಗ ತಪ್ಪಿದುದು, ದಾರಿ ತಪ್ಪಿದ್ದು",,,noun,,,,,,
,Abet,"ಕೆಡುಕಿಗೆ ಉತ್ತೇಜನ ನೀಡು, ಕುಮ್ಮಕ್ಕು ಕೊಡು",,,verb,,,,,,
,Abetment,"ದುಷ್ಪ್ರೇರಣೆ, ಕೆಟ್ಟಕಾರ್ಯಕ್ಕೆ ಪ್ರೋತ್ಸಾಹಕ, ಕೆಡುಕಿಗೆ ಉತ್ತೇಜನ ನೀಡುವವನು, ಕುಮ್ಮಕ್ಕು ಕೊಡುವವನು",,,noun,,,,,,
,Abeyance,"ತಡೆಹಿಡಿಯುವಿಕೆ, ತಹಕೂಪು",,,noun,,,,,,
,Abhor,"ತಿರಸ್ಕರಿಸು, ದೂರಮಾಡು, ದೂರವಿಡು",,,verb,,,,,,
,Abhorrence,ತಿರಸ್ಕಾರ,,,noun,,,,,,
,Abhorrent,"ತಿರಸ್ಕೃತ, ಅಂಗೀಕಾರವಾಗದ",,,adjective,,,,,,
,Abide,"ಒಪ್ಪಿನಡೆ, ಸ್ವೀಕರಿಸು, ಅನುಸರಿಸು, ಪಾಲಿಸು, ಸ್ಥಿರವಾಗಿರು, ನೆಲಸು",,,verb,,,,,,
,Abiding,"ಅನುಸರಿಸುವಿಕೆ, ಒಪ್ಪಿನಡೆಯುವಿಕೆ, ಅನುವರ್ತಿಸುವಿಕೆ",,,noun,,,,,,
,Abiding conviction,"ದೃಢ ವಿಶ್ವಾಸ, ಅಚಲ ವಿಶ್ವಾಸ, ಶಾಶ್ವತ ನಂಬಿಕೆ",,,verb,,,,,,
,Abject,"ನಿಕೃಷ್ಟವಾದ, ಕ್ಷುದ್ರ, ಹೀನ, ತುಚ್ಛ",,,adjective,,,,,,
,Abjuration,"ಆಣೆ, ಪ್ರಮಾಣಪೂರ್ವಕ ನಿರಾಕರಣೆ",,,noun,,,,,,
,Ablaze,"ಉರಿಗೊಳಗಾದ, ಬೆಂಕಿಬಿದ್ದ",,,adjective,,,,,,
,Ablution,"1. ಪವಿತ್ರ ಸ್ನಾನ, ಶೌಚ, ಶೌಚಾಚಾರ 2. ಸಂಪ್ರೋಕ್ಷಣೆ",,,noun,,,,,,
,Abnegation,1. ಭೋಗತ್ಯಾಗ 2. ಹಕ್ಕುತ್ಯಾಗ,,,noun,,,,,,
,Abnormal,"ಅಸ್ವಾಭಾವಿಕ, ಅಸಹಜ, ವಿಕೃತ",,,adjective,,,,,,
