ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Accuracy,,ನಿಷ್ಕೃಷ್ಟತೆ,,,,,,,
,,Ad hoc Survey,,ತದರ್ಥ ಸಮೀಕ್ಷೆ,,,,,,,
,,Age at death,,ಮರಣ ಕಾಲದ ವಯಸ್ಸು,,,,,,,
,,Age at marriage,,ವಿವಾಹ ಕಾಲದ ವಯಸ್ಸು,,,,,,,
,,Age-group,,ವಯೋವರ್ಗ,,,,,,,
,,Agricultural Wages,,ಬೇಸಾಯ ಕೂಲಿ,,,,,,,
,,Annexures,,ಅನುಬಂಧ,,,,,,,
,,Annual Administration Report,,ವಾರ್ಷಿಕ ಆಡಳಿತ ವರದಿ,,,,,,,
,,Appendix,,ಪರಿಶಿಷ್ಟ,,,,,,,
,,Area Sampling,,ಕ್ಷೇತ್ರ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Area sown more than once,,ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ಸಲ ಬಿತ್ತನೆಯಾದ ಪ್ರದೇಶ,,,,,,,
,,Arithmetic Mean,,ಕಲನ ಮಧ್ಯಕ,,,,,,,
,,Assessment Survey,,ನಿರ್ಧಾರಣ ಸಮೀಕ್ಷೆ,,,,,,,
,,Average,,ಸರಾಸರಿ (ಮಾದ್ಯ),,,,,,,
,,Average Yield,,ಸರಾಸರಿ ಇಳುವರಿ,,,,,,,
,,Bar Chart,,ಪಟ್ಟಿ ನಕ್ಷೆ,,,,,,,
,,Barren and Uncultivable Land,,ಬಂಜರು ಮತ್ತು ಸಾಗುವಳಿ ಸಾಧ್ಯವಲ್ಲದ ಭೂಮಿ,,,,,,,
,,Base Period,,ಆಧಾರ ಕಾಲ,,,,,,,
,,Base Year,,ಮೂಲ ವರ್ಷ,,,,,,,
,,Bell-shaped Curve,,ಘಂಟಾಕೃತಿ ರೇಖೆ (ವಕ್ರ ರೇಖೆ),,,,,,,
,,Benchmark Survey or Base Line-Survey,,ಮೂಲ ಪರಿಸ್ಥಿತಿ ಸಮೀಕ್ಷೆ,,,,,,,
,,Bias,,ಪಕ್ಷಪಾತ,,,,,,,
,,Birth Certificate,,ಜನನ ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,
,,Birth rate,,ಜನನ ಪ್ರಮಾಣ (ಜನನ ದರ),,,,,,,
,,Calculation,,"ಗಣನೆ, ಲೆಕ್ಕಾಚಾರ",,,,,,,
,,Category,,ಪ್ರವರ್ಗ,,,,,,,
,,Census,,ಗಣತಿ,,,,,,,
,,Census Blocks (areas),,ಗಣತಿ ಕ್ಷೇತ್ರಗಳು,,,,,,,
,,Cent percent,,"ನೂರಕ್ಕೆ ನೂರು, ಪೂರ್ಣ",,,,,,,
,,Central Tendency,,ಕೇಂದ್ರೀಯ ಪ್ರವೃತ್ತಿ,,,,,,,
,,Centrally Sponsored Scheme,,ಕೇಂದ್ರ ಪುರಸ್ಕೃತ ಕಾರ್ಯ,,,,,,,
,,Child Birth Index,,ಶಿಶು ಜನನ ಸೂಚ್ಯಂಕ,,,,,,,
,,Circular Chart,,ವೃತ್ತ ನಕ್ಷೆ,,,,,,,
,,Circular Cut,,ದುಂಡು ಕಟಾವು (ವೃತ್ತ ಕಟಾವು),,,,,,,
,,Class,,ವರ್ಗ,,,,,,,
,,Class Interval,,ವರ್ಗಾಂತರ,,,,,,,
,,Classification,,ವರ್ಗೀಕರಣ,,,,,,,
,,Cluster,,ಸಮೂಹ,,,,,,,
,,Cluster Sampling,,ಸಮೂಹ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Co-efficient of Variation,,ವಿಚರಣ ಗುಣಾಂಕ,,,,,,,
,,Completed Years at Confinement,,ಪ್ರಸವದಂದು ತುಂಬಿದ ವರ್ಷಗಳು,,,,,,,
,,Computer,,"ಕಂಪ್ಯೂಟರ್‌, ಗಣಕ",,,,,,,
,,Consumer Price Index,,ಗ್ರಾಹಕ ಬೆಲೆ ಸೂಚಕ,,,,,,,
,,Control Area,,ನಿಯಂತ್ರಣ ಕ್ಷೇತ್ರ,,,,,,,
,,Correlation,,ಪರಸ್ಪರ ಸಂಬಂಧ; ಸಹ ಸಂಬಂಧ,,,,,,,
,,Correlation Coefficient,,ಸಂಬಂಧ ಗುಣಕ,,,,,,,
,,Cost of living,,ಜೀವನ ವೆಚ್ಚ,,,,,,,
,,Coverage,,ವ್ಯಾಪ್ತಿ,,,,,,,
,,Crop Condition,,ಬೆಳೆ ಸ್ಥಿತಿ,,,,,,,
,,Cultural Waste,,ಸಾಗುವಳಿ ಯೋಗ್ಯ ಬೀಳು ಭೂಮಿ,,,,,,,
,,Current Fallows,,"ಚಾಲೂ ಬೀಳು ಭೂಮಿ, ಪ್ರಸ್ತುತ ಬೀಳು ಭೂಮಿ",,,,,,,
,,Current Year,,"ಪ್ರಸ್ತುತ ವರ್ಷ, ಚಾಲೂ ವರ್ಷ",,,,,,,
,,Curve,,ವಕ್ರರೇಖೆ,,,,,,,
,,Curve Fitting,,"ವಕ್ರ ಸಜ್ಜು, ವಕ್ರರೇಖೆ ಹೊಂದಾಣಿಕೆ",,,,,,,
,,Cycle,,ಆವರ್ತ,,,,,,,
,,Cyclic Series,,ಆವರ್ತಶ್ರೇಣಿ,,,,,,,
,,Daily Report,,ದೈನಿಕ ವರದಿ,,,,,,,
,,Data,,ಆಧಾರಾಂಶ (ಅಂಕಿಅಂಶ),,,,,,,
,,Death Certificate,,ಮರಣ ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,
,,Death Rate,,ಮರಣ ಪ್ರಮಾಣ,,,,,,,
,,Deceased,,ಮೃತ,,,,,,,
,,Defective Sample,,ಸದೋಷ ಮಾದರಿ,,,,,,,
,,Direct Proportion,,ಅನುಲೋಮ ಅನುಪಾತ,,,,,,,
,,Direct Sampling,,ಪ್ರತ್ಯಕ್ಷ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Dispersion,,ಚದರಿಕೆ,,,,,,,
,,District Statistical Office,,ಜಿಲ್ಲಾ ಸಾಂಖ್ಯಿಕ ಕಾರ್ಯಾಲಯ,,,,,,,
,,District Statistical Officer,,ಜಿಲ್ಲಾ ಸಾಂಖ್ಯಿಕ ಅಧಿಕಾರಿ,,,,,,,
,,Deviate,,ವಿಚಲಿಸು,,,,,,,
,,Deviation,,ವಿಚಲನೆ,,,,,,,
,,Double Sampling,,ದ್ವಿಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Downward Trend,,ಇಳಿತ ಪ್ರವೃತ್ತಿ,,,,,,,
,,Driage experiment,,ಒಣಗಿಸುವ ಪ್ರಯೋಗ,,,,,,,
,,Enumerator,,ಎಣಿಕೆಗಾರ,,,,,,,
,,Equation,,ಸಮೀಕರಣ,,,,,,,
,,Error,,ದೋಷ,,,,,,,
,,Error of Estimation,,ಅಂದಾಜು ಗಣನಾ ದೋಷ,,,,,,,
,,Estimate,,ಅಂದಾಜು,,,,,,,
,,Estimation,,ಅಂದಾಜು ಗಣನೆ,,,,,,,
,,Estimator,,ಅಂದಾಜು ಗಣಕ,,,,,,,
,,Expectation,,ನಿರೀಕ್ಷೆ,,,,,,,
,,Farm Harvest Prices,,ಕೊಯ್ಲು ಕಾಲದ ಬೆಲೆಗಳು,,,,,,,
,,Fertility Rate,,ಗರ್ಭಧಾರಣ ಪ್ರಮಾಣ,,,,,,,
,,Fifth Forecast,,ಪಂಚಮ ಮುನ್ಸೂಚನೆ,,,,,,,
,,Final Estimates,,ಅಂತಿಮ ಅಂದಾಜು,,,,,,,
,,Final Forecast,,ಅಂತಿಮ ಮುನ್ಸೂಚನೆ,,,,,,,
