ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abrasive,,"ಅಪಘರ್ಷಕ : 1. ಚರ್ಮ ಮೊ.ವನ್ನು ತರಚುವ / ಉಜ್ಜಿ ಹಾಕುವ 2. ಉಜ್ಜಿಸವೆಸಬಲ್ಲ / ಅರೆದುಹಾಕಬಲ್ಲ ಸಾಣೆಕಲ್ಲು, ರುಬ್ಬುಗುಂಡು ಮೊ.ವಸ್ತು",,,,,,,
,,Acceleration,,"ವೇಗೋತ್ಕರ್ಷ; ಕೈಗಾರಿಕೆಗಳ ಯಾವುದೇ ಉತ್ಪನ್ನಕ್ಕೆ ಬೇಡಿಕೆ ಹೆಚ್ಚಾದರೆ, ಅದರ ಉತ್ಪಾದನೆಗೆ ಬೇಕಾಗುವ ಬಂಡವಾಳ ಸರಕುಗಳಿಗೆ ಬೇಡಿಕೆ ಅದಕ್ಕೆ ಅನುಗುಣವಾಗಿ ಹೆಚ್ಚುವುದು",,,,,,,
,,Accessory,,ಉಪಸಾಧನ; ಉಪಸಾಮಗ್ರಿ,,,,,,,
,,Accounts officer,,ಲೆಕ್ಕಾಧಿಕಾರಿ; ಲೇಖಾಧಿಕಾರಿ,,,,,,,
,,Accumulated loss,,ಸಂಚಿತ ನಷ್ಟ; ಹಿಂದಿನಿಂದ ಒಟ್ಟುಗೂಡಿದ ನಷ್ಟ,,,,,,,
,,Acid dye,,ಆಮ್ಲೀಯ ರಂಗು; ಬಟ್ಟೆ ಮೊ.ಗಳಿಗೆ ಬಣ್ಣಹಾಕಲು ಬಳಸುವ ಆಮ್ಲಗುಣದ ರಂಗು,,,,,,,
,,A.c.motor (alternating current motor),,ಪ.ವಿ. ಚಾಲಿತ ಯಂತ್ರ (ಪರ್ಯಾಯ ವಿದ್ಯುತ್‌. ಚಾಲಿತ ಯಂತ್ರ),,,,,,,
,,Action plan,,ಕ್ರಿಯಾಯೋಜನೆ,,,,,,,
,,Actual production,,ವಾಸ್ತವಿಕ ಉತ್ಪಾದನೆ,,,,,,,
,,Actual users,,ವಾಸ್ತವಿಕ ಬಳಕೆದಾರರು,,,,,,,
,,Actual user certificate,,ವಾಸ್ತವಿಕ ಬಳಕೆದಾರರ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Additional security,,ಹೆಚ್ಚಿನ ಆಧಾರ / ಭದ್ರತೆ,,,,,,,
,,Adequate supply,,ಸಾಕಷ್ಟು ಸರಬರಾಜು / ಪೂರೈಕೆ,,,,,,,
,,Ad hoc,,ಆಯಡ್‌ಹಾಕ್‌; ತತ್ಪೂರ್ತ; ತದರ್ಥ,,,,,,,
,,Ad hoc survey,,ಆಡ್‌ಹಾಕ್‌ ಸರ್ವೇ; ತತ್ಪೂರ್ತ ಸಮೀಕ್ಷೆ,,,,,,,
,,Ad interim,,ಮಧ್ಯಕಾಲೀನ,,,,,,,
,,Adjustable joint,,ಹೊಂದಿಕೊಳ್ಳಬಲ್ಲ ಕೀಲು,,,,,,,
,,Administrative officer,,ಆಡಳಿತಾಧಿಕಾರಿ,,,,,,,
,,Administrator,,ಆಡಳಿತಗಾರ,,,,,,,
,,Ad valorem,,ಮೌಲ್ಯಾನುಸಾರ,,,,,,,
,,Advance quota,,ಮುಂಗಡ ಕೋಟಾ,,,,,,,
,,Adverse condition,,ಪ್ರತಿಕೂಲ ಸ್ಥಿತಿ,,,,,,,
,,Adverse remarks,,ಪ್ರತಿಕೂಲ ವರದಿ / ಶರಾ,,,,,,,
,,Advertise,,1. ಜಾಹೀರಾತುಮಾಡು; ಪ್ರಕಟಣೆಗೆ ಕೊಡು 2. ಪ್ರಚಾರಮಾಡು,,,,,,,
,,Advertisement,,1. ಜಾಹೀರಾತು; ಪ್ರಕಟಣೆ 2. ಪ್ರಚಾರ,,,,,,,
,,Advisory board,,ಸಲಹಾ ಮಂಡಲಿ,,,,,,,
,,Advisory committee,,ಸಲಹಾ ಸಮಿತಿ,,,,,,,
,,Advisory council,,ಸಲಹಾ ಪರಿಷತ್ತು,,,,,,,
,,Aerial survey,,ಅಂತರಿಕ್ಷ ಸಮಿಕ್ಸೆ,,,,,,,
