ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abandoned area,ತೊರೆದ ಪ್ರದೇಶ,,,,,,,,,
,Abaxial,(ಎಲೆಯ) ಮೇಲ್ಭಾಗ,,,,,,,,,
,Abdomen,ಹೊಟ್ಟೆ; ಉದರ,,,,,,,,,
,Aberration,"ಅಪಸರಣ; ಮೂಲರೂಪ, ಗುಣ ಮೊ. ಗಳಲ್ಲಿ ಉಂಟಾಗುವ ಬದಲಾವಣೆ",,,,,,,,,
,Abiogenesis,ಅಜೀವಿಜನನ; ನಿರ್ಜೀವ ವಸ್ತುವಿನಿಂದ ಜೀವವಸ್ತುಜನನ,,,,,,,,,
,Abiotic,ಅಜೈವಿಕ; ಅಜೀವ ಲಕ್ಷಣಗಳುಳ್ಳ,,,,,,,,,
,Abnormal-profile,ಅಸಾಧಾರಣ ರೂಪರೇಷೆ,,,,,,,,,
,Aborigines,1. ಮೂಲನಿವಾಸಿಗಳು; ಆದಿವಾಸಿಗಳು 2. ಮೂಲಸಸ್ಯಗಳು / ಪ್ರಾಣಿಗಳು,,,,,,,,,
,Abortive,1. ಅಕಾಲಿಕ; ಕಾಲಕ್ಕೆ ಮುಂಚೆ ಹುಟ್ಟುವ 2. ಅಪೂರ್ಣಾವಸ್ಥೆಯ; ಕುಂಠಿತ ಬೆಳವಣಿಗೆಯ,,,,,,,,,
,Abrasion,1. ಉಜ್ಜುಗಾಯ 2. ಸವೆತ,,,,,,,,,
,Abrasive,ಉಜ್ಜುಗುಣವುಳ್ಳ,,,,,,,,,
,Abscisic acid,ಅಬ್ಸಿಸಿಕ್‌ ಆಮ್ಲ,,,,,,,,,
,Abscission,"(ಗಿಡದಿಂದ ಹೂವು, ಹಣ್ಣು, ಎಲೆಗಳ) ಉದುರುವಿಕೆ; ಕಳಚುವಿಕೆ; ಬೇರ್ಪಡಿಸುವಿಕೆ",,,,,,,,,
,Absciss layer,ಬೇರ್ಪಡಿಸುವ ಪೊರೆ,,,,,,,,,
,Absolute,ಸಂಪೂರ್ಣ,,,,,,,,,
,Absolute humidity,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ; ತುಂಬು ತೇವಾಂಶ,,,,,,,,,
,Absolute temperture,ಪರಮೋಷ್ಣತೆ,,,,,,,,,
,Absolute water requirement,ನೀರಿನ ಪರಮಾಗತ್ಯ,,,,,,,,,
,Absorb,ಹೀರಿಕೊಳ್ಳು,,,,,,,,,
