ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Act,,"ನಟಿಸು, ಅಭಿನಯಿಸು",,,,,,,
,,Acting,,"ಅಭಿನಯ, ಅಭಿನಯಿಸುವುದು",,,,,,,
,,Action,,ಅಭಿನಯ : ಕ್ರಿಯೆ,,,,,,,
,,Actor,,ನಟ,,,,,,,
,,Actress,,ನಟಿ,,,,,,,
,,Actual,,ವಾಸ್ತವಿಕ,,,,,,,
,,Adaptation,,ಅಳವಡಿಕೆ,,,,,,,
,,Adept,,ನಿಪುಣ,,,,,,,
,,Adornment,,"ಶೃಂಗಾರ, ಅಲಂಕಾರ",,,,,,,
,,Advertisement,,ಜಾಹೀರಾತು,,,,,,,
