ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abattoir,,ಕಸಾಯಿ ಖಾನೆ,,,,,,,
,,Abdomen,,ಜಠರ,,,,,,,
,,Ablactation,,"ಮೊಲೆ ಬಿಡಿಸುವುದು, ಹಾಲು ತಪ್ಪಿಸುವುದು",,,,,,,
,,Abortion,,ಗರ್ಭಪಾತ,,,,,,,
,,Abortive,,"ಬೆಳವಣಿಗೆ ಮೊಟಕಾದ, ನಿಷ್ಫಲ",,,,,,,
,,Abscess,,ಕುರು,,,,,,,
,,Accident,,"ಅಪಘಾತ, ಆಕಸ್ಮಿಕ, ದುರ್ಘಟನೆ",,,,,,,
,,Acute Disease,,ತೀಕ್ಷ್ಣ ಕಾಯಿಲೆ,,,,,,,
,,Adulteration,,ಕಲಬೆರಕೆ,,,,,,,
,,African Horse Sickness,,ಆಫ್ರಿಕದ ಕುದುರೆ ರೋಗ,,,,,,,
,,Age of animals,,ಪ್ರಾಣಿಗಳ ವಯಸ್ಸು,,,,,,,
,,Agistment,,ದನ ಕಾಯುವುದು,,,,,,,
,,Agriculture Officer,,ವ್ಯವಸಾಯಾಧಿಕಾರಿ,,,,,,,
,,Albumen,,ಶಕ್ತಿಲೋಳೆ,,,,,,,
,,Alfalfa,,"ಅಲ್ಫಾಲ್ಛ, ಕುದುರೆ ಮಸಾಲೆ ಸೊಪ್ಪು",,,,,,,
,,Alimentary,,ಪೋಷಕ,,,,,,,
,,Agriculture Canal,,ಅನ್ನನಾಳ,,,,,,,
,,Allotted,,ಹಂಚಿದ,,,,,,,
,,Alternative,,"ಪರ್ಯಾಯ, ಬೇರೆ",,,,,,,
,,Ampoule,,"ಅಂಪ್ಯೋಲ್, ಗಾಜುನಳಿ",,,,,,,
,,Ampulla,,"ಪರ್ಯಾಯ, ಗಾಜುನಳಿ",,,,,,,
,,Amputation,,ವಿಸ್ತೃತ ನಾಳಾಗ್ರ,,,,,,,
,,Amritmahal Breed,,ಛೇದನ,,,,,,,
,,Anaemia,,ಅಮೃತಮಹಲ್ ತಳಿ,,,,,,,
,,Anaesthesia,,ರಕ್ತಹೀನತೆ,,,,,,,
,,Anaesthetic,,ಅರಿವಳಿಕೆಯ,,,,,,,
,,Animal Husbandry,,ಪಶುಸಂಗೋಪನ,,,,,,,
,,Animal Science,,ಪ್ರಾಣಿ ವಿಜ್ಞಾನ,,,,,,,
,,Anjan Grass,,ಅಂಜಾನ್ ಹುಲ್ಲು,,,,,,,
,,Anorexia,,ಅರುಚಿ,,,,,,,
,,Ante - Mortem Examination,,ವಧಪೂರ್ವ ಪರೀಕ್ಷೆ,,,,,,,
,,Anthrax,,ನೆರಡಿಯೋಗ,,,,,,,
,,Antibiotics,,ಪ್ರತಿಜೀವ ಪದಾರ್ಥ,,,,,,,
,,Antibody,,ಪ್ರತಿವಿಷವಸ್ತು,,,,,,,
,,Antidote,,ವಿಷಹಾರಿ,,,,,,,
,,Antigen,,ಪ್ರತಿವಿಷಜನಕ,,,,,,,
,,Anti Rabic Vaccine,,ನಾಯಿಹಚ್ಚು ನಿರೋಧಕ ಲಸಿಕೆ,,,,,,,
,,Antiseptic,,ಪೂತಿನಾಶಕ,,,,,,,
,,Antiserum,,ಪ್ರತಿಲಸಿಕೆ,,,,,,,
,,Antitoxin,,ವಿಷಹಾರಿ,,,,,,,
,,Appetite,,"ಹಸಿವು, ರುಚಿ",,,,,,,
,,Applied Nutrition Programme,,ಅನ್ವಯಿಕ ಪೋಷಣ ಕಾರ್ಯಕ್ರಮ,,,,,,,
,,Artificial Insemination Centre,,ಕೃತಕ ಗರ್ಭದಾನ ಕೇಂದ್ರ,,,,,,,
,,Asbestos Roofing,,ಕಲ್ನಾರು ಛಾವಣಿ,,,,,,,
,,Asepsis,,ಪೂತಿರಾಹಿತ್ಯ,,,,,,,
,,Aseptic,,ವಿಷಾಣುರಹಿತ,,,,,,,
,,Asphyxia,,ಶ್ವಾಸಬಂಧನ,,,,,,,
,,Attendant Practices,,ಸಂಬಂಧಿಸಿದ ಅಭ್ಯಾಸಗಳು / ರೂಢಿಗಳು,,,,,,,
,,Autoclave,,ಉಸಿರು ಪಾತ್ರೆ,,,,,,,
,,Autopsy,,ಶವಪರೀಕ್ಷೆ,,,,,,,
,,AVitaminosis,,ಎ ಅನ್ನಾಂಗ ಕೊರತೆ,,,,,,,
,,Bacteria,,ಏಕಾಣು ಜೀವಿ,,,,,,,
,,Balanced Feed,,ಸಮತೂಕದ ಆಹಾರ,,,,,,,
,,Bandage Cloth,,ಬ್ಯಾಂಡೇಜು ಬಟ್ಟೆ,,,,,,,
,,Banian Hospital,,ಪಶುವೈದ್ಯಶಾಲೆ,,,,,,,
,,Bannur Sheep,,ಬನ್ನೂರು ಕುರಿ,,,,,,,
,,Bark,,ತೊಗಟೆ,,,,,,,
,,Barseen,,ಬರ್ಸೀನು ಸೊಪ್ಪು,,,,,,,
,,Beak,,ಕೊಕ್ಕು,,,,,,,
,,Beast,,"ಪಶು, ಮೃಗ, ದನ",,,,,,,
,,Bedsore,,ಹಾಸಿಗೆ ಮಣ್ಣು,,,,,,,
,,Beef,,ಗೋಮಾಂಸ,,,,,,,
,,Beestings,,ಗಿಣ್ಣು ಹಾಲು,,,,,,,
,,Billy - Goat,,ಹೋತ,,,,,,,
,,Biochemist,,ಜೀವರಸಾಯಜ್ಞ,,,,,,,
,,Black Cattle,,"ದನ, ಹಸು, ಎತ್ತು, ಹೋರಿ",,,,,,,
,,Black Minorca Minarea,,ಮೈನಾರ್ಕ ಜಾತಿಕೋಳಿ,,,,,,,
,,Black Quarter Disease,,ಚಪ್ಪೆರೋಗ,,,,,,,
,,Blast,,ಕುರಿವಾತ,,,,,,,
,,Bleeding,,ರಕ್ತಸ್ರಾವ,,,,,,,
,,Blister,,ಬೊಬ್ಬೆ,,,,,,,
,,Bloat,,ಉಬ್ಬರ,,,,,,,
,,Blood,,ರಕ್ತ,,,,,,,
,,Blood Transfusion,,ರಕ್ತ ಪೂರಣ,,,,,,,
,,Blue Panic Grass,,ಬ್ಲೂ ಪೇನಿಕ್ ಹುಲ್ಲು,,,,,,,
,,Boar,,"ಹಂದಿಗೂಳಿ, ಹಂದಿಗೂಳಿಯ ಮಾಂಸ",,,,,,,
,,Bone - Manure,,ಮೂಳೆ ಗೊಬ್ಬರ,,,,,,,
,,"Botts, the",,ಕುದುರೆಯ ಒಂದುರೋಗ,,,,,,,
,,Bone Meal,,ಮೂಳೆಪುಡಿ,,,,,,,
,,Bouilli,,ಬೇಯಿಸಿದ ಗೋಮಾಂಸ,,,,,,,
,,Bovine,,ದನದ,,,,,,,
