ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Absence of nomination,,ನಾಮ ನಿರ್ದೇಶನವಿಲ್ಲದಿರುವುದು,,,,,,,
,,Accepted deposit,,ಅಂಗೀಕೃತ ಠೇವಣಿ,,,,,,,
,,Accepting the advertisement,,ಜಾಹೀರಾತನ್ನು ಅಂಗೀಕರಿಸುವುದು,,,,,,,
,,Accepting the nomination,,ನಾಮ ನಿರ್ದೇಶನವನ್ನು ಅಂಗೀಕರಿಸುವುದು,,,,,,,
,,Accepting the proposals,,ಪ್ರಸ್ತಾವಗಳನ್ನು ಅಂಗೀಕರಿಸುವುದು,,,,,,,
,,Accompanying documents,,ಲಗತ್ತಿಸಿದ ದಸ್ತಾವೇಜುಗಳು,,,,,,,
,,Account payee cheque,,ಅಕೌಂಟ್‌ ಪೇಯಿ ಚೆಕ್‌; ಗ್ರಾಹಕನ ಲೆಕ್ಕಕ್ಕೆ ಜಮಾ ಮಾಡಬೇಕಾದ ಹುಂಡಿ,,,,,,,
,,Accretion,,ಹೆಚ್ಚಳ; ವೃದ್ಧಿ,,,,,,,
,,Accumulated accounts,,ಸಂಚಿತ ಖಾತೆಗಳು / ಲೆಕ್ಕಗಳು,,,,,,,
,,Accumulating funds,,"ನಿಧಿಸಂಚಯನ, ನಿಧಿಗಳನ್ನು ಸಂಗ್ರಹಿಸುವುದು",,,,,,,
,,Accumulation in the insurance/ savings fund,,ವಿಮಾ / ಉಳಿತಾಯ ನಿಧಿಗಳಲ್ಲಿ ಕೂಡಿ ಹಾಕುವುದು ಯಾ ಕೂಡಿ ಬೀಳುವುದು,,,,,,,
,,Acknowledgement of documents,,ದಸ್ತಾವೇಜುಗಳ ಸ್ವೀಕೃತಿ,,,,,,,
,,Acting regional director,,ಹಂಗಾಮಿ ಪ್ರಾದೇಶಿಕ ನಿರ್ದೇಶಕ,,,,,,,
,,Action on the scheme,,ಕಾರ್ಯ ಯೋಜನೆಯ ಮೇಲೆ ಕ್ರಮ,,,,,,,
,,Actual printing charges,,ವಾಸ್ತವಿಕ ಮುದ್ರಣ ವೆಚ್ಚಗಳು,,,,,,,
