ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abatement,"ಕಡಿಮೆಯಾಗುವಿಕೆ, ಉಡುಗುವಿಕೆ",,,,,,,,,
,Aberrant,ಅಪಸರಿತ,,,,,,,,,
,Aberration,ಅಪಸರಣ,,,,,,,,,
,Abiotic,ಅಜೈವಿಕ,,,,,,,,,
,Abiotic environment,ಅಜೈವಿಕ ಪರಿಸರ,,,,,,,,,
,Abnormal,"ಅಸ್ವಾಭಾವಿಕ, ಅಸಾಮಾನ್ಯ",,,,,,,,,
,Abort,"ಬಂಜೆ, ಗೊಡ್ಡು, ಕುರುಟು ಬೀಳು",,,,,,,,,
,Abrasive,ಘರ್ಷಕ,,,,,,,,,
,Abrus precatorius,ಗುಲಗಂಜಿ,,,,,,,,,
,Abscission,ಛೇದನ,,,,,,,,,
,Abscission layer,ಛೇದನ ಪದರ,,,,,,,,,
,Abscission of spikelet,ಕದಿರು ಹೂಗೊಂಚಲು ಛೇದನ,,,,,,,,,
,Absolute,"ಅಪ್ಪಟ, ಪೂರ್ಣ, ಶುದ್ಧ",,,,,,,,,
,Absolute accuracy,ಪರಿಪೂರ್ಣ ನಿಷ್ಕೃಷ್ಟತೆ,,,,,,,,,
,Absolute growth rate,ನಿರಪೇಕ್ಷ ಬೆಳವಣಿಗೆ ವೇಗ,,,,,,,,,
,Absolute juice,"ನಿರಾವಲಂಬ ರಸ, ನಿರಪೇಕ್ಷ ರಸ",,,,,,,,,
,Absolute water requirement,ನಿರಪೇಕ್ಷ ನೀರು ಅಗತ್ಯತೆ,,,,,,,,,
,Absorbance,ಹೀರುವ ಗುಣ,,,,,,,,,
,Absorbed water,ಹೀರಿಕೆಯಾದ ನೀರು,,,,,,,,,
,Absorbent,ಹೀರುಕ,,,,,,,,,
,Absorption,ಹೀರುವಿಕೆ,,,,,,,,,
,Absorption coefficient,ಹೀರಿಕೆ ಗುಣಕ,,,,,,,,,
,Absorption loss,ಹೀರಿಕೆ ನಷ್ಟ,,,,,,,,,
,Absorption radiation,ಹೀರಿಕೆ ವಿಕಿರಣ,,,,,,,,,
,A bullock work unit,ಒಂದು ಎತ್ತಿನ ಕಾರ್ಯಘಟಕ,,,,,,,,,
,Acacia catechu,ಕಗ್ಗಲಿ,,,,,,,,,
,Acaricide,ನುಶಿನಾಶಕ,,,,,,,,,
,Accelerated erosion,ವೇಗೋತ್ಕರ್ಷಗೊಳಿಸಿದ ಕೊಚ್ಚಣೆ,,,,,,,,,
,Accelerator,ವೇಗೋತ್ಕರ್ಷಕ,,,,,,,,,
,Accentuation,"ವೃದ್ಧಿಗೊಳಿಸುವಿಕೆ, ತೀವ್ರಗೊಳಿಸುವಿಕೆ",,,,,,,,,
,Acceptability,"ಸ್ವೀಕಾರಾರ್ಹತೆ, ಸ್ವೀಕಾರತೆ",,,,,,,,,
,Accessory cell,"ಸಹಾಯಕ ಜೀವಕೋಶ, ಅನುಷಂಗಿಕ ಜೀವಕೋಶ",,,,,,,,,
,Accessory pigments,ಅಧಿಕ ವರ್ಣದ್ರವ್ಯಗಳು,,,,,,,,,
,Access road,ಪ್ರವೇಶ ಮಾರ್ಗ,,,,,,,,,
,Accidental error,ಆಕಸ್ಮಿಕ ದೋಷ,,,,,,,,,
,Acclimation,ಹವಾಮಾನ ಹೊಂದಿಕೆ,,,,,,,,,
,Acclimatization,ಹವಾಮಾನಕ್ಕೆ ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,,,,,,,,,
,Accretion,ಅಂಗವೃದ್ಧಿ,,,,,,,,,
,Accumulate,"ಸಂಚಯಿಸು, ಸಂಗ್ರಹಿಸು",,,,,,,,,
,Accumulated or cumulative infiltration,ಸಂಚಯಿತ ಬಸಿಯುವಿಕೆ,,,,,,,,,
,Accuracy,"ಯಥಾರ್ಥತೆ, ನಿಷ್ಕೃಷ್ಟತೆ, ಖಚಿತತೆ",,,,,,,,,
,Acentric,"ಕೇಂದ್ರೀಯವಲ್ಲದ, ಕೇಂದ್ರರಹಿತ",,,,,,,,,
,Achene,ಹಣ್ಣಿನಂತೆ ತೋರುವ ಬೀಜ,,,,,,,,,
,Achras sapota,"ಚಿಕ್ಕು, ಸಪೋಟ",,,,,,,,,
,Achyranthes aspera,ಉತ್ತರಾಣ,,,,,,,,,
,Acid anhydride,ಆಮ್ಲ ಅನಾರ್ದ್ರವಸ್ತು,,,,,,,,,
,Acid base catalysis,ಆಮ್ಲ ಪ್ರತ್ಯಾಮ್ಲ ವೇಗವರ್ಧನಕ್ರಿಯೆ,,,,,,,,,
,Acid base pair,ಆಮ್ಲ ಪ್ರತ್ಯಾಮ್ಲ ಜೋಡಿ,,,,,,,,,
,Acid base titration,ಆಮ್ಲ ಪ್ರತ್ಯಾಮ್ಲ ಪ್ರಮಾಣ ಮಾಪನ,,,,,,,,,
,Acid electrolyte,ಆಮ್ಲ ವಿದ್ಯುದ್ವಿಶ್ಲೇಷ್ಯ,,,,,,,,,
,Acidfast bacteria,ಆಮ್ಲಸ್ಥಾಯಿ ಬ್ಯಾಕ್ಟೀರಿಯಾ,,,,,,,,,
,Acid fermentation,ಆಮ್ಲ ಹುದುಗುವಿಕೆ,,,,,,,,,
,Acid forming fertilizer,ಆಮ್ಲೋತ್ಪಾದಕ ರಸಗೊಬ್ಬರ,,,,,,,,,
,Acid humus,ಆಮ್ಲ ಹ್ಯೂಮಸ್,,,,,,,,,
,Acidifying,ಆಮ್ಲಿಕರಿಸುವ,,,,,,,,,
,Acidimeter,ಆಮ್ಲಮಾಪಕ,,,,,,,,,
,Acid mine drainage,ಆಮ್ಲಗಣಿ ಬಸಿಯುವಿಕೆ,,,,,,,,,
,Acidophiles,ಆಮ್ಲ ಮಣ್ಣಿನಲ್ಲಿ ಬೆಳೆಯುವ ಕಳೆಗಳು,,,,,,,,,
,Acid plant,ಆಮ್ಲಸ್ಥಾವರ,,,,,,,,,
,Acid scarification,ಆಮ್ಲ ಕರೆಮಾಡುವಿಕೆ,,,,,,,,,
,Acid soil,ಆಮ್ಲ ಮಣ್ಣು,,,,,,,,,
,Acidic,ಆಮ್ಲೀಯ,,,,,,,,,
,Acidity,ಆಮ್ಲೀಯತೆ,,,,,,,,,
,Acorn moth,ಓಕ್ ಮರದ ಪತಂಗ,,,,,,,,,
,Acorus calamus,ಬಜೆ,,,,,,,,,
,Acre,ಎಕರೆ,,,,,,,,,
,Acre inch,ಎಕರೆ - ಅಂಗುಲ,,,,,,,,,
,Acre inch of water,ಎಕರೆ - ಅಂಗುಲ ನೀರು,,,,,,,,,
,Acropetal,ಊರ್ಧ್ವವರ್ಧಿ,,,,,,,,,
,Actinomorphic,ತ್ರಿಜ್ಯ ಸಮಮಿತಿ,,,,,,,,,
,Action potential,ಕ್ರಿಯಾ ಸಾಮಾರ್ಥ್ಯ,,,,,,,,,
,Action spectrum,ಕ್ರಿಯಾವರಣ ಪಟಲ,,,,,,,,,
,Activated carbon,ಕ್ರಿಯಾಶೀಲ ಇದ್ದಿಲು,,,,,,,,,
,Activated sludge,ಕ್ರಿಯಾಶೀಲ ರೊಜ್ಜು,,,,,,,,,
,Activation,ಪ್ರಚೋದನೆ,,,,,,,,,
,Active ingredient,"ಕ್ರಿಯಾಪೂರ್ಣ ಮೂಲಾಂಶ, ಕ್ರಿಯಾಪೂರ್ಣ ಘಟಕ",,,,,,,,,
,Acute,ತೀವ್ರ,,,,,,,,,
,Acute and chronic,ತೀವ್ರ ಮತ್ತು ದೀರ್ಘಾವಧಿಕ,,,,,,,,,
,Acute deficiency,ತೀವ್ರಕೊರತೆ,,,,,,,,,
,Adaptability,ಹೊಂದಾಣಿಕೆ,,,,,,,,,
,Adaptation,"ಅನುಸರಣೆ, ಅಳವಡಿಕೆ",,,,,,,,,
,Adaptive radiation,ಸಂಯೋಜಿತ ವಿಕಿರಣ,,,,,,,,,
,Additive silage,ಹೆಚ್ಚುವರಿ ರಸಮೇವು,,,,,,,,,
,Adduct,"ಅಭಿಕರ್ಷಣ, ಅಭಿಕರ್ಷಿಸು",,,,,,,,,
