ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abandon,ಕೈಬಿಡು,,,,,,,,,
,Abbreviation,"ಸಂಕ್ಷೇಪಿಸುವುದು, ಸಂಕ್ಷೇಪಣ, ಸಂಕ್ಷಿಪ್ತರೂಪ, ಸಂಕೇತಾಕ್ಷರ",,,,,,,,,
,Abeyance,"ತಡೆಹಿಡಿಯುವುದು, ತಡೆಹಿಡಿಯುವಿಕೆ",,,,,,,,,
,Abide,ಪಾಲಿಸು,,,,,,,,,
,Ability,ಸಾಮರ್ಥ್ಯ,,,,,,,,,
,Able,"ಸಮರ್ಥ, ಶಕ್ತ",,,,,,,,,
,Abnormal,"ಅಪಸಾಮಾನ್ಯ, ಸಾಮಾನ್ಯವಲ್ಲದ",,,,,,,,,
,Abolish,"ರದ್ದುಪಡಿಸು, ತೆಗೆದುಹಾಕು",,,,,,,,,
,Abolition,ರದ್ದತಿ,,,,,,,,,
,Aboriginal,ಆದಿವಾಸಿ,,,,,,,,,
,Abortion,ಗರ್ಭಪಾತ,,,,,,,,,
,Abortive,"ವಿಫಲ, ಭಗ್ನ",,,,,,,,,
,Abound,"ಸಮೃದ್ಧವಾಗಿರು, ತುಂಬಿ ತುಳುಕು",,,,,,,,,
,About,"ಸುಮಾರು, ಬಗ್ಗೆ, ಕುರಿತು",,,,,,,,,
,Above,"ಮೇಲೆ, ಮೀರಿ",,,,,,,,,
,Above all,ಎಲ್ಲಕ್ಕಿಂತ ಮಿಗಿಲಾಗಿ,,,,,,,,,
,Above board,ಸಂಶಯಾತೀತ,,,,,,,,,
,Above cited,"ಮೇಲೆ ಉದ್ಧರಿಸಿದ, ಮೇಲೆ ಉಲ್ಲೇಖಿಸಿದ",,,,,,,,,
,Above criticism,"ಟೀಕೆ ಟಿಪ್ಪಣಿಗಳಿಗೆ ಹೊರತಾದ, ಆಕ್ಷೇಪಕ್ಕೆ ಮೀರಿದ",,,,,,,,,
,Above mentioned,"ಮೇಲೆ ಹೆಸರಿಸಿದ, ಮೇಲೆ ಹೇಳಲಾದ",,,,,,,,,
,Above named,ಮೇಲೆ ಹೆಸರಿಸಿದ,,,,,,,,,
,Above referred,"ಮೇಲೆ ಉಲ್ಲೇಖಿಸಿದ, ಮೇಲೆ ಹೇಳಿದ",,,,,,,,,
,Above said,ಮೇಲೆ ಹೇಳಿದ,,,,,,,,,
,Abrasion,"ಉಜ್ಜುಗಾಯ, ಉಜ್ಜುಸವೆತ",,,,,,,,,
,Abridge,ಸಂಕ್ಷೇಪಿಸು,,,,,,,,,
,Abridgement,"ಸಂಕ್ಷೇಪಣ, ಸಂಕ್ಷೇಪ",,,,,,,,,
,Abroad,ವಿದೇಶ,,,,,,,,,
,Abrogate,"ರದ್ದುಪಡಿಸು, ಕೊನೆಗಾಣಿಸು, ಕಿತ್ತುಹಾಕು",,,,,,,,,
,Abrupt,"ಒಮ್ಮೆಗೇ/ಲೇ, ಇದ್ದಕ್ಕಿದ್ದ ಹಾಗೆ, ಹಠಾತ್ತನೆ",,,,,,,,,
,Abscond,"ತಲೆತಪ್ಪಿಸಿಕೊ, ತಲೆಮರೆಸಿಕೊ, ಪರಾರಿಯಾಗು",,,,,,,,,
,Absconding,ತಲೆಮರೆಸಿಕೊಂಡಿರುವ,,,,,,,,,
,Absence,"ಗೈರುಹಾಜರಿ, ಅನುಪಸ್ಥಿತಿ, ಇಲ್ಲದಿರುವಲ್ಲಿ",,,,,,,,,
,Absence without leave,"ಅಪ್ಪಣೆ ಪಡೆಯದೆ ಗೈರುಹಾಜರಿ, ರಜೆ ಪಡೆಯದೆ ಗೈರುಹಾಜರಿ",,,,,,,,,
,Absence without permission,ಅನುಮತಿ ಪಡೆಯದೆ ಗೈರುಹಾಜರಾಗಿರುವುದು,,,,,,,,,
,Absent,"ಗೈರುಹಾಜರಾಗು, ಅನುಪಸ್ಥಿತನಾಗು, ಇಲ್ಲದಿರುವುದು, ಇರಲಿಲ್ಲ",,,,,,,,,
,Absentee,"ಗೈರುಹಾಜರಾದವನು, ಅನುಪಸ್ಥಿತನಾದವನು",,,,,,,,,
,Absentee statement,"ಗೈರುಹಾಜರಾದವರ ಪಟ್ಟಿ, ಗೈರುಹಾಜರಿ ವಿವರಣಪತ್ರ",,,,,,,,,
,Absent minded,ಅನ್ಯಮನಸ್ಕತೆ,,,,,,,,,
,Absolute,"ನಿಚ್ಚಳ, ಸಂಪೂರ್ಣ, ಪರಮೋಚ್ಚ, ಅಪ್ಪಟ, ನಿರುಪಾಧಿಕ, ಯಾವುದೇ ಷರತ್ತಿಲ್ಲದ, ಅಬಾಧಿತ",,,,,,,,,
,Absolute alcohol,ಅಪ್ಪಟ ಮದ್ಯಸಾರ,,,,,,,,,
,Absolute and un-conditional,ನಿರುಪಾಧಿಕವಾದ ಮತ್ತು ಬೇಷರತ್ತಾದ,,,,,,,,,
,Absolute law,ಪರಮೋಚ್ಚ ಕಾನೂನು,,,,,,,,,
,Absolutely necessary,"ಅತ್ಯಗತ್ಯ, ಅತ್ಯಾವಶ್ಯಕ",,,,,,,,,
,Absolute majority,ನಿಚ್ಚಳ ಬಹುಮತ,,,,,,,,,
,Absolute monarchy,ನಿರಂಕುಶ ಪ್ರಭುತ್ವ,,,,,,,,,
,Absolute monopoly,"ನಿರಂಕುಶ ಏಕಸ್ವಾಮ್ಯ, ಏಕೈಕ ಸ್ವಾಮ್ಯ",,,,,,,,,
,Absolute right,"ನಿರುಪಾಧಿಕ ಹಕ್ಕು, ಅಬಾಧಿತ ಹಕ್ಕು",,,,,,,,,
,Absolve,ದೋಷಮುಕ್ತಗೊಳಿಸು,,,,,,,,,
,Absorb,"ವಿಲೀನಗೊಳಿಸು, ಮಗ್ನವಾಗು, ಹೀರಿಕೊಳ್ಳು",,,,,,,,,
,Abstain,"1. ದೂರ ಉಳಿ, ತಪ್ಪಿಸಿಕೊ, 2. ದೂರವಿರು, ಮಾಡದಿರು",,,,,,,,,
,Abstract,"ಸಾರಾಂಶ, ಸಂಗ್ರಹ, ಗೋಷ್ವಾರೆ",,,,,,,,,
,Abstracting,ಸಾರೋದ್ಧರಣ,,,,,,,,,
,Abstract of account,ಲೆಕ್ಕ ಸಾರಾಂಶ,,,,,,,,,
,Abstract of estimate,ಸಂಕ್ಷಿಪ್ತ ಅಂದಾಜು,,,,,,,,,
,Abstract of returns,ಸಂಕ್ಷಿಪ್ತ ವರದಿ,,,,,,,,,
,Abstract of statement,"ಸಂಕ್ಷಿಪ್ತ ವಿವರಣ ಪತ್ರ, ಹೇಳಿಕೆಯ ಸಾರಾಂಶ",,,,,,,,,
,Abstract Contingent bill,ಸಂಕ್ಷಿಪ್ತ ಸಾದಿಲ್ವಾರು ಬಿಲ್ಲು,,,,,,,,,
,Absurd,"ಅಸಂಬದ್ಧ, ಅಬದ್ಧ",,,,,,,,,
,Abundance,"ಸಮೃದ್ಧಿ, ಹೇರಳವಾಗಿರುವಿಕೆ, ಹೇರಳ",,,,,,,,,
,Abuse,"ದುರುಪಯೋಗ, ದುರುಪಯೋಗ ಮಾಡು, ನಿಂದನೆ, ಬಯ್ಗಳು, ಬಯ್ಯು",,,,,,,,,
,Academic,"ಶೈಕ್ಷಣಿಕ, ವಿದ್ವತ್ತಿನ, ತಾತ್ತ್ವಿಕ",,,,,,,,,
,Academic calendar,"ಶೈಕ್ಷಣಿಕ ಕ್ಯಾಲೆಂಡರ್, ಶೈಕ್ಷಣಿಕ ವೇಳಾಪಟ್ಟಿ, ಶೈಕ್ಷಣಿಕ ಪಂಚಾಂಗ",,,,,,,,,
,Academic career,"ಶೈಕ್ಷಣಿಕ ಜೀವನ, ಶೈಕ್ಷಣಿಕ ವೃತ್ತಿ",,,,,,,,,
,Academic counsel,"ಅಕಾಡೆಮಿಕ್ ಕೌನ್ಸಿಲ್, ಶೈಕ್ಷಣಿಕ ಪರಿಷತ್ತು",,,,,,,,,
,Academics,ವಿದ್ವಾಂಸರು,,,,,,,,,
