ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Abattoir,ಕಸಾಯಿಖಾನೆ(ಪಶುಗಳನ್ನು ಆಹಾರಕ್ಕಾಗಿ ಕಡಿಯುವ ಮನೆ),,,,,,,,,
,Aberration,ಅಪಸರಣ,,,,,,,,,
,Abdomen,"ಹೊಟ್ಟೆ, ಉದರ",,,,,,,,,
,Abdominal palpation,"ಉದರ ಹೊರ ಪರೀಕ್ಷೆ, ಉದರವನ್ನು ಮುಟ್ಟಿ ನೋಡುವಿಕೆ / ಹೊಟ್ಟೆಸ್ಪರ್ಶ ಪರೀಕ್ಷೆ",,,,,,,,,
,Abduction,"ದೂರಸರಿಕೆ, ಅಪಹರಣ",,,,,,,,,
,Ablactation,ಹಾಲು ತಪ್ಪಿಸುವುದು,,,,,,,,,
,Abnormality,"ಅಸಹಜತೆ, ಅಸ್ವಾಭಾವಿಕತೆ, ಊನ",,,,,,,,,
,Abnormal milk,"ಅಸಾಮಾನ್ಯ ಹಾಲು, ಕೆಟ್ಟ ಹಾಲು",,,,,,,,,
,Abnoxious smell,"ದುರ್ನಾತ, ಕೆಟ್ವವಾಸನೆ",,,,,,,,,
,Abomasum,ನಿಜೊಡಲು (ಮೆಲುಕುಹಾಕುವ ಪ್ರಾಣಿಗಳ ನೈಜಜಠರ),,,,,,,,,
,Abort,ಗರ್ಭಸ್ರಾವವಾಗು,,,,,,,,,
,Abortion,"ಕಂದು ಹಾಕುವಿಕೆ, ಗರ್ಭಪಾತ",,,,,,,,,
,Aborted cow,"ಗರ್ಭಪಾತಿತ ಹಸು, ಕಂದುಹಾಕಿದ ಹಸು",,,,,,,,,
,Abruption,"ಕಳಚುವಿಕೆ, ಕಿತ್ತುತೆಗೆಯುವಿಕೆ",,,,,,,,,
,Abscess,"ಕೀವು ಗಂಟು, ಕುರು",,,,,,,,,
,Absolute humidity,"ನಿರಪೇಕ್ಷ, ಆರ್ದ್ರತೆ",,,,,,,,,
,Acardiac,"1. ರಕ್ತಕೋಶವಿಲ್ಲದ, 2. ಹೃದಯಾಂಗವಿಲ್ಲದ",,,,,,,,,
,Acceleration phase,ವೇಗಗೊಳಿಕೆ / ವೇಗವರ್ಧನ ಹಂತ,,,,,,,,,
,Accessory cost,ಕಣ್ಣುಗುಡ್ಡೆಯ ಉಪಪಟಲ,,,,,,,,,
,Accessory ligament,ಹೆಚ್ಚಳಿಕ ತಂತುಗಟ್ಟು,,,,,,,,,
,Accessory nerves,ಆನುಷಂಗಿಕ ನರಗಳು/ಸಹಕಾರಿ ನರಗಳು,,,,,,,,,
,Accipitral,"ತೀಕ್ಷ್ಣದೃಷ್ಟಿಯುಳ್ಳ, ಗಿಡುಗದೃಷ್ಟಿ",,,,,,,,,
,Acclimatisation,ಹವಾಮಾನಕ್ಕೆ ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ/ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,,,,,,,,,
,Acervulina,"ಮಿದುಳು ಸುಬಗಂತಿ, ಜೊಂಪೆಗಂತಿ",,,,,,,,,
,Acetone urea,ಅಸಿಟೋನ್ ಮೂತ್ರ,,,,,,,,,
,Achilles tendon,"ಅಕಿಲಸನ ಟೆಂಡನ್ (ಬಾಗುಪಟ್ಟಿ), ಕಂಡರ",,,,,,,,,
,Act of parturition,ಹೆರಿಗೆ ಕ್ರಿಯೆ,,,,,,,,,
,Acumen,ತೀಕ್ಷ್ಣಬುದ್ಧಿ,,,,,,,,,
,Adaptation,ಹೊಂದಾಣಿಕೆ,,,,,,,,,
,Adapted dairy products,ಅನುಗೊಳಿಸಿದ ಹೈನು ಉತ್ಪನ್ನಗಳು,,,,,,,,,
,Adapted milk processing Techniques,ಅನುಗೊಳಿಸಿದ (ಅಂಗೀಕೃತ) ಹಾಲು / ಸಂಸ್ಕರಣೆ ತಂತ್ರಗಳು,,,,,,,,,
,Additive,ಸೇರ್ಪು,,,,,,,,,
,Additive gene action,ಸೇರ್ಪಡೆಕಾರಕ ವಂಶವಾಹಿ ಕ್ರಿಯೆ,,,,,,,,,
,Adductor,ಒಳಸರಿಕ / ಅಭಿಕರ್ಷಕ ಸ್ನಾಯು,,,,,,,,,
,Adductor parves,ಕಿರಿಯ ಒಳಸರಿಕ ಅಭಿಕರ್ಷಕ ಸ್ನಾಯು,,,,,,,,,
,Adenalgia,ಗ್ರಂಥಿ ನೋವು,,,,,,,,,
,Adenitis,ಗ್ರಂಥಿಯುರಿತ,,,,,,,,,
,Adenohypophyseal,ಪೀಯೂಷಿಕ ಗ್ರಂಥಿ,,,,,,,,,
,Adenomyoma,ಗ್ರಂಥಿಸ್ನಾಯು ಗಂತಿ,,,,,,,,,
,Adipose,"ಕೊಬ್ಬು, ಮೇದಸ್ಸು",,,,,,,,,
